id,brand_name,status
1,1 To 3,1
2,24 Mantra,1
3,3 Ply,1
4,3 Roses,1
5,7 Up,1
6,A 1,1
7,A G,1
8,Aachi,1
9,Aashirvaad,1
10,Act II,1
11,Adiction,1
12,Adicto,1
13,Adidas,1
14,Adithya,1
15,Again,1
16,Airwick,1
17,Akar,1
18,Alfa,1
19,All Out,1
20,Allocacoc,1
21,Alo Frut,1
22,Alpenliebe,1
23,Alu,1
24,Ambi Pur,1
25,Ambika,1
26,AMBRANE,1
27,American Garden,1
28,American Tourister,1
29,Amrus,1
30,Amrutanjan,1
31,Amul,1
32,Amwel,1
33,Anagha Palm Jyothi,1
34,Anandam,1
35,Anchor,1
36,Angel,1
37,Anil,1
38,Annapurna,1
39,Appy Fizz,1
40,Apsara,1
41,Aqua,1
42,Aquafina,1
43,Aquaguard,1
44,Ariel,1
45,Arjun,1
46,Aro,1
47,As Simple As Possible,1
48,ASAL,1
49,ASAP,1
50,Ats,1
51,Auqasure,1
52,Avis,1
53,Axe,1
54,Azad,1
55,Azzaro,1
56,B Natural,1
57,Bacto-V,1
58,Baggrys,1
59,Baidyanath,1
60,Bajaj,1
61,Baker Street,1
62,Bambino,1
63,Band-Aid,1
64,Banjara'S,1
65,Barbara,1
66,Baskin Robbins,1
67,Bata,1
68,Bauli,1
69,Bauli Moonfils,1
70,Bayar,1
71,Baygon,1
72,Bblunt,1
73,Bella,1
74,Benetton,1
75,Bentley,1
76,Bergner,1
77,Bertolli,1
78,Best Foods,1
79,Betty Crocker,1
80,Bhadang,1
81,Bhagyalakshmi,1
82,Bigen,1
83,Bikano,1
84,Bindu,1
85,Bingo,1
86,Bing-Zun,1
87,Bio,1
88,Bio Herbal,1
89,Biotique,1
90,Bisleri,1
91,Black,1
92,Blue Bird,1
93,boAt,1
94,Bombay Mixture,1
95,Bombay Shaving Comapany,1
96,Boomer,1
97,Borges,1
98,Boro Plus,1
99,Bosch,1
100,Bounty,1
101,Bournville,1
102,Brewhouse,1
103,Brit Rollyo,1
104,Britannia,1
