SKU,Cover,Cover Name,Images,Images Name
01O (0) 09 001,yes,01O009001.jpg,"yes,yes,yes,yes,no","01O009001.jpg,01O0090011.jpg,01O0090012.jpg,01O0090013.jpg,01O0090014.jpg"
0601072HF2,yes,0601072HF2.jpg,"yes,yes,yes","0601072HF2.jpg,0601072HF2-1.jpg,0601072HF2-2.jpg"
0601072RK0,yes,0601072RK0.jpg,"yes,yes,yes","0601072RK0.jpg,0601072RK0-1.jpg,0601072RK0-2.jpg"
06011A15F3,yes,06011A15F3.jpg,"yes,yes,yes","06011A15F3.jpg,06011A15F3-1.jpg,06011A15F3-2.jpg"
06011A95F1,yes,06011A95F1.jpg,"yes,yes,yes","06011A95F1.jpg,06011A95F1-1.jpg,06011A95F1-2.jpg"
06012161F4,yes,06012161F4.jpg,"yes,yes,yes","06012161F4.jpg,06012161F4-1.jpg,06012161F4-2.jpg"
06012161F8,yes,06012161F8.jpg,"yes,yes,yes","06012161F8.jpg,06012161F8-1.jpg,06012161F8-2.jpg"
06012161FD,yes,06012161FD.jpg,"yes,yes,yes","06012161FD.jpg,06012161FD-1.jpg,06012161FD-2.jpg"
06012161FK,yes,06012161FK.jpg,"yes,yes,yes","06012161FK.jpg,06012161FK-1.jpg,06012161FK-2.jpg"
06012161FL,yes,06012161FL.jpg,"yes,yes,yes","06012161FL.jpg,06012161FL-1.jpg,06012161FL-2.jpg"
06012171F6,yes,06012171F6.jpg,"yes,yes,yes","06012171F6.jpg,06012171F6-1.jpg,06012171F6-2.jpg"
06012171F8,yes,06012171F8.jpg,"yes,yes,yes","06012171F8.jpg,06012171F8-1.jpg,06012171F8-2.jpg"
06012240F0,yes,06012240F0.jpg,"yes,yes,yes","06012240F0.jpg,06012240F0-1.jpg,06012240F0-2.jpg"
06012980F0,yes,06012980F0.jpg,"yes,yes,yes","06012980F0.jpg,06012980F0-1.jpg,06012980F0-2.jpg"
06012A70F1,yes,06012A70F1.jpg,"yes,yes,yes","06012A70F1.jpg,06012A70F1-1.jpg,06012A70F1-2.jpg"
060137505F,yes,060137505F.jpg,"yes,yes,yes","060137505F.jpg,060137505F-1.jpg,060137505F-2.jpg"
06013875F2,yes,06013875F2.jpg,"yes,yes,yes","06013875F2.jpg,06013875F2-1.jpg,06013875F2-2.jpg"
06013930F1,yes,06013930F1.jpg,"yes,yes,yes","06013930F1.jpg,06013930F1-1.jpg,06013930F1-2.jpg"
06013931F1,yes,06013931F1.jpg,"yes,yes,yes","06013931F1.jpg,06013931F1-1.jpg,06013931F1-2.jpg"
06013940F0,yes,06013940F0.jpg,"yes,yes,yes","06013940F0.jpg,06013940F0-1.jpg,06013940F0-2.jpg"
06013940F2,yes,06013940F2.jpg,yes,06013940F2.jpg
06013960F0,yes,06013960F0.jpg,"yes,yes","06013960F0.jpg,06013960F0-1.jpg"
06013A02F0,yes,06013A02F0.jpg,"yes,yes","06013A02F0.jpg,06013A02F0-1.jpg"
06014775F0,yes,06014775F0.jpg,"yes,yes","06014775F0.jpg,06014775F0-1.jpg"
06015A80F0,yes,06015A80F0.jpg,"yes,yes,yes","06015A80F0.jpg,06015A80F0-1.jpg,06015A80F0-2.jpg"
06016B30F0,yes,06016B30F0.jpg,"yes,yes,yes","06016B30F0.jpg,06016B30F0-1.jpg,06016B30F0-2.jpg"
06018242F1,yes,06018242F1.jpg,"yes,yes","06018242F1.jpg,06018242F1-1.jpg"
06018B70F0,yes,06018B70F0.jpg,yes,06018B70F0.jpg
060194D0F0,yes,060194D0F0.jpg,"yes,yes,yes","060194D0F0.jpg,060194D0F0-1.jpg,060194D0F0-2.jpg"
06019804F5,yes,06019804F5.jpg,"yes,yes,yes","06019804F5.jpg,06019804F5-1.jpg,06019804F5-2.jpg"
06019805F0,yes,06019805F0.jpg,"yes,yes,yes","06019805F0.jpg,06019805F0-1.jpg,06019805F0-2.jpg"
06019G80F0,yes,06019G80F0.jpg,"yes,yes,yes","06019G80F0.jpg,06019G80F0-1.jpg,06019G80F0-2.jpg"
06019G80F1,yes,06019G80F1.jpg,"yes,yes,yes","06019G80F1.jpg,06019G80F1-1.jpg,06019G80F1-2.jpg"
06019G81K2,yes,06019G81K2.jpg,"yes,yes,yes","06019G81K2.jpg,06019G81K2-1.jpg,06019G81K2-2.jpg"
06019H20F0,yes,06019H20F0.jpg,"yes,yes,yes","06019H20F0.jpg,06019H20F0-1.jpg,06019H20F0-2.jpg"
06019H21L1,yes,06019H21L1.jpg,"yes,yes,yes","06019H21L1.jpg,06019H21L1-1.jpg,06019H21L1-2.jpg"
08N (0) 09 012,yes,08N-(0)-09-012.jpg,"yes,no,no,no","08N-(0)-09-012.jpg,08N (0) 09 012-1.jpg,08N (0) 09 012-2.jpg,08N (0) 09 012-3.jpg"
08S (0) 09 001,yes,08S-(0)-09-001.jpg,"yes,yes,yes,yes,yes","08S-(0)-09-001.jpg,08S (0) 09 001-1.jpg,08S (0) 09 001-2.jpg,08S (0) 09 001-3.jpg,08S (0) 09 001-4.jpg"
10000,yes,10000.jpg,"yes,yes","10000.jpg,10000-1.jpg"
100012,no,100012.jpeg,"no,no,no,no","100012.jpeg,100012-1.jpeg,100012-2.jpeg,100012-3.jpeg"
10003,yes,10003.jpg,"yes,yes","10003.jpg,10003-1.jpg"
10007,yes,10007.jpg,"yes,yes","10007.jpg,10007-1.jpg"
10013,yes,10013.jpg,"yes,yes,yes","10013.jpg,10013-1.jpg,10013-2.jpg"
10016,yes,10016.jpg,yes,10016.jpg
10020,yes,10020.jpg,"yes,yes,yes","10020.jpg,10020-1.jpg,10020-2.jpg"
100223,yes,100223.jpeg,no,100023.jpeg
100229,yes,100229.jpeg,yes,100229.jpeg
10024,yes,10024.jpg,"yes,yes,yes","10024.jpg,10024-1.jpg,10024-2.jpg"
10025,yes,10025.jpg,"yes,yes,yes","10025.jpg,10025-1.jpg,10025-2.jpg"
