brand,product_code,in_hand
AMAZON,AMZNDOT,1
AMBRANE,ACM-11 Plus,1
American Tourister,LJ1 (0) 09 001,18
American Tourister,FV6 (0) 01 101,46
American Tourister,FT6 (0) 41 001,1
American Tourister,LA7 (0) 11 001,1
American Tourister,LA7 (0) 08 003,1
American Tourister,LD1 (0) 01 001,2
American Tourister,LB9 (0) 41 002,1
American Tourister,LB9 (0) 00 002,2
American Tourister,LB9 (0) 08 001,3
American Tourister,LB7 (0) 01 002,2
American Tourister,LB7 (0) 09 001,2
American Tourister,Z19 (0) 98 063,2
American Tourister,Z19 (0) 41 015,1
American Tourister,Z19 (0) 01 004,1
American Tourister,FX1 (0) 09 101,21
American Tourister,FX1 (0) 00 101,12
American Tourister,GH5 (0) 09 004,1
Azzaro,AZZ001M,1
Azzaro,AZZ003,1
BAJAJ,11003,3
BAJAJ,251166,2
Boat,Airdopes 138,1
Boat,STONE 193,3
Boat,QC3-3,3
Boat,Rockerz 610,4
Boat,Stone 210,2
Boat,BN-021,1
BOSCH,06019H21L1,1
BOSCH,06012161F4,1
BOSCH,06012161FD,2
EUREKA FORBES LIMITED,Swift Clean,9
EUREKA FORBES LIMITED,FESCVC,5
EUREKA FORBES LIMITED,GFCDFCARC00000,9
EUREKA FORBES LIMITED,GFCDELTVC00000,3
Itoys,KS-3,0
JBL,T205BT,3
KENT,KENT_16020,2
KENT,KENT_16067,1
Lavie,HDES798078M3,17
MORPHY,510015,1
MORPHY,500024,2
Nirlep,DAC21,1
Nirlep,AP12WL,10
Philips,BHS397,3
Philips,BG3005,1
Philips,SPK6224,7
Philips,HL7707,1
Philips,GC1015,3
Philips,MMS2625B,0
Philips,HP6306,1
Philips,GC158/02,2
Philips,HI108/01,1
Philips,HD4929/01,2
Philips,HR1351/90,0
Prestige,41202,2
Prestige,20249,1
Prestige,20223,0
Prestige,40278,1
Prestige,41366,1
Prestige,41963,2
Prestige,41944,1
Prestige,42210,0
Prestige,36819,1
Prestige,36775,2
Prestige,36717,2
Prestige,35039,9
Prestige,35038,1
Prestige,30603,1
Prestige,10212,3
Prestige,10209,2
Prestige,10016,4
Samsonite,90O (0) 31 014,5
Samsonite,DA8 (0) 08 002,1
Sennheiser,CX300S-BK,1
Sony,WI-SP510,2
Usha,4122116020NS,5
WELSPUN,WEL007,6
Whirlpool,WH-61017,0
WILDCRAFT,12228,8
WILDCRAFT,12162,2
WILDCRAFT,12152,1
WILDCRAFT,11894,2
EUREKA FORBES LIMITED,FQCDX,7
EUREKA FORBES LIMITED,FTWD,3
EUREKA FORBES LIMITED,FTNVC,2
