id,original_price,sell_price,variations_types,stocks,size
147738,955,870,[],26,0
182914,200,196,[],62,0
184353,795,756,[],27,0
186070,260,255,[],863,0
199610,670,577,[],27,0
231187,310,295,[],27,0
240040,200,190,[],256,0
240057,258,222,[],27,0
241695,365,347,[],170,0
252943,257,245,[],27,0
252948,280,275,[],27,0
252950,510,485,[],27,0
253063,1024,973,[],27,0
263599,65,60,[],106,0
263606,280,266,[],27,0
263613,60,57,[],27,0
266531,175,167,[],392,0
266549,62,57,[],27,0
267227,270,257,[],27,0
267266,285,271,[],27,0
271089,520,494,[],27,0
274965,910,829,[],32,0
276661,755,740,[],27,0
279596,98,90,[],134,0
280665,745,678,[],27,0
290185,300,285,[],82,0
297498,299,273,[],27,0
306111,288,274,[],27,0
307018,640,583,[],92,0
307984,400,380,[],31,0
313466,495,451,[],56,0
316944,380,361,[],27,0
322856,210,192,[],27,0
322858,280,266,[],27,0
322863,650,592,[],27,0
330773,195,186,[],27,0
332140,625,594,[],32,0
332251,165,157,[],1716,0
332546,1210,1150,[],88,0
332586,65,60,[],27,0
332588,65,60,[],27,0
336336,600,546,[],44,0
339306,165,151,[],27,0
342445,175,151,[],188,0
342830,175,151,[],27,0
342831,175,151,[],27,0
354218,90,86,[],27,0
356169,175,151,[],27,0
357413,210,192,[],27,0
358796,360,342,[],27,0
362917,165,151,[],27,0
364592,510,465,[],27,0
371113,47,47,[],27,0
371459,139,127,[],111,0
372618,120,110,[],27,0
372673,300,273,[],37,0
374024,210,192,[],37,0
379948,350,319,[],27,0
379949,145,106,[],101,0
379983,170,155,[],27,0
379985,170,155,[],27,0
379987,95,87,[],27,0
381646,470,315,[],27,0
382130,190,187,[],76,0
385780,75,72,[],590,0
385781,190,181,[],157,0
385782,175,167,[],27,0
390087,500,260,[],27,0
390088,500,285,[],27,0
392686,300,285,[],27,0
398015,140,133,[],27,0
402515,160,146,[],27,0
402516,150,137,[],27,0
402518,160,146,[],27,0
402526,95,87,[],27,0
402529,60,55,[],27,0
404119,260,237,[],27,0
405856,88,81,[],27,0
408819,125,119,[],27,0
411580,765,750,[],27,0
412099,179,171,[],27,0
413961,40,38,[],58,0
