id,original_price,sell_price,variations_types,stocks,size
264746,161,137,[],0,0
266984,161,137,[],0,0
274769,161,137,[],0,0
375110,199,192,[],0,0
307170,72,70,[],0,0
364098,150,144,[],0,0
360764,199,184,[],0,0
323794,134,129,[],0,0
277101,79,76,[],0,0
383246,75,72,[],0,0
366355,279,252,[],0,0
306042,279,252,[],0,0
306039,279,252,[],0,0
321808,279,252,[],0,0
411019,299,270,[],0,0
409686,110,94,[],0,0
275251,152,84,[],0,0
140989,304,213,[],0,0
385323,120,72,[],0,0
294445,140,98,[],0,0
276653,258,155,[],0,0
275243,499,400,[],0,0
275236,299,210,[],0,0
275244,247,223,[],0,0
275253,175,149,[],0,0
386221,499,300,[],0,0
386222,499,250,[],0,0
386223,499,350,[],0,0
275247,299,165,[],0,0
118009,399,280,[],0,0
118009,399,280,[],0,0
415752,249,240,[],0,0
416447,165,159,[],0,0
334321,99,92,[],0,0
344515,60,56,[],0,0
415138,195,176,[],0,0
378781,249,212,[],0,0
374805,10,6,[],0,0
379198,131,73,[],0,0
379199,131,73,[],0,0
379195,131,73,[],0,0
379196,131,73,[],0,0
379197,131,73,[],0,0
255210,399,220,[],0,0
366507,650,598,[],0,0
416858,2500,2125,[],0,0
305920,150,144,[],0,0
305921,150,144,[],0,0
409649,55,53,[],0,0
333182,85,82,[],0,0
377551,160,154,[],0,0
359478,55,51,[],0,0
359479,55,53,[],0,0
359481,55,53,[],0,0
320256,150,135,[],0,0
381422,150,135,[],0,0
359484,72,70,[],0,0
380024,75,72,[],0,0
390199,134,129,[],0,0
381164,144,139,[],0,0
380023,45,44,[],0,0
199522,72,70,[],0,0
375109,100,92,[],0,0
354090,60,54,[],0,0
340825,60,54,[],0,0
320262,270,260,[],0,0
415317,215,194,[],0,0
264972,50,45,[],0,0
106600,120,111,[],0,0
106599,120,111,[],0,0
333157,350,298,[],0,0
286499,180,153,[],0,0
324403,65,59,[],0,0
347777,100,92,[],0,0
415114,125,113,[],0,0
372404,75,69,[],0,0
347779,70,65,[],0,0
372405,75,69,[],0,0
415569,72,70,[],0,0
413314,149,144,[],0,0
415749,199,170,[],0,0
411969,505,430,[],0,0
323812,80,77,[],0,0
310366,64,62,[],0,0
310368,47,46,[],0,0
310363,70,68,[],0,0
310362,47,46,[],0,0
408291,149,135,[],0,0
398911,50,48,[],0,0
290707,40,37,[],0,0
421945,90,81,[],0,0
411950,275,253,[],0,0
421944,85,77,[],0,0
292645,85,77,[],0,0
342258,225,203,[],0,0
324300,309,285,[],0,0
254677,155,140,[],0,0
120018,260,234,[],0,0
353710,149,138,[],0,0
377802,30,30,[],0,0
377800,30,28,[],0,0
298221,180,173,[],0,0
394869,800,440,[],0,0
394936,1900,1045,[],0,0
394868,1000,600,[],0,0
393714,96,89,[],0,0
393715,180,166,[],0,0
393724,210,194,[],0,0
255179,549,506,[],0,0
255176,1399,1288,[],0,0
393716,210,194,[],0,0
365690,75,69,[],0,0
377828,95,86,[],0,0
381739,45,41,[],0,0
377829,75,68,[],0,0
377186,60,56,[],0,0
359360,229,195,[],0,0
324375,110,102,[],0,0
324380,200,184,[],0,0
402989,100,92,[],0,0
402992,250,213,[],0,0
418046,249,212,[],0,0
402987,70,65,[],0,0
424566,250,175,[],0,0
204442,190,162,[],0,0
