id,original_price,sell_price,variations_types,stocks,size
249944,281,255,1000|500|2000,100,1
249961,330,300,1000|500|2000,100,1
249963,347,315,1000|500|2000,100,1
250624,336,305,[],100,0
250625,132,120,1000|500|2000,100,1
250492,50,45,1000|500|250,100,1
250641,72,65,1000|500|250,100,1
250569,39,35,[],100,0
347642,120,109,1000|500|2000,100,1
250931,58,52,[],100,0
250438,55,50,1000|500|2000,100,1
250443,39,35,[],100,0
250615,15,13,[],100,0
250511,77,70,[],100,0
277860,75,65,[],100,0
250591,50,45,500,100,1
250658,209,190,1000|500|2000,100,1
261478,88,80,1000|500|250,100,1
