id,original_price,sell_price,variations_types,stocks,size
373804,100,91,[],27,0
374362,50,49,[],93,0
374363,50,49,[],116,0
374364,50,49,[],140,0
374372,30,30,[],27,0
374374,480,471,[],257,0
374379,465,442,[],522,0
374944,25,24,[],27,0
376223,220,216,[],27,0
376224,220,216,[],27,0
376225,220,216,[],27,0
376499,390,383,[],27,0
376501,500,490,[],27,0
376505,160,157,[],46,0
376506,180,177,[],85,0
376508,350,343,[],27,0
376509,350,343,[],27,0
377278,250,245,[],29,0
377279,250,245,[],27,0
377280,200,196,[],46,0
377958,63,62,[],350,0
378001,2016,1916,[],27,0
378333,50,49,[],27,0
378334,50,49,[],68,0
378338,80,79,[],27,0
378339,80,79,[],27,0
378342,50,49,[],61,0
378343,50,49,[],49,0
378344,50,49,[],59,0
378347,50,49,[],66,0
379037,175,160,[],58,0
379218,15,15,[],318,0
379530,250,228,[],27,0
379549,362,344,[],27,0
379550,85,84,[],27,0
380581,275,270,[],27,0
380657,50,49,[],145,0
380658,40,40,[],27,0
380694,5,5,[],892,0
380737,60,55,[],172,0
380781,60,55,[],618,0
382194,110,101,[],203,0
382892,300,273,[],27,0
382893,15,15,[],411,0
382897,300,273,[],27,0
382898,15,15,[],350,0
383012,15,15,[],347,0
383868,200,196,[],27,0
384944,90,89,[],27,0
385471,54,53,[],88,0
385488,55,54,[],26,0
385497,25,25,[],38,0
385498,25,25,[],107,0
387790,125,102,[],101,0
387919,295,290,[],27,0
387920,365,358,[],27,0
387924,350,343,[],27,0
387926,340,334,[],27,0
387928,295,269,[],27,0
387931,365,333,[],27,0
387933,375,368,[],27,0
387947,365,358,[],27,0
388565,15,15,[],27,0
388667,410,402,[],27,0
388735,30,28,[],27,0
390236,15,15,[],718,0
390246,125,123,[],27,0
390678,25,25,[],63,0
391442,25,25,[],27,0
391443,25,25,[],27,0
391445,25,25,[],27,0
392682,30,30,[],66,0
393172,15,15,[],27,0
393174,15,15,[],27,0
393185,30,28,[],27,0
393186,30,28,[],49,0
394625,250,245,[],27,0
398812,10,10,[],564,0
399064,400,364,[],27,0
400081,29,29,[],2103,0
400392,10,10,[],28,0
400400,30,30,[],27,0
400546,10,10,[],339,0
401981,30,30,[],27,0
402063,20,19,[],38,0
403203,120,118,[],113,0
403206,20,20,[],27,0
403852,20,20,[],231,0
403854,20,20,[],174,0
403855,20,20,[],324,0
403958,740,726,[],44,0
403960,205,201,[],27,0
403961,54,53,[],151,0
403964,169,166,[],150,0
403983,180,177,[],27,0
404011,360,353,[],528,0
404379,225,221,[],48,0
404380,225,221,[],27,0
404386,225,221,[],55,0
404387,225,221,[],44,0
404954,60,55,[],27,0
405266,64,63,[],27,0
405315,30,30,[],165,0
405316,30,30,[],81,0
405317,30,30,[],138,0
405495,10,10,[],52,0
405555,70,69,[],27,0
405582,350,343,[],27,0
407187,10,10,[],27,0
408958,80,76,[],111,0
408961,35,34,[],27,0
408962,35,34,[],27,0
408984,375,357,[],195,0
408988,205,201,[],29,0
408989,55,54,[],68,0
409564,25,24,[],27,0
410586,400,392,[],27,0
410589,150,137,[],44,0
410598,160,146,[],27,0
410604,400,392,[],261,0
410640,273,273,[],27,0
410641,244,232,[],27,0
410642,160,146,[],27,0
410643,425,387,[],27,0
410644,170,155,[],27,0
410915,30,28,[],102,0
410917,30,28,[],117,0
410919,25,24,[],79,0
410920,25,24,[],28,0
411416,120,114,[],27,0
411929,95,94,[],27,0
411931,95,94,[],27,0
412044,25,25,[],27,0
412109,35,35,[],204,0
412110,35,35,[],27,0
412111,35,35,[],198,0
412258,40,40,[],127,0
412274,35,34,[],27,0
412279,70,69,[],27,0
412280,70,69,[],27,0
412337,110,105,[],454,0
412347,155,148,[],96,0
412579,520,494,[],27,0
413531,55,51,[],27,0
413533,95,94,[],27,0
413535,45,43,[],27,0
413536,45,43,[],27,0
413541,45,43,[],27,0
413542,45,43,[],27,0
413543,45,43,[],27,0
413547,70,64,[],27,0
413689,50,49,[],27,0
413691,50,49,[],27,0
413692,50,49,[],47,0
413865,63,62,[],27,0
414017,25,25,[],27,0
414018,30,30,[],27,0
414021,80,76,[],27,0
414092,10,10,[],27,0
414096,30,28,[],74,0
414234,11,11,[],4674,0
414235,396,377,[],27,0
414303,250,228,[],27,0
414319,300,273,[],27,0
414328,300,273,[],27,0
414599,270,265,[],49,0
414600,125,123,[],27,0
415032,60,55,[],51,0
415041,10,10,[],27,0
415044,60,57,[],27,0
415260,35,34,[],27,0
415269,195,186,[],27,0
415270,140,133,[],27,0
415272,60,57,[],27,0
415274,60,57,[],27,0
415275,50,48,[],27,0
415276,96,92,[],27,0
415547,20,20,[],27,0
415820,30,30,[],27,0
415821,35,35,[],33,0
416280,250,228,[],27,0
416411,50,48,[],27,0
416538,30,30,[],27,0
417016,250,215,[],27,0
417150,50,46,[],27,0
417152,50,46,[],27,0
417153,50,46,[],27,0
417472,130,112,[],293,0
417542,30,28,[],62,0
417547,30,28,[],46,0
417961,70,69,[],27,0
418602,10,10,[],27,0
418603,10,10,[],27,0
418604,10,10,[],27,0
418605,15,15,[],27,0
418777,25,25,[],27,0
418778,25,25,[],27,0
418779,25,25,[],27,0
419229,5,5,[],476,0
419230,5,5,[],27,0
419419,100,98,[],27,0
419570,155,152,[],203,0
419888,5,5,[],27,0
419937,10,10,[],27,0
419996,35,35,[],193,0
420058,140,128,[],27,0
421917,35,35,[],191,0
421919,10,10,[],588,0
422437,35,35,[],720,0
422438,35,35,[],657,0
422652,25,25,[],27,0
422655,28,28,[],27,0
422705,30,28,[],27,0
422706,30,28,[],27,0
422707,30,28,[],27,0
422708,35,32,[],27,0
422712,65,56,[],27,0
422714,275,262,[],27,0
422716,300,285,[],27,0
422858,290,285,[],44,0
422859,155,152,[],179,0
423710,30,30,[],27,0
423711,30,30,[],27,0
423712,30,30,[],27,0
423741,10,10,[],27,0
423026,465,456,[],127,0
421512,499,475,[],28,0
421486,190,181,[],43,0
424790,155,152,[],345,0
398284,180,103,[],112,0
422857,399,364,[],27,0
422650,99,91,[],27,0
214022,400,392,[],27,0
423016,100,98,[],27,0
374382,105,96,[],48,0
428637,450,428,[],27,0
399099,120,110,[],418,0
419348,210,192,[],80,0
399095,200,182,[],75,0
409158,120,110,[],152,0
409157,120,110,[],38,0
398321,240,219,[],171,0
399093,290,264,[],277,0
409174,220,201,[],137,0
409159,220,201,[],39,0
398323,170,155,[],28,0
428844,170,155,[],86,0
398325,270,246,[],149,0
