id,brand_name,status
899,chudi sortex,1
900,kiran gold,1
901,vijayan gold,1
902,mother's love,1
903,janapriya gold,1
904,nri gold,1
905,mk royal premium ,1
906,akr real gold,1
907,kesari kali premium,1
908,bittu golden premium,1
909,best & best premium ,1
910,kalki gold divine,1
911,rich rice premium,1
912,kalki bullet,1
913,s red hygienic,1
914,jasmine satake,1
915,s green premium ,1
916,kaveri premium,1
917,silvar star sorted,1
918,bittu royal premium,1
919,golden star,1
920,golden tiger,1
