id,name
404380,"Amul Ice Cream - Orange Salsa, 1 Cup"
412258,Amul Lite Milk Fat bread Spread 100 g
390236,"Bauli Moonfils Veg Strawberry, 45g"
400392,Britannia Roll yo Choco swiss roll Cake 28 g
400546,"Britannia Roll Yo Swiss Roll Cake - Strawberry, 28g"
413543,Dairy Tales Greek Yogurt pink guava 100 g
419570,Dreamery cheese slices jalapeno flavour 200g
398321,Elite Delicious Plum Classic Cake 680g
410919,Elite Orange tooti frooti Cake 100 g
410920,Elite Pineapple tooti frooti cake 100 g
405317,Milky Mist Milk Shake - strawberry 180ml
390678,Milky Mist Mishti DOI 100 g
393187,"Modern Pineapple Pop Cake, 120g"
393186,"Modern Wow Vanilla Cake, 120g"
380581,NIC Sitaphal Ice Cream 500 ml
417542, Modern Ribbon Duet Cake 120 g
405554,"So Good Almond Fresh, Unsweetened 200 ml"
412111,Sunfeast wonderz Milk shake Mango 200ml
415821,Sunfeast strawberry milk Shake 180ml
421919,"Winkies Mini Swiss Roll strawberry Cake, 28g"
