id,cate_id,sub_cate_id
AH9098,14,121
AH9099,14,121
BQ6340,14,121
Aavante Bar 1198,12,68
BN-004,12,68
BN-006,12,68
BN-009,12,68
MR-1,12,68
Stone 1401,12,68
KMMIX50N3SDBB,12,68
KMSPI50Y3SDES,12,68
KNZES10B1PDBM,12,68
KNZES10R1PDBM,12,68
KNZES10T1PDBM,12,68
HDER695037M3,14,118
HDER695154M3,14,118
HEFQ068096M4,14,118
HEFQ068238M4,14,118
HXDC517095N2,14,118
HXFC480036N3,14,118
VPD-18,12,68
10W Smart Bulb,12,68
DLP6006B,12,68
32PHT5813S,12,68
DLC2508F,12,68
DLC2508G,12,68
DLC2518B,12,68
DLP1710,12,68
DLP1710CB/97,12,68
DLP6006,12,68
DLP6006N,12,68
SHB1008,12,68
SWV1438BN,12,68
NATLOXY,12,68
DA8 (0) 08 002,14,121
DA8 (0) 08 004,14,121
DH9 (0) 00 001,14,121
SDSDXV5-128G-GNCIN,12,68
SDSDXV5-256G-GNCIN,12,68
SDSDXXY-064G-GN4IN,12,68
SDSDXXY-128G-GN4IN,12,68
SDSQXA1-1T00-GN6MN,12,68
SDSQXA1-512G-GN6MN,12,68
KD_65X80J�,12,68
5995202459,14,117
5527200417,14,117
7737202156,14,117
87732253,14,117
241681,13,127
241675,13,127
241437,13,127
241492,13,127
WEL004,15,72
WEL007,15,72
