id,cate_id,sub_cate_id
101030,7,20
101165,7,50
101584,7,114
101735,6,106
103551,7,52
106599,7,53
106600,7,53
107800,7,51
107803,7,51
118009,7,114
134149,7,51
140873,7,50
149353,7,51
149354,7,51
151059,7,50
152329,7,20
167976,7,114
181118,7,50
189221,7,50
198934,7,50
199522,7,51
200327,7,50
204442,7,51
206182,7,51
212128,7,50
212130,7,50
215595,7,50
221234,7,50
224591,7,51
228408,7,52
228623,7,50
229156,7,50
230745,7,50
232729,7,50
245525,7,53
246794,7,114
249154,7,20
249155,7,20
254193,7,50
255176,7,52
255179,7,52
255210,7,51
259099,7,50
260936,7,20
261308,7,20
261328,7,20
263716,7,115
263721,7,115
263727,7,20
263737,7,20
263740,7,20
263753,7,20
263760,7,20
263762,7,20
263778,7,115
263805,7,20
263813,7,50
263819,7,20
263838,7,50
263939,7,20
263958,7,20
263973,7,20
263975,7,20
263985,7,50
263987,7,50
264009,7,50
264019,7,53
264677,7,50
264720,7,50
264746,7,51
264786,7,50
264971,7,53
264972,7,53
265178,7,50
265611,7,20
266942,7,50
266945,7,50
266951,7,50
266952,7,50
266953,7,50
266954,7,50
266962,7,50
266967,7,50
266969,7,50
266981,7,50
266984,7,51
266988,7,50
267006,7,20
267011,7,50
267012,7,50
267525,7,20
267533,7,50
267540,7,50
267639,7,114
267642,7,50
267698,7,50
268688,7,51
268759,7,51
268761,7,51
268762,7,51
269256,7,50
270222,7,20
270223,7,20
271379,7,53
273561,7,50
273562,7,50
274068,7,50
274183,7,53
274769,7,51
274775,7,20
275236,7,114
275243,7,114
275244,7,114
275246,7,114
275247,7,114
275253,7,114
275802,7,50
276653,7,52
277101,7,51
277136,7,20
277138,7,20
277139,7,50
277140,7,50
277141,7,50
277142,7,20
277143,7,20
277144,7,20
277148,7,20
277149,7,20
277151,7,20
277152,7,20
277153,7,20
277154,7,20
277157,7,20
277159,7,20
277463,7,50
277853,7,50
280085,7,50
280173,7,20
281366,7,50
281394,7,20
281395,7,20
281397,7,20
281497,7,50
283851,7,50
284699,7,114
285250,7,50
285704,7,50
286393,7,50
286499,7,51
286560,7,50
287732,7,50
288139,7,50
289210,7,115
289213,7,115
290381,7,50
290383,7,50
290394,7,20
290707,7,53
290719,7,53
290727,7,53
290729,7,53
290730,7,53
291038,7,53
291044,7,53
291046,7,53
292645,7,114
293693,7,50
293694,7,50
293695,7,53
293700,7,50
294222,7,114
294445,7,52
294446,7,52
298221,7,53
298258,7,50
298290,7,20
299009,7,50
299167,7,114
299464,7,50
299468,7,50
299469,7,50
301306,6,106
302601,7,50
305539,7,50
305831,7,52
305908,7,115
305909,7,51
305910,7,115
305913,7,115
305920,7,51
305921,7,51
305922,7,115
305924,7,115
305925,7,115
305926,7,115
305927,7,51
305928,7,115
305931,7,51
305933,7,115
305938,7,115
305940,7,115
306001,7,50
306039,7,51
306042,7,51
306135,7,50
306703,7,50
307170,7,51
307195,7,50
308847,7,50
310356,7,51
310362,7,51
310363,7,51
310365,7,51
310366,7,51
310367,7,51
310368,7,51
312184,7,20
316401,7,20
316403,7,20
319604,7,20
320254,7,51
320255,7,50
320256,7,51
320261,7,51
320262,7,51
320263,7,51
321323,7,20
321324,7,20
321325,7,20
321808,7,51
321951,7,50
322761,7,51
322772,7,51
322773,7,51
322774,7,51
322775,7,51
322776,7,51
322777,7,51
322778,7,51
322779,7,51
323096,7,52
323794,7,51
323812,7,51
324047,7,20
324300,7,114
324304CB,7,114
324307,6,106
324403,7,116
326305,7,50
326636,7,50
327909,7,20
329001,7,20
329310,7,52
331904,7,20
331905,7,20
331910,7,50
332984,7,20
332985,7,20
333157,7,51
333182,7,51
334312,7,50
334321,7,51
337330,7,50
337331,7,50
337399,7,20
337452,7,20
337790,7,50
337951,7,52
338004,7,50
339007,7,20
339051,7,50
340099,7,53
340825,7,53
341381,7,50
341423,7,53
341424,7,53
342258,7,114
342652,7,20
344511,7,53
344512,7,53
344513,7,53
344515,7,53
344712,7,50
346188,7,20
347773,7,53
347777,7,53
347779,7,53
351401,7,50
351403,7,50
351583,7,50
352493,7,52
352983,7,50
353478,7,52
353874,7,52
354090,7,53
354096,7,53
354241,7,20
356608,7,20
356612,7,20
356613,7,20
357449,7,115
359360,7,116
359410,7,20
359478,7,51
359479,7,51
359481,7,51
359484,7,51
360074,7,51
360076,7,51
360764,7,51
362389,7,50
363553,7,50
364098,7,51
364385,7,53
364387,7,53
364389,7,53
365445,7,20
365690,7,52
365691,7,20
365693,7,20
366355,7,51
366507,7,52
369928,7,20
371046,7,50
371885,7,50
372404,7,53
372405,7,53
372406,7,53
373471,7,50
373518,7,50
374352,7,50
374805,7,53
375107,7,53
375110,7,51
375260,7,114
376779,7,50
377184,7,20
377186,7,52
377551,7,51
377800,7,53
377802,7,53
377828,7,53
377829,7,53
377838,7,50
377839,7,50
378243,7,50
378244,7,50
378407,7,51
378408,7,51
378781,7,51
379195,7,51
379196,7,51
379197,7,51
379198,7,51
379199,7,51
380023,7,51
380024,7,51
381164,7,51
381420,7,52
381421,7,51
381422,7,51
381423,7,51
381739,7,53
382406,7,50
383074,7,51
383076,7,51
383246,7,51
383251,7,20
383979,7,50
384429,7,51
385320,7,51
385321,7,51
386116,7,53
386117,7,53
386221,7,114
386222,7,114
386223,7,114
386797,7,20
388131,7,50
388204,7,50
388206,7,50
388856,7,50
388857,7,50
389489,7,50
389996,7,50
389997,7,50
390110,7,50
390198,7,51
390199,7,51
391031,7,50
391033,7,50
393204,7,51
393574,7,20
393575,7,20
393576,7,20
393583,7,20
393714,7,52
393715,7,52
393716,7,52
393724,7,52
393726,7,52
397073,7,20
397379,7,50
397380,7,50
397382,7,50
397661,7,50
397662,7,50
