id,cate_id,sub_cate_id
1003AEI,11,126
1004ABEI,11,126
1082-Mu-A,11,126
1102H,11,126
13-Piec-A,11,126
1601EI,11,126
1602AGEB,11,126
1602FH,11,126
1703IAEB,11,126
1801AI,11,126
1801HF,11,126
1802FH,11,126
1802GIBA,11,126
1805BEIA,11,126
1805HF,11,126
1806AGJEI,11,126
1806HF,11,126
19020B,11,126
2013RC,11,126
2016EBACI,11,126
2218EA,11,126
2218FH,11,126
3054,11,126
356G,11,126
46PAS,11,126
553-323-A,11,126
606-609-A,11,126
6136b-E-A,11,126
668-48,11,126
678-103,11,126
678-103-A,11,126
678-104-A,11,126
678A,11,126
7050,11,126
7637,11,126
77008-s-A,11,126
8002-Se-A,11,126
8661,11,126
929-B2 -A,11,126
999-2,11,126
AVI001,11,126
AVI002,11,126
AVI003,11,126
AVI004,11,126
BF-630A-A,11,126
CBASB,11,126
CHTO1,11,126
CHTO10,11,126
CHTO12,11,126
CHTO13,11,126
CHTO14,11,126
CHTO15,11,126
CHTO16,11,126
CHTO17,11,126
CHTO18,11,126
CHTO19,11,126
CHTO2,11,126
CHTO20,11,126
CHTO21,11,126
CHTO4,11,126
CHTO5,11,126
CHTO6,11,126
CHTO7,11,126
CHTO8,11,126
CHTO9,11,126
CY6067B-A,11,126
DH34,11,126
FDLX608,11,126
FY008-917,11,126
GF356,11,126
HE0603-04,11,126
HE0801,11,126
HG235A -A,11,126
HSC5706,11,126
KC008-915-919,11,126
KRS-F-6,11,126
KS-3,11,126
KS-4,11,126
KS-61008,11,126
KT7001KL,11,126
LE628-27,11,126
LX175,11,126
LX608,11,126
MC333-33,11,126
MCDH,11,126
MFC,11,126
MY66-M2-A,11,126
NR99444,11,126
NTPR,11,126
PC-105,11,126
PC1021,11,126
PC105-1,11,126
PC1050,11,126
PC1052,11,126
PC1075,11,126
PC1092,11,126
PC110,11,126
PC1110,11,126
PC1128,11,126
PC1133,11,126
PC114,11,126
PC1152,11,126
PC121-B,11,126
PC127,11,126
PC133,11,126
PC135,11,126
PC1521,11,126
PC1527,11,126
PC2120,11,126
PC2133,11,126
PC2152-A,11,126
PC2152-B,11,126
PC92-B,11,126
PC92-B1,11,126
PW103,11,126
RAT001,11,126
RAT003,11,126
RAT006,11,126
RAT007,11,126
RAT008,11,126
RAT010,11,126
RAT011,11,126
RAT012,11,126
RC8037E,11,126
SB324-334-344,11,126
SC9802M,11,126
SCF030-10,11,66
SCF030-20,11,66
SCF033-10,11,66
SCF033-20,11,66
SCF036-10,11,66
SCF036-20,11,66
SCF284,11,66
SCF330,11,66
SCF332,11,66
SCF355,11,66
SCF551,11,66
SCF553,11,66
SCF753,11,66
SCF755,11,66
SCF796,11,66
SCF798,11,66
SCF922,11,66
SLW9881 -A,11,126
TI-1,11,126
TIJ1409,11,126
TOY002,11,126
TTLX175A,11,126
TWLAS,11,126
WT7732,11,126
Y589-01-08,11,126
YJ-3013-A,11,126
YJ-3023-A,11,126
ZB6640,11,126
ZEP001,11,126
ZEP003,11,126
ZEP004,11,126
ZEP006,11,126
ZEP007,11,126
ZEP010,11,126
ZEP011,11,126
ZEP012,11,126
ZEP013,11,126
ZEP014,11,126
ZEP015,11,126
ZEP016,11,126
ZEP018,11,126
ZEP019,11,126
ZEP020,11,126
ZEP021,11,126
ZEP022,11,126
ZEP023,11,126
ZEP026,11,126
ZEP027,11,126
ZEP028,11,126
ZEP029,11,126
ZEP030,11,126
ZEP031,11,126
ZEP033,11,126
ZEP034,11,126
ZEP035,11,126
ZEP038,11,126
ZEP039,11,126
ZEP043,11,126
ZEP044,11,126
ZEP046,11,126
ZEP047,11,126
ZEP049,11,126
ZEP054,11,126
ZEP055,11,126
ZEP056,11,126
