id,brand_id
121009_36,552
126009_09,552
126013_03,552
126013_09,552
126014_03,552
126014_09,552
126014_335,552
126014_349,552
22W (0) 03 011,671
22W (0) 03 012,671
22W (0) 03 113,671
22W (0) 03 114,671
22W (0) 09 013,671
22W (0) 09 014,671
22W (0) 09 113,671
241437,795
241441,795
241481,795
241492,795
241540,795
241656,795
241658,795
241675,795
241677,795
241681,795
241682.1,795
241683.1,795
241712.1,795
241719.1,795
241725.1,795
249094.1,795
249096.1,795
42706,615
5218031,118
5218038,118
5218041,118
5218055,118
5218081,118
5218126,118
5218129,118
5218131,118
5219001,118
5219002,118
5219004,118
5219006,118
5219009,118
5219010,118
5219011,118
5219032,118
5219058,118
5219059,118
5219062,118
5219063,118
5219110,118
5219124,118
5219125,118
5219126,118
5219127,118
5220050,118
5220053,118
5220106,118
5220114,118
5220163,118
5220241,118
901-6002,67
90O (0) 31 011,671
90O (0) 31 012,671
90O (0) 31 013,671
90O (0) 31 014,671
90O (0) 31 015,671
90O (0) 31 016,671
91D (0) 09 011,671
91D (0) 09 012,671
91D (0) 09 014,671
91D (0) 09 114,671
931-4001,67
931-6001,67
934-4001,67
934-6001,67
AA2331,13
ANG001M,36
AQU001,41
AZZ001,55
AZZ001M,55
AZZ002,55
AZZ002M,55
AZZ003,55
AZZ003M,55
AZZ004M,55
BEN001M,74
BEN002M,74
BEN003W,74
BEN004M,74
BEN005W,74
BEN006W,74
BEN007M,74
BEN008M,75
BEN009M,75
BEN010W,75
BEN011W,75
BEN012M,75
BEN013M,75
BEN014W,74
BEN015W,74
BEN016M,74
BEN017M,74
BG1024/16,593
BG3006,593
BHB862,593
BHC017,593
BHD006,593
BHH811,593
BHH880,593
BHS384,593
BHS386,593
BLC001M,91
BT1210/15,593
BT1215/15,593
BT3102,593
BT3105,593
BT3203/85,593
BT3215/15,593
BT7501,593
BUR001,113
BUR001W,113
BUR002,113
BUR002W,113
BUR003,113
BUR003W,113
BUR004,113
BUR004W,113
BUR005,113
BUR005M,113
BUR006,113
BUR006W,113
BUR007,113
BUR007M,113
BUR008,113
BUR008M,113
BUR009,113
BUR009W,113
BUR010,113
BUR010M,113
BUR011M,113
BUR012W,113
BUR013M,113
BUR014W,113
BUR015W,113
BUR016M,113
BUR017W,113
BUR018M,113
BUR019W,113
BVL001,115
BVL001S,115
BVL002,115
BVL002M,115
BVL003,115
BVL003M,115
BVL004,115
BVL004W,115
BVL005,115
BVL005M,115
BVL006,115
BVL006M,115
BVL007W,115
CAC001W,116
CAD001,125
CAD002,125
CAD005,125
CAL001,119
CAL001M,119
CAL002,119
CAL002M,119
CAL003,119
CAL003M,119
CAL004,119
CAL004M,119
CAL005,119
CAL005W,119
CAL006,119
CAL006M,119
CAL007,119
CAL007M,119
CAL008,119
CAL008M,119
CAL009M,119
CAL010W,119
CAR001,124
CAR001M,115
CAR001W,124
CAR002,124
CAR002M,124
CAR003,124
CAR003W,124
CAR004,123
CAR004M,124
CAR005,124
CAR005W,124
CAR006,124
CAR006M,124
CAR007W,122
CAR008W,124
CAR010M,124
CART001M,125
CART002U,125
CART003M,125
CD3042,13
CHL001W,139
CHL002W,139
CHL003W,139
CK001S,119
CK002S,119
CK003W,119
CK004W,119
CK005M,119
CK006W,119
CK007S,119
CK008S,119
CLI001M,150
CLI002W,150
DAV001,181
DAV001M,181
DAV002,181
DAV002W,181
DAV003,181
DAV003M,181
DAV004,181
DAV004W,181
DAV005,181
DAV005M,181
DAV006,181
DAV006M,181
DAV007,181
DAV007W,181
DAV008,181
DAV008M,181
DAV009M,181
DAV010M,181
DAV011M,181
DAV012M,181
DAV013M,181
DAV014M,181
DAV015M,181
DAV016M,181
DAV017W,181
DAV018M,181
DAV019M,181
DIR001M,195
DOL001,201
DOL001W,200
DOL002M,200
DOL003,201
DOL003M,200
DOL004,201
DOL006,201
DUN001S,212
DUN002M,212
DUN003M,212
DUN004M,212
DUN005M,212
DUN006M,212
DUN007M,212
DUN008M,212
ELI001,222
ELI001W,221
ELI002,222
ELI002W,221
ELI003,222
ELI003W,221
ELI004,222
ELI004W,221
ELI005,222
ELI005W,221
ELI006S,219
ELI007S,219
ELI008W,221
EST001W,230
EST002W,230
EST003M,230
EST004W,230
EST005W,230
EST006M,230
EST007W,230
EST008M,230
FCU001W,245
FER001,248
FER001M,248
FER002,248
FER002M,248
FER003M,248
FER004M,248
FER005M,248
FER006,248
FS6452,13
FS6453,13
FS6454,13
GHPHHCAPPK00,313
GHPHHCASBK00,313
GIV001W,276
GIV002M,276
GIV003W,276
GIV004M,276
GIV005M,276
GIV006W,276
GIV007W,276
GIV008M,276
GIV009M,276
GIV010W,276
