id,cate_id,sub_cate_id
121009_36,13,128
126009_09,13,128
126013_03,13,128
126013_09,13,128
126014_03,13,128
126014_09,13,128
126014_335,13,128
126014_349,13,128
22W (0) 03 011,13,129
22W (0) 03 012,13,129
22W (0) 03 113,13,129
22W (0) 03 114,13,129
22W (0) 09 013,13,129
22W (0) 09 014,13,129
22W (0) 09 113,13,129
241437,13,127
241441,13,127
241481,13,127
241492,13,127
241540,13,127
241656,13,127
241658,13,127
241675,13,127
241677,13,127
241681,13,127
241682.1,13,127
241683.1,13,127
241712.1,13,127
241719.1,13,127
241725.1,13,127
249094.1,13,127
249096.1,13,127
42706,13,132
5218031,13,128
5218038,13,128
5218041,13,128
5218055,13,128
5218081,13,128
5218126,13,128
5218129,13,128
5218131,13,128
5219001,13,128
5219002,13,128
5219004,13,128
5219006,13,128
5219009,13,128
5219010,13,128
5219011,13,128
5219032,13,128
5219058,13,128
5219059,13,128
5219062,13,128
5219063,13,128
5219110,13,128
5219124,13,128
5219125,13,128
5219126,13,128
5219127,13,128
5220050,13,128
5220053,13,128
5220106,13,128
5220114,13,128
5220163,13,128
5220241,13,128
901-6002,13,134
90O (0) 31 011,13,129
90O (0) 31 012,13,129
90O (0) 31 013,13,129
90O (0) 31 014,13,129
90O (0) 31 015,13,129
90O (0) 31 016,13,129
91D (0) 09 011,13,129
91D (0) 09 012,13,129
91D (0) 09 014,13,129
91D (0) 09 114,13,129
931-4001,13,134
931-6001,13,134
934-4001,13,134
934-6001,13,134
AA2331,13,130
ANG001M,13,70
AQU001,13,70
AZZ001,13,70
AZZ001M,13,70
AZZ002,13,70
AZZ002M,13,70
AZZ003,13,70
AZZ003M,13,70
AZZ004M,13,70
BEN001M,13,70
BEN002M,13,70
BEN003W,13,70
BEN004M,13,70
BEN005W,13,70
BEN006W,13,70
BEN007M,13,70
BEN008M,13,70
BEN009M,13,70
BEN010W,13,70
BEN011W,13,70
BEN012M,13,70
BEN013M,13,70
BEN014W,13,70
BEN015W,13,70
BEN016M,13,70
BEN017M,13,70
BG1024/16,13,131
BG3006,13,131
BHB862,13,132
BHC017,13,132
BHD006,13,132
BHH811,13,132
BHH880,13,132
BHS384,13,132
BHS386,13,132
BLC001M,13,70
BT1210/15,13,131
BT1215/15,13,131
BT3102,13,131
BT3105,13,131
BT3203/85,13,131
BT3215/15,13,131
BT7501,13,131
BUR001,13,70
BUR001W,13,70
BUR002,13,70
BUR002W,13,70
BUR003,13,70
BUR003W,13,70
BUR004,13,70
BUR004W,13,70
BUR005,13,70
BUR005M,13,70
BUR006,13,70
BUR006W,13,70
BUR007,13,70
BUR007M,13,70
BUR008,13,70
BUR008M,13,70
BUR009,13,70
BUR009W,13,70
BUR010,13,70
BUR010M,13,70
BUR011M,13,70
BUR012W,13,70
BUR013M,13,70
BUR014W,13,70
BUR015W,13,70
BUR016M,13,70
BUR017W,13,70
BUR018M,13,70
BUR019W,13,70
BVL001,13,70
BVL001S,13,70
BVL002,13,70
BVL002M,13,70
BVL003,13,70
BVL003M,13,70
BVL004,13,70
BVL004W,13,70
BVL005,13,70
BVL005M,13,70
BVL006,13,70
BVL006M,13,70
BVL007W,13,70
CAC001W,13,70
CAD001,13,70
CAD002,13,70
CAD005,13,70
CAL001,13,70
CAL001M,13,70
CAL002,13,70
CAL002M,13,70
CAL003,13,70
CAL003M,13,70
CAL004,13,70
CAL004M,13,70
CAL005,13,70
CAL005W,13,70
CAL006,13,70
CAL006M,13,70
CAL007,13,70
CAL007M,13,70
CAL008,13,70
CAL008M,13,70
CAL009M,13,70
CAL010W,13,70
CAR001,13,70
CAR001M,13,70
CAR001W,13,70
CAR002,13,70
CAR002M,13,70
CAR003,13,70
CAR003W,13,70
CAR004,13,70
CAR004M,13,70
CAR005,13,70
CAR005W,13,70
CAR006,13,70
CAR006M,13,70
CAR007W,13,70
CAR008W,13,70
CAR010M,13,70
CART001M,13,70
CART002U,13,70
CART003M,13,70
CD3042,13,128
CHL001W,13,70
CHL002W,13,70
CHL003W,13,70
CK001S,13,70
CK002S,13,70
CK003W,13,70
CK004W,13,70
CK005M,13,70
CK006W,13,70
CK007S,13,70
CK008S,13,70
CLI001M,13,70
CLI002W,13,70
DAV001,13,70
DAV001M,13,70
DAV002,13,70
DAV002W,13,70
DAV003,13,70
DAV003M,13,70
DAV004,13,70
DAV004W,13,70
DAV005,13,70
DAV005M,13,70
DAV006,13,70
DAV006M,13,70
DAV007,13,70
DAV007W,13,70
DAV008,13,70
DAV008M,13,70
DAV009M,13,70
DAV010M,13,70
DAV011M,13,131
DAV012M,13,70
DAV013M,13,70
DAV014M,13,70
DAV015M,13,70
DAV016M,13,70
DAV017W,13,70
DAV018M,13,70
DAV019M,13,70
DIR001M,13,70
DOL001,13,70
DOL001W,13,70
DOL002M,13,70
DOL003,13,70
DOL003M,13,70
DOL004,13,70
DOL006,13,70
DUN001S,13,70
DUN002M,13,70
DUN003M,13,131
DUN004M,13,70
DUN005M,13,70
DUN006M,13,70
DUN007M,13,70
DUN008M,13,70
ELI001,13,70
ELI001W,13,70
ELI002,13,70
ELI002W,13,70
ELI003,13,70
ELI003W,13,70
ELI004,13,70
ELI004W,13,70
ELI005,13,70
ELI005W,13,70
ELI006S,13,70
ELI007S,13,70
ELI008W,13,70
EST001W,13,70
EST002W,13,70
EST003M,13,70
EST004W,13,70
EST005W,13,70
EST006M,13,70
EST007W,13,70
EST008M,13,70
FCU001W,13,70
FER001,13,70
FER001M,13,70
FER002,13,70
FER002M,13,70
FER003M,13,70
FER004M,13,70
FER005M,13,70
FER006,13,70
FS6452,13,128
FS6453,13,128
FS6454,13,128
GHPHHCAPPK00,13,132
GHPHHCASBK00,13,132
GIV001W,13,70
GIV002M,13,70
GIV003W,13,70
GIV004M,13,70
GIV005M,13,70
GIV006W,13,70
GIV007W,13,70
GIV008M,13,70
GIV009M,13,70
GIV010W,13,70
GUCC001W,13,70
GUCC002M,13,70
GUCC003W,13,132
GUCC004W,13,70
GUCC005M,13,70
GUCC006W,13,70
GUCC007M,13,70
GUCC008M,13,70
GUCC009M,13,70
GUCC010W,13,70
GUE001,13,70
GUE001M,13,70
GUE002M,13,70
HP6306,13,131
HP8120,13,132
HP8142,13,132
HP8303,13,132
HP8318,13,132
HP8643/46,13,132
HUG001,13,70
HUG001M,13,70
HUG002W,13,70
HUG003M,13,70
HUG004,13,70
HUG005,13,70
HUG005S,13,70
HUG006,13,70
HUG006W,13,70
HUG007,13,70
HUG007M,13,70
HUG008,13,70
HUG008M,13,70
HUG009,13,70
HUG009W,13,70
HUG010,13,70
HUG010M,13,70
HUG011W,13,70
HUG012M,13,70
HUG013M,13,70
HUG014M,13,70
HUG016W,13,70
HUG017W,13,70
ISS001,13,70
ISS001M,13,70
ISS002,13,70
ISS002W,13,70
ISS003,13,70
ISS003M,13,70
ISS004M,13,70
ISS005W,13,70
ISS006M,13,70
JAG001,13,70
JAG001M,13,70
JAG002,13,70
JAG002M,13,70
JAG003,13,70
JAG003M,13,70
JIM001M,13,70
JOO002M,13,70
JOO003M,13,70
JOO004M,13,70
JPG001W,13,70
KEN001W,13,70
L1_Navy,13,129
L1_Tan,13,129
LAC002M,13,131
LAC003M,13,131
LAC004M,13,70
LAC005W,13,70
LAC006M,13,70
LAC007M,13,131
LAC008W,13,70
LAN001W,13,70
LAN002W,13,70
LAN003W,13,70
LAN005M,13,70
LAN006W,13,70
LAN007W,13,70
LO001W,13,70
LOM001M,13,70
LOM002W,13,70
LOM003W,13,70
LOM004M,13,70
MAR001W,13,70
MG3730/15,13,131
MG7715/15,13,131
MON001,13,70
MON001M,13,70
MON002,13,70
MON002M,13,70
MON003,13,70
MON003W,13,70
MON004M,13,70
MON005,13,70
MON005W,13,70
MON006M,13,70
MON007M,13,70
MON008M,13,70
NAU001M,13,70
NAU002M,13,70
NAU003M,13,70
NIN001W,13,70
NIN002W,13,70
NIN003W,13,70
PAC001W,13,70
PAC002M,13,70
PAC003M,13,70
PAC004W,13,70
PAC005M,13,70
PAC006M,13,70
PAC007M,13,70
PAC008W,13,70
POL001M,13,70
POL003M,13,70
PRA001,13,70
PRA001M,13,70
PRA002,13,70
PRA003,13,70
PRA004,13,70
QP2512,13,131
QP2525,13,131
S1121,13,131
S1223,13,131
S3122,13,131
S3350,13,131
S5420/06,13,131
SAL001M,13,70
SGW219.11,13,129
SGW224.11,13,129
SGW231.71,13,129
SYS170,13,132
SYS171,13,132
SYS172,13,132
SYS175,13,132
SYS178,13,132
SYS179,13,132
SYS180,13,131
SYS181,13,131
SYS182,13,131
SYS183,13,131
SYS184,13,131
SYS187,13,131
TER001M,13,70
TER002M,13,70
TER003M,13,70
TER004W,13,70
TOF001,13,70
TOF002,13,70
TOM001,13,70
TOM002,13,70
TOM004M,13,70
TOM005M,13,70
UDV001M,13,70
UDV002M,13,70
UDV003W,13,70
UDV004M,13,70
UDV005M,13,70
UDV006M,13,70
UDV007W,13,70
VER001M,13,70
VER002W,13,70
VER003W,13,70
VER004M,13,70
VER004W,13,70
VER005W,13,70
VER006W,13,70
VER007M,13,70
VER008M,13,70
VER009M,13,70
VER010M,13,70
VER011W,13,70
VER012M,13,70
VER014W,13,132
VIV001W,13,70
VIV002W,13,70
W164_Black,13,129
W164_Tan,13,129
WDBMCG0010BBTWESN,13,131
WDBMCG0010BYTWESN,13,131
WDBMCG5000AYTWESN,13,131
YVE001M,13,70
YVE002M,13,70
YVE003M,13,70
YVE004W,13,70
YVE005M,13,70
Z34 (0) 01 049,13,129
Z34 (0) 08 049,13,129
