id,cate_id,sub_cate_id
01O (0) 01 002,14,117
01O (0) 09 001,14,117
08N (0) 09 012,14,123
08S (0) 09 001,14,71
108087_03,14,117
108226_317,14,71
108226_35,14,71
108226_788,14,71
108227_317,14,71
108227_35,14,71
109025_36,14,117
110090_36,14,71
110091_36,14,71
110093_36,14,117
111059_03,14,117
111071_317,14,117
111071_437,14,117
111074GT_03,14,117
111074_03,14,117
111074_437,14,117
111078_109,14,117
111078_757,14,117
111078_886,14,117
111082_437,14,71
111087_03,14,117
111104_773,14,117
111104_875,14,117
111122_757,14,117
111122_773,14,117
111137_35,14,117
111141_03,14,117
111141_194,14,117
111141_40,14,117
112037_030,14,71
112038GT_03,14,117
112046_030,14,117
112053_396,14,71
112054_396,14,71
112057_03,14,71
114004_03,14,117
114004_117,14,117
114006_03,14,118
114006_194,14,118
114006_337,14,118
114006_785,14,118
114007_03,14,119
114007_337,14,119
114007_40,14,119
114007_551,14,119
114007_785,14,119
114015_787,14,117
114015_788,14,117
114016_787,14,118
114016_788,14,118
114018_787,14,119
114018_788,14,119
117045_03,14,121
117047_317,14,122
117050_317,14,122
117055_03,14,122
121001_03,14,71
121001_844,14,71
122014_205,14,117
122101_03,14,117
122102_03,14,117
122103_03,14,117
122104_03,14,117
123006_02,14,117
123006_206,14,117
123006_36,14,117
123007_36,14,117
123008_36,14,117
123010_36,14,117
24N (0) 09 003,14,121
24N (0) 09 005,14,122
24N (0) 09 008,14,123
2728640417,14,117
27O (0) 08 001,14,71
31R (0) 09 003,14,121
355,14,123
3555431416,14,117
3555606416,14,117
3576310405,14,121
39O (0) 80 002,14,121
39V (0) 09 004,14,122
39V (0) 09 008,14,121
39V (0) 09 010,14,123
40O (0) 01 001,14,121
40X (0) 01 008,14,71
41O (0) 11 001,14,120
41O (0) 30 003,14,120
457,14,123
49O (0) 81 002,14,120
50O (0) 83 002,14,121
50O (0) 84 002,14,121
54O (0) 09 001,14,71
5527200417,14,117
5587111408,14,117
5617606406,14,117
56T (0) 09 006,14,121
5919001OG,14,117
5919003OG,14,117
5919005OG,14,117
5919006OG,14,117
5919007OG,14,117
5919008OG,14,117
5919009OG,14,117
5919010OG,14,117
5919011OG,14,117
5919013OG,14,117
5919017OG,14,71
5919018OG,14,71
5919318OG,14,71
5919319OG,14,71
5919324OG,14,117
5919576OG,14,117
5995202459,14,117
67Z (0) 09 002,14,123
711007_02,14,117
713102_36,14,71
7737202156,14,71
78612_Black,14,118
78612_Dark Brown,14,118
78612_Tan,14,118
78613_Black,14,118
78613_Dark Brown,14,118
78614_Black,14,118
78614_Dark Brown,14,118
78614_Tan,14,118
78615_Black,14,118
78615_Dark Brown,14,118
87732253,14,122
A101_BLK,14,118
A101_Navy,14,118
A101_RED,14,118
A101_TAN,14,118
A102_Black,14,118
A102_Navy,14,118
A102_RED,14,118
A102_Tan,14,118
A125_Black,14,118
A125_Navy,14,118
A125_Red,14,118
A125_Tan,14,118
A126_Black,14,117
A126_Navy,14,117
A126_Red,14,117
A126_Tan,14,117
A129_Black,14,118
A129_Navy,14,118
A129_Red,14,118
A129_Tan,14,118
