nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,100223,49,100223.jpg,Kinley mineral water 500ml (Pack of 24),"[""100012.jpg""]",240,224,7,1,4,37,0,0,0,0,0,0,0,0,0,0,1,50,,,,20/12/2050,0,0,5,4,1,0,[],0,18,493,2201,390
0,102774,49,102774.jpg,Complan Classic Chocolate Health Drink Mix Carton 500 g,"[""102774.jpg"",""102774-1.jpg"",""102774-2.jpg"",""102774-3.jpg"","" "",]",280,273,3,1,4,99,0,0,1,500,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6040|523|525|12555,0,162
0,102830,49,102830.jpg,Cadbury Bournvita Chocolate Health Drink Mix Plastic Bottle 1 kg,"[""102830.jpg"",""102830-1.jpg"",""102830-2.jpg"",""102830-3.jpg"","" "",]",410,396,4,1,4,99,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6041|519|520|12555,1234,117
0,102833,49,102833.jpg,Cadbury Bournvita Chocolate Health Drink Mix Pouch 500 g,"[""102833.jpg"",""102833-1.jpg"",""102833-2.jpg"",""102833-3.jpg"","" "",]",209,202,4,1,4,99,0,0,1,500,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,6042|519|520|12555,1234,117
0,102871,49,102871.jpg,Brooke Bond Red Label Tea Pouch 1 kg,"[""102871.jpg"",""102871-1.jpg"",""102871-2.jpg"",""102871-3.jpg"","" "",]",570,555,3,1,4,36,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,12565|979|6043|468|469|1912|11979,902,106
0,103246,49,103246.jpg,"Aquafina Water, 2L (Pack of 9)","[""103246.jpg"",""103246-1.jpg"",""103246-2.jpg"",""103246-3.jpg"","" "",]",315,293,7,1,4,37,0,0,0,0,0,0,0,0,1,2,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6046|494,2106,42
0,113817,49,113817.jpg,Morton Fruit Cocktail 850 g,"[""113817.jpg"",""113817-1.jpg"",""113817-2.jpg"",""113817-3.jpg"","" "",]",130,127,3,1,10,62,0,0,1,850,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6094|555,403,501
0,118518,49,118518.jpg,BRU Super Strong Instant Coffee Pouch 500 g,"[""118518.jpg"",""118518-1.jpg"",""118518-2.jpg"",""118518-3.jpg"","" "",]",406,392,4,1,4,98,0,0,1,500,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,12585|12581|6100|508|517|518|12585,2101,108
0,118572,49,118572.jpg,Nescafe Sunrise Coffee Powder Pouch 1 kg,"[""118572.jpg"",""118572-1.jpg"",""118572-2.jpg"",""118572-3.jpg"","" "",]",680,648,5,1,4,98,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,12576|6102|508|528,2101,526
0,118774,49,118774.jpg,Nestle A+ Slim Milk Tetrapack 1 L,"[""118774.jpg"",""118774-1.jpg"",""118774-2.jpg"",""118774-3.jpg"","" "",]",89,85,5,1,3,32,0,0,0,0,0,0,0,0,1,1,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6104|231,401,528
0,130138,49,130138.jpg,Real Mango Drink   1.2 L (pack of 12),"[""130138.jpg"",""130138-1.jpg"",""130138-2.jpg"",""130138-3.jpg"","" "",]",1200,1166,3,1,4,35,0,0,0,0,0,0,0,0,1,1.2,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,6129|573|538,0,638
0,130307,49,130307.jpg,Real Mixed Fruit 1000 ml (Pack of 12),"[""130307.jpg"",""130307-1.jpg"",""130307-2.jpg"",""130307-3.jpg"","" "",]",1320,1284,3,1,4,35,0,0,0,0,0,0,0,0,0,0,1,1000,,,,20/12/2050,0,0,5,4,1,0,[],0,18,6130|573|574,0,638
0,137936,49,137936.jpg,Taj Mahal Tea Toptainer 1 kg,"[""137936.jpg"",""137936-1.jpg"",""137936-2.jpg"",""137936-3.jpg"","" "",]",750,730,3,1,4,36,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,979|6139|468|1912|11979,902,748
0,146775,49,146775.jpg,Sofit Soya Milk Natural 1 L,"[""146775.jpg"",""146775-1.jpg"",""146775-2.jpg"",""146775-3.jpg"","" "",]",145,145,0,1,3,32,0,0,0,0,0,0,0,0,1,1,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6150|222|538,2202,702
0,146778,49,146778.jpg,Sofit Soya Milk Mango 1 L,"[""146778.jpg"",""146778-1.jpg"",""146778-2.jpg"",""146778-3.jpg"","" "",]",130,130,0,1,3,32,0,0,0,0,0,0,0,0,1,1,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,6151|222|538,2202,702
0,147738,49,147738.jpg,"Twinings Lemon Tea, 100 Teabags","[""147738.jpg"",""147738-1.jpg"",""147738-2.jpg"",""147738-3.jpg"","" "",]",910,910,0,1,4,36,0,0,0,0,0,0,1,100,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,12586|6156|468|474|479|12586,0,776
