id,cate_id,sub_cate_id
106417,8,112
120018,8,111
254677,8,111
257545,8,111
259837,8,55
259856,8,55
265371,8,55
267629,8,111
273619,8,112
273620,8,112
273623,8,112
284553,8,112
284567,8,112
294223,8,111
295228,5,101
296072,8,55
318987,8,55
318989,8,55
318994,8,55
318998,8,55
318999,8,55
322932,8,55
322933,8,55
324302CB,7,114
324373,8,111
324375,8,111
324380,8,111
326875,8,111
328680,8,55
329278,8,111
343820,8,55
351050,8,55
353634,8,55
353644,8,55
353647,8,55
353658,8,55
353710,7,114
375304,8,112
375307,8,112
378825,8,111
378826,8,111
380583,8,55
380584,8,55
380976,8,55
380977,8,55
380978,8,55
380981,8,55
385295,8,55
385296,8,55
385297,8,55
392911,8,55
392961,8,55
392965,8,55
392966,8,55
401455,7,52
402997,7,116
405304,7,116
409685,8,111
409686,8,111
422300,8,111
