id,discount
382050,58
423246,55
423345,27
410711,32
423350,53
163575,3
163578,3
163582,3
163584,3
325222,3
325224,3
325225,4
390131,9
411235,9
413080,18
419444,22
420443,22
382049,58
410712,35
423245,52
427680,55
380159,3
398762,36
401672,41
419438,20
420436,27
427660,43
423351,41
427658,34
420434,32
406862,42
420441,31
431442,12
382599,31
413075,24
431453,40
429585,20
433079,25
431435,34
413088,8
390133,15
418434,16
431450,40
419401,26
419460,16
383630,47
431432,33
423346,38
413096,5
413084,26
433424,15
314724,19
412442,16
419435,25
429383,17
413074,22
413076,20
