id,discount
250116,10
250660,10
250689,10
250539,12
SB0001,4
SB0002,6
SB0004,5
SB0005,7
SB0006,7
SB0007,6
SB0008,7
SB0009,7
SB0010,7
SB0011,7
SB0012,7
SB0013,7
SB0014,7
SB0015,6
SB0016,7
SB0017,7
SB0018,7
SB0019,7
SB0020,7
SB0021,7
SB0022,7
SB0023,7
SB0024,7
SB0026,7
SB0027,7
SB0028,7
SB0029,7
SB0030,7
SB0031,6
SB0032,7
SB0033,7
SB0034,7
SB0035,7
SB0003,7
SB0025,5
SB0036,7
SB0071,6
SB0072,7
SB0073,7
SB0074,7
SB0075,7
358846,7
289973,7
410561,7
410563,7
410564,7
410571,7
410572,7
410574,6
410576,7
410577,7
410583,7
410585,7
410567,7
422452,7
410400,7
336901,7
410569,7
316384,7
335697,7
285296,7
308034,7
335695,7
285273,7
285280,7
285283,7
285314,7
285284,7
346287,7
346286,7
346284,7
346288,7
346285,7
