id,original_price,sell_price,variations_types,stocks,size
250116,33,30,1000|500|2000,0,1
250660,198,180,1000|500|2000,0,1
250689,33,30,[],0,0
250539,88,80,1000|500|2000,0,1
SB0001,58,56,500|1000|2000|3000|4000|5000,100,1
SB0002,35,33,500|1000|2000|3000|4000|5000,100,1
SB0004,105,100,500|1000|2000|3000|4000|5000,100,1
SB0005,73,68,500|1000|2000|3000|4000|5000,100,1
SB0006,160,149,500|1000|2000|3000|4000|5000,0,1
SB0007,54,51,500|1000|2000|3000|4000|5000,100,1
SB0008,44,41,500|1000|2000|3000|4000|5000,100,1
SB0009,285,266,100|200|300|400|500|600|700|800|900|1000,100,1
SB0010,396,369,500|1000|2000|3000|4000|5000,0,1
SB0011,43,40,500|1000|2000|3000|4000|5000,100,1
SB0012,132,123,500|1000|2000|3000|4000|5000,0,1
SB0013,74,69,500|1000|2000|3000|4000|5000,100,1
SB0014,114,107,500|1000|2000|3000|4000|5000,0,1
SB0015,53,50,500|1000|2000|3000|4000|5000,100,1
SB0016,108,101,500|1000|2000|3000|4000|5000,0,1
SB0017,112,105,500|1000|2000|3000|4000|5000,100,1
SB0018,80,75,500|1000|2000|3000|4000|5000,100,1
SB0019,127,119,500|1000|2000|3000|4000|5000,100,1
SB0020,87,81,500|1000|2000|3000|4000|5000,100,1
SB0021,138,129,500|1000|2000|3000|4000|5000,100,1
SB0022,80,75,500|1000|2000|3000|4000|5000,0,1
SB0023,153,143,500|1000|2000|3000|4000|5000,100,1
SB0024,123,115,500|1000|2000|3000|4000|5000,100,1
SB0026,149,139,500|1000|2000|3000|4000|5000,0,1
SB0027,202,188,500|1000|2000|3000|4000|5000,0,1
SB0028,126,118,500|1000|2000|3000|4000|5000,100,1
SB0029,98,92,500|1000|2000|3000|4000|5000,100,1
SB0030,98,92,500|1000|2000|3000|4000|5000,100,1
SB0031,35,33,500|1000|2000|3000|4000|5000,100,1
SB0032,101,94,500|1000|2000|3000|4000|5000,100,1
SB0033,47,44,500|1000|2000|3000|4000|5000,100,1
SB0034,137,128,500|1000|2000|3000|4000|5000,100,1
SB0035,47,44,500|1000|2000|3000|4000|5000,100,1
SB0003,44,41,500|1000|2000|3000|4000|5000,0,1
SB0025,42,40,500|1000|2000|3000|4000|5000,100,1
SB0036,94,88,500|1000|2000|3000|4000|5000,100,1
SB0071,54,51,1000|2000|3000|4000|5000,100,1
SB0072,93,87,1000|2000|3000|4000|5000,0,1
SB0073,273,254,500|1000|2000|3000|4000,0,1
SB0074,43,40,500|1000|2000|3000|4000,100,1
SB0075,123,115,500|1000|2000|3000|4000,100,1
358846,160,149,500|1000|2000|3000|4000,0,1
289973,1044,971,250|500|1000|2000|3000,100,1
410561,989,920,250|500|1000|2000|3000,100,1
410563,114,107,250|500|1000|2000|3000,100,1
410564,2419,2250,250|500|1000|2000|3000,0,1
410571,435,405,250|500|1000|2000|3000,100,1
410572,128,120,250|500|1000|2000|3000,0,1
410574,261,246,250|500|1000|2000|3000,100,1
410576,308,287,250|500|1000|2000|3000,100,1
410577,230,214,250|500|1000|2000|3000,100,1
410583,879,818,250|500|1000|2000|3000,100,1
410585,401,373,250|500|1000|2000|3000,100,1
410567,1006,936,250|500|1000|2000|3000,100,1
422452,1518,1412,250|500|1000|2000|3000,0,1
410400,220,205,250|500|1000|2000|3000,100,1
336901,589,548,250|500|1000|2000,100,1
410569,203,189,250|500|1000|2000,100,1
316384,2503,2328,250|500|1000|2000,100,1
335697,1249,1162,250|500|1000|2000,100,1
285296,352,328,250|500|1000|2000,100,1
308034,329,306,250|500|1000|2000,100,1
335695,1254,1167,250|500|1000|2000,0,1
285273,934,869,250|500|1000|2000,100,1
285280,879,818,250|500|1000|2000,0,1
285283,704,655,250|500|1000|2000,100,1
285314,401,373,250|500|1000|2000,0,1
285284,765,712,250|500|1000|2000,100,1
346287,396,369,250|500|1000|2000,100,1
346286,396,369,250|500|1000|2000,100,1
346284,220,205,250|500|1000|2000,100,1
346288,297,277,250|500|1000|2000,100,1
346285,220,205,250|500|1000|2000,100,1
