id,original_price,sell_price,variations_types,stocks,size
249951,186,169,1000|500|2000,100,1
250122,104,94,1000|500|2000,100,1
250103,121,110,1000|500|2000,0,1
250110,110,100,1000|500|2000,100,1
250174,219,199,1000|500|2000,100,1
250624,219,199,[],100,0
279427,229,208,[],100,0
249882,138,125,1000|500|2000,0,1
249965,36,32,[],0,0
250223,165,150,1000|500|2000,0,1
250222,61,55,[],100,0
SB0039,99,90,1000|500,0,1
250231,99,90,1000|500|2000,0,1
250116,42,38,1000|500|2000,100,1
SB0037,193,175,[],0,0
249961,219,199,1000|500|2000,100,1
249944,286,260,1000|500|2000,100,1
350486,98,89,[],0,0
250133,121,110,[],100,0
SB0089,88,80,500|1000|2000|3000|4000,0,1
249877,77,70,1000|500|2000,100,1
250077,55,50,[],100,0
250078,72,65,[],0,0
250095,66,60,[],100,0
249889,219,199,1000|500|2000,100,1
250145,385,350,1000|500|2000,0,1
249963,264,240,1000|500|2000,100,1
249926,264,240,1000|500|2000,0,1
350478,330,300,1000|500|2000,0,1
250215,110,100,500|1000|2000|3000|4000,0,1
338005,330,300,500|1000|2000,100,1
403952,270,245,[],0,0
298938,36,32,[],100,0
285818,360,327,1000|500|2000,0,1
249953,142,129,1000|500|2000,0,1
250216,209,190,1000|500|2000,0,1
368287,55,50,[],0,0
279433,327,297,1000|500|2000,100,1
250200,88,80,[],0,0
250205,325,295,[],0,0
250219,110,100,1000|500|2000,0,1
340409,109,99,1000|2000,100,1
398436,154,140,[],0,0
388437,110,100,[],100,0
250406,143,130,1000|2000,0,1
249885,146,132,1000|500|2000,0,1
253355,193,175,[],100,0
317850,76,69,[],0,0
368273,97,88,[],100,0
250193,165,150,[],0,0
368288,429,390,[],0,0
SB0040,86,78,[],0,0
SB0041,242,220,500|1000|2000,0,1
SB0043,248,225,1000|500|2000,0,1
SB0042,209,190,1000|500|2000,0,1
250383,132,120,1000|500|2000,0,1
SB0038,108,98,[],0,0
SB0069,301,273,500|1000|2000,0,1
350487,363,330,250|500|1000|2000,0,1
SB0076,303,275,250|500|1000|2000,0,1
SB0080,121,110,500|1000|2000|3000|4000,0,1
SB0052,132,120,500|1000|2000|3000|4000,0,1
SB0081,220,200,500|1000|2000|3000|4000,0,1
SB0082,165,150,500|1000|2000|3000|4000,0,1
SB0084,121,110,500|1000|2000|3000|4000,0,1
SB0085,219,199,500|1000|2000|3000|4000,0,1
SB0086,209,190,500|1000|2000|3000|4000,0,1
SB0087,121,110,500|1000|2000|3000|4000,0,1
SB0088,55,50,500|1000|2000|3000|4000,0,1
SB0090,121,110,500|1000|2000|3000|4000,0,1
249415,121,110,500|1000|2000|3000|4000,0,1
249959,248,225,500|1000|2000|3000|4000,0,1
