id,original_price,sell_price,variations_types,stocks,size
249951,165,150,1000|500|2000,0,1
250122,90,81,1000|500|2000,100,1
250103,99,90,1000|500|2000,100,1
250110,99,90,1000|500|2000,100,1
250174,291,264,1000|500|2000,100,1
250624,396,360,[],100,0
279427,220,200,[],0,0
249882,138,125,1000|500|2000,0,1
249965,44,40,[],100,0
250223,77,70,1000|500|2000,100,1
250222,72,65,[],100,0
SB0039,99,90,1000|500,100,1
250231,88,80,1000|500|2000,100,1
250116,47,42,1000|500|2000,100,1
SB0037,132,120,[],0,0
249961,253,230,,100,1
249944,275,250,1000|500|2000,100,1
350486,138,125,[],0,0
250133,182,165,[],100,0
SB0089,88,80,500|1000|2000|3000|4000,0,1
249877,88,80,1000|500|2000,100,1
250077,50,45,[],100,0
250078,72,65,[],0,0
250095,88,80,[],100,0
249889,132,120,1000|500|2000,100,1
250145,385,350,1000|500|2000,0,1
249963,219,199,1000|500|2000,100,1
249926,264,240,1000|500|2000,0,1
350478,330,300,1000|500|2000,0,1
250215,110,100,500|1000|2000|3000|4000,0,1
338005,308,280,500|1000|2000,100,1
403952,270,245,[],0,0
298938,38,34,[],100,0
285818,360,327,1000|500|2000,0,1
249953,142,129,1000|500|2000,0,1
250216,209,190,1000|500|2000,0,1
368287,55,50,[],0,0
279433,329,299,1000|500|2000,100,1
250200,88,80,[],0,0
250205,325,295,[],0,0
250219,77,70,1000|500|2000,0,1
340409,165,150,1000|2000,0,1
398436,165,150,[],0,0
388437,99,90,[],0,0
250406,39,35,1000|2000,100,1
249885,146,132,1000|500|2000,0,1
253355,182,165,[],0,0
317850,76,69,[],0,0
368273,99,90,[],100,0
250193,165,150,[],0,0
368288,429,390,[],0,0
SB0040,86,78,[],0,0
SB0041,264,240,500|1000|2000,100,1
SB0043,248,225,1000|500|2000,0,1
SB0042,209,190,1000|500|2000,100,1
250383,94,85,1000|500|2000,0,1
SB0038,108,98,[],0,0
SB0069,301,273,500|1000|2000,0,1
350487,363,330,250|500|1000|2000,0,1
SB0076,303,275,250|500|1000|2000,0,1
SB0080,121,110,500|1000|2000|3000|4000,0,1
SB0052,132,120,500|1000|2000|3000|4000,0,1
SB0081,220,200,500|1000|2000|3000|4000,0,1
SB0082,165,150,500|1000|2000|3000|4000,100,1
SB0084,121,110,500|1000|2000|3000|4000,0,1
SB0085,219,199,500|1000|2000|3000|4000,0,1
SB0086,209,190,500|1000|2000|3000|4000,0,1
SB0087,121,110,500|1000|2000|3000|4000,0,1
SB0088,55,50,500|1000|2000|3000|4000,0,1
SB0090,121,110,500|1000|2000|3000|4000,0,1
249415,121,110,500|1000|2000|3000|4000,0,1
249959,248,225,500|1000|2000|3000|4000,0,1
250196,121,110,500|1000|2000|3000|4000,0,1
368187,121,110,500|1000|2000|3000|4000,0,1
368284,109,99,500|1000|2000|3000|4000,0,1
368277,121,110,500|1000|2000|3000|4000,0,1
405152,92,83,1000|500|2000,0,1
405143,61,55,[],0,0
250667,198,180,1000|500|250,100,1
250658,220,200,1000|500|2000,100,1
405202,165,150,1000|500|2000,100,1
250645,220,200,1000|500|2000,100,1
250647,314,285,[],100,0
277862,49,44,[],0,0
357258,61,55,[],0,0
250662,143,130,1000|500|2000,0,1
250538,138,125,1000|500|250,0,1
307012,44,40,[],100,0
307011,37,33,[],100,0
307009,37,33,[],100,0
307010,33,30,[],100,0
277865,33,30,1000|500|2000,0,1
250631,165,150,250|500|1000,100,1
250664,132,120,[],100,0
250665,132,120,[],100,0
368136,54,49,[],100,0
251150,22,20,[],100,0
250638,275,250,1000|500|2000,100,1
250656,209,190,[],100,0
250657,88,80,[],0,0
250634,275,250,1000|500|2000,100,1
250635,275,250,1000|500|2000,100,1
250660,176,160,1000|500|2000,100,1
277860,55,50,[],100,0
250659,152,138,1000|500|2000,0,1
342749,88,80,[],0,0
250625,138,125,1000|500|250,100,1
368181,55,50,[],0,0
250626,94,85,[],0,0
357042,65,59,[],0,0
357033,65,59,[],0,0
356927,17,15,[],0,0
356991,17,15,[],0,0
356935,65,59,[],0,0
405186,28,25,[],0,0
405141,120,109,[],0,0
405155,22,20,[],0,0
405146,73,66,[],0,0
405156,24,21,[],0,0
405140,75,68,[],0,0
405149,42,38,[],0,0
405147,59,53,[],0,0
405138,51,46,[],0,0
405158,25,22,[],0,0
405194,75,68,[],0,0
405154,81,73,[],0,0
405161,32,29,[],0,0
405162,31,28,[],0,0
405193,94,85,[],0,0
405163,32,29,[],0,0
405215,24,21,[],0,0
405190,120,109,[],0,0
405216,24,21,[],0,0
405217,44,40,[],0,0
250505,53,48,[],100,0
250528,77,70,[],100,0
250591,33,30,[],100,0
250511,50,45,[],100,0
252663,27,24,[],100,0
250679,39,35,[],100,0
250680,22,20,[],100,0
SB0070,20,18,[],100,0
250683,33,30,[],100,0
250685,33,30,[],100,0
250687,33,30,[],100,0
250689,28,25,[],100,0
250569,44,40,[],100,0
250607,50,45,1000|500|2000,100,1
250931,17,15,[],100,0
250608,28,25,1000|500|2000,100,1
250438,44,40,1000|500|2000,100,1
250457,50,45,1000|500|250,100,1
250443,28,25,[],100,0
273395,61,55,1000|500|2000,0,1
250641,72,65,1000|500|250,100,1
250462,77,70,1000|500|2000,100,1
250561,44,40,1000|500,100,1
250445,55,50,1000|500|250,0,1
261478,110,100,1000|500|250,100,1
250554,55,50,1000|500|2000,100,1
250474,39,35,1000|500|250,100,1
250543,132,120,1000|500|250,100,1
250574,17,15,1000|500|2000,100,1
