id,original_price,sell_price,variations_types,stocks,size
307939,310,162,[],0,0
345205,190,173,[],0,0
401672,999,520,[],100,0
408984,375,274,[],0,0
419570,155,134,[],100,0
421512,499,365,[],0,0
424790,155,134,[],100,0
398762,555,317,[],0,0
423166,135,77,[],0,0
418766,299,171,[],100,0
418763,299,171,[],100,0
273497,550,369,[],100,0
405272,180,171,[],100,0
249961,242,220,1000|500|2000,100,1
249963,314,285,1000|500|2000,100,1
403952,303,275,[],100,0
250460,121,110,1000|500|250,100,1
250457,121,110,1000|500|250,100,1
250462,94,85,1000|500|2000,100,1
252663,31,28,[],100,0
250438,48,43,1000|500|2000,100,1
250174,187,170,1000|500|2000,100,1
