id,original_price,sell_price,discount,variations_types,stocks,size
405217,40,40,0,[],0,0
251150,26,23,12,[],100,0
250543,132,120,10,1000|500|250,100,1
249926,253,230,10,1000|500|2000,100,1
249944,275,250,10,1000|500|2000,100,1
249951,165,150,10,1000|500|2000,100,1
249961,219,199,10,1000|500|2000,100,1
285818,327,327,0,1000|500|2000,0,1
249963,303,275,10,1000|500|2000,100,1
249953,142,129,10,1000|500|2000,0,1
250544,61,61,0,[],0,0
342749,329,299,10,[],0,0
250624,308,280,10,[],0,0
250625,385,350,10,1000|500|2000,100,1
368181,53,53,0,[],0,0
250626,85,85,0,[],0,0
250512,55,50,10,[],100,0
250103,99,90,10,1000|500|2000,0,1
250553,61,55,10,1000|500|2000,100,1
250110,99,90,10,1000|500|2000,0,1
250116,28,25,11,1000|500|2000,100,1
250549,17,15,12,[],100,0
250122,43,39,10,1000|500|2000,100,1
250545,22,20,10,[],100,0
250547,19,19,0,[],0,0
250492,83,75,10,1000|500|250,100,1
250641,55,50,10,1000|500|250,100,1
250485,128,128,0,500|1000|2000,0,1
250554,88,80,10,1000|500|2000,100,1
250474,110,100,10,1000|500|250,100,1
250561,77,70,10,1000|500,100,1
403952,292,260,11,[],100,0
319569,351,351,0,[],0,0
334392,434,299,32,1000|2000|3000,100,1
250569,55,50,10,[],100,0
250460,109,99,10,1000|500|250,100,1
250457,99,90,10,1000|500|250,100,1
250445,109,99,10,1000|500|250,100,1
250638,330,300,10,1000|500|2000,100,1
102582,758,758,0,1000|2000|3000,0,1
319957,507,349,32,1000|2000|3000,100,1
102592,420,289,32,1000|2000|3000,0,1
102587,507,349,32,1000|2000|3000,0,1
128069,333,229,32,1000|2000|3000,100,0
102590,347,239,32,1000|2000|3000,0,1
102615,304,209,32,1000|2000|3000,100,1
250521,61,55,10,[],100,0
250656,198,198,0,[],0,0
250657,120,120,0,[],0,0
250462,88,80,10,1000|500|2000,100,1
250634,340,340,0,1000|500|2000,0,1
250635,340,340,0,1000|500|2000,0,1
250536,99,99,0,1000|500|250,0,1
273395,50,45,10,1000|500|2000,100,1
347642,165,150,10,1000|500|2000,100,1
250931,39,35,11,[],100,0
250660,275,250,10,1000|500|2000,100,1
SB0065,567,567,0,1000|2000|3000,0,1
270201,516,516,0,1000|2000|3000,0,1
250465,99,90,10,1000|500|250,100,1
250468,72,65,10,1000|500|250,100,1
250570,39,35,11,1000|500|2000,100,1
250574,99,90,10,1000|500|2000,0,1
252663,25,22,12,[],100,0
250586,39,35,11,[],100,0
250679,22,20,10,[],100,0
250438,44,40,10,1000|500|2000,100,1
250440,22,20,10,1000|500|2000,100,1
250443,66,60,10,[],100,0
250680,17,15,12,[],100,0
250216,209,190,10,1000|500|2000,0,1
SB0070,28,25,11,[],0,0
250600,55,50,10,[],100,0
279522,47,47,0,1000|500|2000,0,1
279427,275,250,10,1000|500|2000,100,1
250615,22,20,10,[],0,0
405152,83,83,0,1000|500|2000,0,1
368287,54,49,10,[],100,0
106227,927,639,32,1000|2000|3000,100,1
107443,282,194,32,1000|2000|3000,100,1
106244,1159,799,32,1000|2000|3000,100,1
107449,240,165,32,1000|2000|3000,100,1
106220,391,269,32,1000|2000|3000,100,1
246792,289,199,32,1000|2000|3000,100,1
134262,1014,699,32,1000|2000|3000,100,1
107558,260,179,32,1000|2000|3000,0,1
106224,1348,929,32,1000|2000|3000,100,1
106367,652,449,32,1000|2000|3000,100,1
405143,55,55,0,[],0,0
250511,61,55,10,[],100,0
277860,75,50,34,[],100,0
250591,39,35,11,[],100,0
279433,253,230,10,1000|500|2000,0,1
SB0040,94,85,10,[],0,0
250200,66,60,10,[],100,0
250205,253,230,10,[],0,0
250490,54,49,10,1000|500|250,100,1
SB0068,134,134,0,[],0,0
250219,97,97,0,1000|500|2000,0,1
250667,200,200,0,1000|500|250,0,1
340409,165,150,10,1000|2000,0,1
398436,154,140,10,[],100,0
388437,55,50,10,[],0,0
298938,28,25,11,[],100,0
250930,99,90,10,1000|500|2000,100,1
250658,182,182,0,1000|500|2000,0,1
261478,55,50,10,1000|500|250,100,1
405202,143,130,10,1000|500|2000,100,1
250645,242,220,10,1000|500|2000,100,1
250647,242,220,10,1000|500|2000,0,1
250231,219,199,10,1000|500|2000,0,1
SB0041,291,291,0,[],0,0
SB0043,225,225,0,1000|500|2000,0,1
SB0042,206,206,0,1000|500|2000,0,1
250383,85,85,0,1000|500|2000,0,1
SB0039,219,199,10,1000|500|250,0,1
250406,165,150,10,1000|500|2000,0,1
250683,22,20,10,[],100,0
250685,17,15,12,[],100,0
249877,77,70,10,1000|500|2000,100,1
368136,55,45,19,[],100,0
249965,77,70,10,[],100,0
326808,1014,699,32,1000|2000|3000,100,1
326809,985,679,32,1000|2000|3000,100,1
SB0066,1555,1555,0,1000|2000|3000,0,1
SB0067,1052,1052,0,1000|2000|3000,0,1
326807,1159,799,32,1000|2000|3000,100,1
326815,1555,1555,0,1000|2000|3000,0,1
SB0064,1555,1555,0,1000|2000|3000,0,1
146675,605,605,0,[],0,0
326812,205,205,0,[],0,0
250507,110,100,10,[],0,0
277862,54,54,0,[],0,0
