id,original_price,sell_price,discount,variations_types,stocks
405217,30,27,10,[],0
251150,22,20,10,[],100
250543,143,130,10,1000|500|250,100
249926,265,265,0,1000|500|2000,0
249944,219,199,10,1000|500|2000,100
249951,121,110,10,1000|500|2000,100
249961,219,199,10,1000|500|2000,100
285818,292,265,10,1000|500|2000,0
249963,219,199,10,1000|500|2000,100
249953,296,269,10,1000|500|2000,0
250544,69,63,9,[],100
342749,54,49,10,[],0
250624,253,230,10,[],100
250625,121,110,10,1000|500|2000,100
368181,42,38,10,[],0
250626,72,65,10,[],0
250512,50,45,10,[],100
250103,99,90,10,1000|500|2000,0
250553,55,50,10,1000|500|2000,100
250110,94,85,10,1000|500|2000,100
250116,32,29,10,1000|500|2000,100
250549,17,15,12,[],100
250122,61,55,10,1000|500|2000,100
250545,22,20,10,[],100
250547,11,10,10,[],0
250492,33,30,10,1000|500|250,100
250641,50,45,10,1000|500|250,100
250554,22,20,10,1000|500|2000,100
250474,39,35,11,1000|500|250,100
250561,28,25,11,1000|500,100
403952,295,260,12,[],100
250569,21,19,10,[],100
250460,44,40,10,1000|500|250,100
250457,17,15,12,1000|500|250,100
250445,55,50,10,1000|500|250,100
250638,176,160,10,1000|500|2000,0
250521,17,15,12,[],100
250656,143,130,10,[],0
250657,110,100,10,[],0
250462,66,60,10,1000|500|2000,100
250634,165,150,10,1000|500|2000,100
250635,165,150,10,1000|500|2000,100
250536,65,65,0,1000|500|250,0
273395,83,75,10,1000|500|2000,0
347642,109,99,10,1000|500|2000,100
250931,40,36,10,[],0
250660,154,140,10,1000|500|2000,100
250465,50,45,10,1000|500|250,100
250468,33,30,10,1000|500|250,100
250570,39,35,11,1000|500|2000,0
250574,17,15,12,1000|500|2000,100
252663,25,22,12,[],100
250586,44,40,10,1000|500|2000,100
250679,25,22,12,[],100
250438,44,40,10,1000|500|2000,100
250440,14,12,15,1000|500|2000,100
250443,51,46,10,[],100
250680,20,18,10,[],100
250216,248,225,10,1000|500|2000,100
250600,40,36,10,[],100
279522,37,33,11,1000|500|2000,0
279427,275,250,10,1000|500|2000,0
250615,7,6,15,[],0
405152,70,63,10,1000|500|2000,0
368287,44,40,10,[],0
405143,44,40,10,[],0
250511,70,63,10,[],100
277860,75,50,34,[],100
250591,59,53,11,500,100
279433,286,260,10,1000|500|2000,0
SB0040,182,165,10,[],0
250200,105,95,10,[],0
250205,171,155,10,[],0
250490,193,175,10,1000|500|250,0
250219,83,75,10,1000|500|2000,0
250667,149,135,10,1000|500|250,0
340409,93,84,10,1000|2000,0
298938,29,26,11,[],100
250930,39,35,11,1000|500|2000,100
250658,165,150,10,1000|500|2000,0
261478,99,90,10,1000|500|250,0
405202,143,130,10,1000|500|2000,0
250645,165,150,10,1000|500|2000,0
250647,138,125,10,1000|500|2000,100
250231,77,70,10,1000|500|2000,0
SB0041,259,235,10,[],0
SB0043,198,180,10,1000|500|2000,0
SB0042,182,165,10,1000|500|2000,0
250383,72,65,10,1000|500|2000,0
SB0039,66,60,10,1000|500|250,0
250406,165,150,10,1000|500|2000,100
250683,27,24,12,[],100
250685,22,20,10,[],100
249877,50,45,10,1000|500|2000,100
368136,55,49,11,[],100
249965,65,59,10,[],100
250505,84,76,10,[],100
250507,88,80,10,[],100
277862,49,44,11,[],0
249882,50,45,10,1000|500|2000,100
249885,115,104,10,1000|500|2000,0
249889,182,165,10,1000|500|2000,100
357258,54,49,10,[],0
250662,121,110,10,1000|500|2000,0
250687,29,26,11,[],0
250222,40,36,10,[],100
368197,66,60,10,[],0
250133,308,280,10,1000|500|2000,0
250145,329,299,10,1000|500|2000,100
