id,original_price,sell_price,variations_types,stocks,size
275236,299,201,[],100,0
277136,86,79,[],100,0
345202,190,164,[],100,0
345204,190,171,[],100,0
345205,190,173,[],100,0
356608,86,79,[],100,0
356612,86,79,[],100,0
382050,700,469,[],100,0
422302,315,164,[],100,0
416980,160,152,[],100,0
416979,160,152,[],100,0
413149,199,182,[],100,0
400689,299,156,[],100,0
428020,320,256,[],100,0
266796,95,91,[],0,0
308106,99,91,[],0,0
420463,50,29,[],0,0
311545,150,137,[],0,0
413148,189,180,[],0,0
422398,550,314,[],0,0
394936,1900,817,[],0,0
386223,499,335,[],0,0
