id,original_price,sell_price,variations_types,stocks,size
249961,248,225,1000|500|2000,1,1
249953,160,145,1000|500|2000,1,1
250553,61,55,1000|500|2000,1,1
250521,66,60,[],1,0
250931,49,44,[],0,0
250465,88,80,1000|500|250,1,1
250570,39,35,1000|500|2000,1,1
SB0070,39,35,[],0,0
250511,61,55,[],1,0
250683,39,35,[],0,0
250509,109,99,[],1,0
250505,88,80,[],1,0
250174,198,180,1000|500|2000,1,1
250528,73,66,1000|500|2000,1,1
250607,66,60,1000|500|2000,1,1
250437,109,99,500|1000|2000,1,1
250077,108,98,[],1,0
SB0076,275,250,250|500|1000|2000,1,1
249944,275,250,1000|500|2000,1,1
249961,275,250,1000|500|2000,1,1
249963,330,300,1000|500|2000,1,1
250561,69,62,1000|500,1,1
403952,319,290,[],1,0
347642,132,120,1000|500|2000,1,1
252663,33,30,[],1,0
250438,70,63,1000|500|2000,1,1
338005,352,320,500|1000|2000,1,1
253355,440,400,1000|500|2000,1,1
250174,209,190,1000|500|2000,1,1
