id,original_price,sell_price,variations_types,stocks,size
250122,83,75,1000|500|2000,100,1
249965,44,40,[],100,0
250231,219,199,1000|500|2000,0,1
249961,209,190,1000|500|2000,100,1
250193,86,78,[],0,0
368136,65,49,[],100,0
250638,138,125,1000|500|2000,100,1
250505,77,70,[],100,0
250528,31,28,500|1000|2000,100,1
252663,28,25,[],100,0
250680,17,15,[],0,0
250569,9,8,[],100,0
250462,66,60,1000|500|2000,100,1
261478,99,90,1000|500|250,100,1
250474,50,45,1000|500|250,100,1
250492,39,35,1000|500|250,100,1
146675,536,369,[],0,0
101678,652,449,500|1000|2000|3000|4000,0,1
102596,138,95,500|1000|2000|3000,0,1
