id,original_price,sell_price,variations_types,stocks,size
284317,56,34,[],0,0
284319,67,41,[],0,0
326624,2600,1430,[],0,0
376908,115,69,[],100,0
383630,350,193,[],0,0
401857,3999,2000,[],100,0
401858,2899,1450,[],100,0
409824,200,120,[],100,0
409838,899,450,[],100,0
419777,150,90,[],100,0
397554,940,376,[],0,0
427657,299,210,[],100,0
398762,555,333,[],100,0
426652,799,440,[],100,0
424239,225,157.5,[],0,0
424060,60,58,[],100,0
424061,60,58,[],100,0
276758,2820,1974,[],100,0
418766,299,164.45,[],100,0
418763,299,164.45,[],100,0
398284,180,108,[],100,0
422299,75,41.25,[],0,0
417757,410,225.5,[],100,0
250553,64,58,1000|500|2000,100,1
250549,21,19,[],100,0
250545,25,22,[],100,0
347642,127,115,1000|500|2000,100,1
250574,154,140,1000|500|2000,100,1
250438,72,65,1000|500|2000,100,1
277860,50,45,[],100,0
279433,286,260,1000|500|2000,100,1
338005,352,320,500|1000|2000,100,1
250539,86,78,1000|500|250,100,1
SB0089,83,75,500|1000|2000|3000|4000,100,1
250122,49,44,1000|500|2000,100,1
273395,54,49,1000|500|2000,100,1
250440,22,20,1000|500|2000,0,1
250680,33,30,[],0,0
250490,49,44,1000|500|250,100,1
261478,44,40,1000|500|250,100,1
250509,109,99,[],100,0
250145,363,330,1000|500|2000,100,1
250174,176,160,1000|500|2000,100,1
250437,83,75,500|1000|2000,0,1
250631,138,125,1000|500|2000,0,1
250659,138,125,1000|500|2000,100,1
