id,original_price,sell_price,variations_types,stocks,size
249951,165,150,1000|500|2000,0,1
250122,61,55,1000|500|2000,100,1
250103,99,90,1000|500|2000,0,1
250110,99,90,1000|500|2000,0,1
250174,219,199,1000|500|2000,100,1
250624,429,390,[],0,0
279427,242,220,[],100,0
249882,77,70,1000|500|2000,100,1
249965,61,55,[],100,0
250223,77,70,1000|500|2000,100,1
250222,71,64,[],100,0
SB0039,219,199,1000|500|250,0,1
250231,219,199,1000|500|2000,0,1
250116,31,28,1000|500|2000,100,1
SB0037,132,120,[],100,0
249961,198,180,1000|500|2000,100,1
249944,264,240,1000|500|2000,100,1
350486,88,80,[],0,0
250133,165,150,[],0,0
SB0089,88,80,500|1000|2000|3000|4000,100,1
249877,88,80,1000|500|2000,100,1
250077,132,120,[],100,0
250095,73,66,[],100,0
249889,193,175,1000|500|2000,100,1
250145,385,350,1000|500|2000,0,1
249963,198,180,1000|500|2000,100,1
249926,253,230,1000|500|2000,0,1
350478,330,300,1000|500|2000,0,1
250215,110,100,500|1000|2000|3000|4000,0,1
338005,329,299,500|1000|2000,100,1
403952,292,260,[],0,0
298938,28,25,[],100,0
285818,360,327,1000|500|2000,0,1
249953,142,129,1000|500|2000,0,1
250216,209,190,1000|500|2000,0,1
368287,55,50,[],0,0
279433,253,230,1000|500|2000,100,1
250200,66,60,[],100,0
250205,275,250,[],0,0
250219,77,70,1000|500|2000,0,1
340409,165,150,1000|2000,0,1
398436,160,145,[],100,0
388437,66,60,[],100,0
250406,193,175,1000|500|2000,0,1
249885,146,132,1000|500|2000,0,1
253355,248,225,[],0,0
317850,77,70,[],100,0
368273,105,95,[],100,0
250193,193,175,250|500|1000|2000,0,1
368288,429,390,[],0,0
SB0040,165,150,[],100,0
SB0041,321,291,[],0,0
SB0043,248,225,1000|500|2000,0,1
SB0042,227,206,1000|500|2000,0,1
250383,94,85,1000|500|2000,0,1
SB0038,134,121,[],0,0
SB0069,301,273,500|1000|2000,0,0
350487,363,330,250|500|1000|2000,0,1
SB0076,303,275,250|500|1000|2000,0,1
SB0080,121,110,500|1000|2000|3000|4000,0,1
SB0052,121,110,500|1000|2000|3000|4000,0,1
SB0081,121,110,500|1000|2000|3000|4000,0,1
SB0082,121,110,500|1000|2000|3000|4000,0,1
SB0084,121,110,500|1000|2000|3000|4000,0,1
SB0085,121,110,500|1000|2000|3000|4000,0,1
SB0086,121,110,500|1000|2000|3000|4000,0,1
SB0087,121,110,500|1000|2000|3000|4000,0,1
SB0088,121,110,500|1000|2000|3000|4000,0,1
SB0090,121,110,500|1000|2000|3000|4000,0,1
249415,121,110,500|1000|2000|3000|4000,0,1
249959,248,225,500|1000|2000|3000|4000,0,1
250196,121,110,500|1000|2000|3000|4000,0,1
368187,121,110,500|1000|2000|3000|4000,0,1
368284,121,110,500|1000|2000|3000|4000,0,1
368277,121,110,500|1000|2000|3000|4000,0,1
405152,92,83,1000|500|2000,0,1
405143,61,55,[],0,0
250667,220,200,1000|500|250,0,1
250658,132,120,1000|500|2000,0,1
405202,143,130,1000|500|2000,0,1
250645,138,125,1000|500|2000,0,1
250647,143,130,[],100,0
277862,49,44,[],100,0
357258,61,55,[],0,0
250662,143,130,1000|500|2000,100,1
250538,138,125,1000|500|250,0,1
307012,40,40,[],100,0
307011,33,33,[],100,0
307009,33,33,[],100,0
307010,30,30,[],100,0
277865,33,30,1000|500|2000,0,1
250631,193,175,1000|500|2000,0,1
250664,138,125,[],100,0
250665,138,125,[],100,0
368136,49,49,[],100,0
251150,26,23,[],100,0
250638,138,125,1000|500|2000,100,1
250656,218,198,[],0,0
250657,143,130,[],100,0
250634,275,250,1000|500|2000,100,1
250635,275,250,1000|500|2000,100,1
250660,275,250,1000|500|2000,0,1
277860,289,55,[],100,0
250659,152,138,1000|500|2000,0,1
342749,88,80,[],0,0
250625,286,260,1000|500|250,100,1
368181,275,250,[],100,0
250626,94,85,[],0,0
405186,28,25,[],0,0
405141,120,109,[],0,0
405155,22,20,[],0,0
405146,73,66,[],0,0
405156,24,21,[],0,0
405140,75,68,[],0,0
405149,42,38,[],0,0
405147,59,53,[],0,0
405138,51,46,[],0,0
405158,25,22,[],0,0
405194,75,68,[],0,0
405154,81,73,[],0,0
405161,32,29,[],0,0
405162,31,28,[],0,0
405193,94,85,[],0,0
405163,32,29,[],0,0
405215,24,21,[],0,0
405190,120,109,[],0,0
405216,24,21,[],0,0
405217,44,40,[],0,0
250505,93,84,[],100,0
250528,49,44,[],100,0
250591,61,55,[],100,0
250511,55,50,[],100,0
252663,28,25,[],100,0
250679,28,25,[],100,0
250680,17,15,[],100,0
SB0070,28,25,[],100,0
250683,28,25,[],100,0
250685,22,20,[],100,0
250687,28,25,[],100,0
250689,33,30,[],100,0
250569,28,25,[],100,0
250607,33,30,1000|500|2000,100,1
250931,22,20,[],100,0
250608,28,25,1000|500|2000,100,1
250438,28,25,1000|500|2000,100,1
250457,37,33,1000|500|250,100,1
250443,22,20,[],100,0
273395,50,45,1000|500|2000,100,1
250641,28,25,1000|500|250,100,1
250462,109,99,1000|500|2000,100,1
250561,33,30,1000|500,100,1
250445,44,40,1000|500|250,100,1
261478,66,60,1000|500|250,100,1
250554,50,45,1000|500|2000,100,1
250474,55,50,1000|500|250,100,1
250460,33,30,1000|500,100,1
250543,132,120,1000|500|250,100,1
250574,39,35,1000|500|2000,100,1
250465,88,80,1000|500|250,0,1
250468,110,100,1000|500|250,100,1
250492,33,30,1000|500|250,100,1
250417,14,12,1000|500|2000,100,1
250521,43,39,[],100,0
347642,154,140,1000|500|2000,100,1
250490,72,65,1000|500|250,100,1
250437,20,18,500|1000|2000,100,1
250440,17,15,1000|500|2000,100,1
250539,28,25,1000|500|250,100,1
250549,17,15,[],100,0
250545,22,20,[],100,0
250553,61,55,1000|500|2000,100,1
250600,22,20,[],0,0
250570,18,16,1000|500|2000,0,1
250930,33,30,1000|500|2000,100,1
250609,55,50,1000|500|2000,0,1
250611,83,75,[],100,0
250604,81,73,[],0,0
250544,55,50,[],0,0
250586,39,35,[],0,0
250512,66,60,[],100,0
250509,88,80,[],100,0
250615,22,20,[],0,0
SB0068,110,100,[],100,0
250531,66,60,1000|500|250,0,1
250547,21,19,[],0,0
250485,141,128,500|1000|2000,0,1
250536,109,99,1000|500|250,0,1
279522,52,47,1000|500|2000,0,1
250507,121,110,[],100,0
368197,88,80,[],0,0
261662,68,61,[],0,0
SB0077,39,35,500|1000|2000,0,1
106367,695,479,1000|2000|3000,100,1
106224,1391,959,1000|2000|3000,0,1
106227,1087,749,1000|2000|3000,100,1
106244,1145,789,1000|2000|3000,100,1
134262,1014,699,1000|2000|3000,100,1
277174,1377,949,500|1000|2000|3000|4000,100,1
SB0094,2319,1599,500|1000|2000|3000,0,1
106271,405,279,1000|2000|3000,100,1
106312,565,389,500|1000|2000|3000|4000,0,1
SB0078,637,439,500|1000|2000,0,1
106268,652,449,500|1000|2000|3000|4000,100,1
106220,376,259,1000|2000|3000,100,1
246792,217,149,1000|2000|3000,100,1
107449,246,169,1000|2000|3000,100,1
107443,289,199,1000|2000|3000,100,1
106254,942,649,500|1000|2000|3000|4000,100,1
106316,478,329,500|1000|2000|3000|4000,100,1
106261,579,399,500|1000|2000|3000|4000,0,1
106369,1884,1299,500|1000|2000|3000|4000,100,1
106384,550,379,500|1000|2000|3000|4000,100,1
106306,811,559,500|1000|2000|3000|4000,0,1
SB0091,1101,759,500|1000|2000|3000|4000,100,1
106374,269,185,[],0,1
107558,202,139,1000|2000|3000,100,1
106235,507,349,500|1000|2000|3000|4000,100,1
106288,797,549,500|1000|2000|3000|4000,100,1
107563,217,149,500|1000|2000|3000|4000,100,1
106216,376,259,500|1000|2000|3000|4000,100,1
SB0079,566,390,500|1000|2000|3000|4000,0,1
SB0092,376,259,500|1000|2000|3000,0,1
SB0095,360,248,[],0,0
SB0096,360,248,500|1000|2000|3000,0,1
146624,971,669,1000|2000|3000,100,1
146620,1000,689,1000|2000|3000,100,1
326807,1159,799,1000|2000|3000,0,1
SB0067,1526,1052,1000|2000|3000,0,1
SB0066,2255,1555,1000|2000|3000,0,1
146675,878,605,[],0,0
326815,2255,1555,1000|2000|3000,0,1
SB0064,2255,1555,1000|2000|3000,0,1
326812,298,205,[],0,0
101678,579,399,500|1000|2000|3000|4000,0,1
102592,239,289,1000|2000|3000,100,1
319569,509,351,[],0,0
334392,525,361.9,1000|2000|3000,0,1
102582,1100,758,1000|2000|3000,0,1
319957,507,349,1000|2000|3000,100,1
102587,507,349,1000|2000|3000,0,1
128069,239,239,[],100,0
102590,347,239,1000|2000|3000,0,1
102615,304,209,1000|2000|3000,100,1
SB0065,823,567,1000|2000|3000,0,1
270201,749,516,1000|2000|3000,0,1
208647,173,119,500|1000|2000|3000,0,1
102596,138,95,500|1000|2000|3000,0,1
128329,382,262.8,[],0,0
SB0093,637,439,500|1000|2000|3000,0,1
342122,1116,769,500|1000|2000|3000,0,1
127123,696,480,500|1000|2000|3000,0,1
288052,550,379,500|1000|2000|3000,0,1
328035,360,248,500|1000|2000|3000,0,1
394857,666,459,[],0,0
SB0001,62,57,500|1000|2000|3000|4000|5000,0,1
SB0002,38,35,500|1000|2000|3000|4000|5000,100,1
SB0004,173,158,500|1000|2000|3000|4000|5000,100,1
SB0005,74,68,500|1000|2000|3000|4000|5000,100,1
SB0006,160,146,500|1000|2000|3000|4000|5000,0,1
SB0007,63,58,500|1000|2000|3000|4000|5000,0,1
SB0008,46,42,500|1000|2000|3000|4000|5000,0,1
SB0009,270,246,100|200|300|400|500|600|700|800|900|1000,100,1
SB0010,396,361,500|1000|2000|3000|4000|5000,0,1
SB0011,38,35,500|1000|2000|3000|4000|5000,100,1
SB0012,134,122,500|1000|2000|3000|4000|5000,100,1
SB0013,85,78,500|1000|2000|3000|4000|5000,100,1
SB0014,113,103,500|1000|2000|3000|4000|5000,0,1
SB0015,58,53,500|1000|2000|3000|4000|5000,100,1
SB0016,189,172,500|1000|2000|3000|4000|5000,0,1
SB0017,125,114,500|1000|2000|3000|4000|5000,100,1
SB0018,96,88,500|1000|2000|3000|4000|5000,100,1
SB0019,124,113,500|1000|2000|3000|4000|5000,100,1
SB0020,83,76,500|1000|2000|3000|4000|5000,100,1
SB0021,132,121,500|1000|2000|3000|4000|5000,100,1
