id,original_price,sell_price,variations_types,stocks,size
250561,50,45,1000|500,0,1
403952,286,260,[],100,0
250569,44,40,[],100,0
250570,28,25,1000|500|2000,0,1
252663,25,22,[],100,0
250586,28,25,[],0,0
277862,49,44,[],0,0
368273,105,95,[],100,0
250609,55,50,1000|500|2000,0,1
250417,72,65,1000|500|2000,100,1
249961,319,290,1000|500|2000,100,1
249963,319,290,1000|500|2000,100,1
250624,385,350,[],100,0
250122,83,75,1000|500|2000,100,1
250438,75,68,1000|500|2000,100,1
250440,19,17,1000|500|2000,100,1
277860,64,58,[],100,0
253355,413,375,1000|500|2000,100,1
250608,41,37,1000|500|2000,100,1
338005,352,320,500|1000|2000,100,1
