id,original_price,sell_price,variations_types,stocks,size
250625,303,275,1000|500|2000,100,1
107558,260,179,1000|2000|3000,100,1
106235,579,399,500|1000|2000|3000|4000,100,1
250116,29,26,1000|500|2000,100,1
249944,264,240,1000|500|2000,100,1
250492,39,35,1000|500|250,0,1
106224,1348,929,1000|2000|3000,0,1
106268,711,490,500|1000|2000|3000|4000,0,1
250122,50,45,1000|500|2000,100,1
249882,88,80,1000|500|2000,100,1
388437,66,60,[],100,0
250645,242,220,1000|500|2000,100,1
250647,219,199,1000|500|2000,100,1
250662,143,130,1000|500|2000,100,1
250505,86,78,[],100,0
252663,28,25,[],100,0
250608,33,30,1000|500|2000,100,1
273395,61,55,1000|500|2000,100,1
250462,88,80,1000|500|2000,100,1
250561,44,40,1000|500,100,1
250554,77,70,1000|500|2000,100,1
250460,77,70,1000|500|250,100,1
250574,44,40,1000|500|2000,100,1
250440,22,20,1000|500|2000,100,1
SB0011,42,39,500|1000|2000|3000|4000|5000,100,1
SB0031,35,32,500|1000|2000|3000|4000|5000,100,1
SB0003,44,41,500|1000|2000|3000|4000|5000,100,1
