id,original_price,sell_price,variations_types,stocks,size
423167,100,57,[],0,0
284340,54,31,[],0,0
423163,135,77,[],0,0
392682,30,22,[],0,0
415290,149,109,[],0,0
405272,180,121,[],100,0
418768,225,129,[],100,0
418770,225,129,[],100,0
418769,250,143,[],100,0
284787,75,43,[],100,0
284265,80,46,[],100,0
284304,95,55,[],100,0
417720,225,151,[],100,0
419438,345,314,[],100,0
279803,80,65,[],0,0
300791,300,243,[],100,0
300847,300,243,[],100,0
412210,290,166,[],100,0
422301,50,29,[],100,0
424592,140,80,[],0,0
400691,299,171,[],100,0
400692,299,171,[],100,0
422900,329,188,[],100,0
422721,349,199,[],100,0
409864,349,199,[],100,0
409878,349,199,[],100,0
409876,349,199,[],100,0
419026,310,177,[],100,0
425713,1000,340,[],100,0
