id,original_price,sell_price,variations_types,stocks,size
249961,242,220,1000|500|2000,100,1
250554,99,90,1000|500|2000,100,1
403952,297,270,[],100,0
250462,127,115,1000|500|2000,100,1
347642,141,128,1000|500|2000,100,1
250570,43,39,1000|500|2000,100,1
250438,61,55,1000|500|2000,100,1
279427,319,290,1000|500|2000,100,1
277860,72,65,[],100,0
250930,104,94,1000|500|2000,100,1
357258,59,53,[],100,0
250133,314,285,1000|500|2000,100,1
250174,193,175,1000|500|2000,100,1
342749,275,250,[],0,0
250634,374,340,1000|500|2000,0,1
250645,242,220,1000|500|2000,0,1
357258,61,55,[],0,0
317850,99,90,[],100,0
350486,99,90,1000|500|2000,0,1
