id,original_price,sell_price,variations_types,stocks,size
250624,429,390,[],100,0
250110,94,85,1000|500|2000,0,1
250122,54,49,1000|500|2000,100,1
250462,109,99,1000|500|2000,100,1
250465,66,60,1000|500|250,100,1
252663,28,25,[],100,0
250440,17,15,1000|500|2000,0,1
279427,275,250,1000|500|2000,100,1
250511,55,50,[],100,0
250490,65,59,1000|500|250,100,1
250509,109,99,[],0,0
250505,93,84,[],100,0
250222,58,52.5,[],100,0
250095,55,50,[],100,0
250174,187,170,1000|500|2000,100,1
250528,73,66,[],100,0
250223,72,65,1000|500|2000,100,1
307010,33,30,[],0,0
SB0089,66,60,500|1000|2000|3000|4000,100,1
