id,original_price,sell_price,variations_types,stocks,size
423167,100,57,[],100,0
398762,555,317,[],100,0
423166,135,77,[],100,0
417757,410,214,[],100,0
368742,110,90,[],100,0
273494,550,369,[],100,0
273496,550,369,[],100,0
249926,286,260,1000|500|2000,100,1
249961,264,240,1000|500|2000,100,1
250641,88,80,1000|500|250,100,1
403952,303,275,[],100,0
250465,83,75,1000|500|250,100,1
250570,44,40,1000|500|2000,100,1
250574,105,95,1000|500|2000,100,1
250511,77,70,[],100,0
277860,72,65,[],100,0
250930,105,95,1000|500|2000,100,1
368288,440,400,[],100,0
251150,28,25,[],0,0
250624,303,275,[],100,0
250122,43,39,1000|500|2000,100,1
250457,99,90,1000|500|250,100,1
250638,330,300,1000|500|2000,0,1
250465,88,80,1000|500|250,100,1
252663,24,21,[],100,0
250490,54,49,1000|500|250,100,1
261478,50,45,1000|500|250,100,1
250647,242,220,1000|500|2000,0,1
250528,60,54,[],100,0
250531,72,65,1000|500|250,0,1
SB0089,61,55,500|1000|2000|3000|4000,100,1
