id,original_price,sell_price,variations_types,stocks,size
251150,28,25,[],0,0
342749,329,299,[],100,0
250624,308,280,[],100,0
250122,50,45,1000|500|2000,100,1
250468,77,70,1000|500|250,100,1
252663,28,25,[],100,0
250216,209,190,1000|500|2000,100,1
298938,28,25,[],100,0
SB0039,219,199,1000|500|250,100,1
250509,110,100,[],100,0
250505,106,96,[],100,0
250095,61,55,[],100,0
250174,193,175,1000|500|2000,100,1
250528,37,33,[],100,0
317850,109,99,[],100,0
250417,51,46,1000|500|2000,100,1
250437,51,46,500|1000|2000,100,1
