id,original_price,sell_price,variations_types,stocks,size
342749,329,299,[],0,0
250122,50,45,1000|500|2000,100,1
403952,292,260,[],0,0
250460,132,120,1000|500|250,0,1
250931,43,39,[],100,0
250468,88,80,1000|500|250,100,1
252663,28,25,[],100,0
SB0070,39,35,[],0,0
388437,55,50,[],0,0
298938,28,25,[],100,0
250683,39,35,[],0,0
249965,72,65,[],100,0
250505,106,96,[],100,0
250145,385,350,1000|500|2000,0,1
250174,193,175,1000|500|2000,100,1
250689,39,35,[],0,0
250417,51,46,1000|500|2000,100,1
250437,51,46,500|1000|2000,100,1
SB0077,39,35,500|1000|2000,100,1
