id,discount
405217,0
251150,0
250543,10
249926,0
249944,10
249951,10
249961,10
285818,0
249963,10
249953,10
409905,15
409904,0
250544,0
342749,0
250624,10
250625,10
368181,0
250626,0
250512,10
250103,10
250553,10
250110,10
250116,11
250549,12
250122,10
250545,10
250547,0
250492,10
250641,10
250485,10
250554,10
250474,0
250561,10
403952,11
319569,0
334392,32
250569,0
250460,10
250457,10
250445,0
250638,10
102582,0
319957,32
102592,32
102587,32
128069,32
102590,0
102615,32
250521,10
250656,0
250657,10
250462,10
250634,10
250635,10
250536,10
273395,10
347642,10
250931,0
250660,10
SB0065,0
270201,0
250465,0
250468,11
250570,0
250574,0
252663,12
250586,11
250679,10
250438,10
250440,0
250443,0
250680,0
250216,0
SB0070,11
250600,10
279522,0
279427,10
250615,0
405152,0
368287,10
106227,32
107443,32
106244,32
107449,32
106220,32
246792,32
134262,32
107558,0
106224,32
106367,32
405143,0
250511,10
277860,34
250591,10
279433,10
SB0040,10
250200,10
250205,10
250490,10
SB0068,10
250219,0
421398,0
421399,0
421400,0
250667,0
410617,0
271205,20
294904,11
423837,25
340409,10
398436,10
388437,10
298938,10
250930,0
250658,0
261478,10
405202,0
250645,10
250647,10
250231,0
SB0041,0
SB0043,0
SB0042,0
250383,0
SB0039,0
250406,10
250683,0
250685,11
249877,0
368136,26
249965,10
326808,32
326809,32
SB0066,0
SB0067,0
326807,0
326815,0
SB0064,0
146675,0
326812,0
250507,10
277862,0
250509,10
250505,10
338005,10
249882,0
249885,0
249889,10
357258,10
250662,10
250687,11
250222,9
368197,0
250133,10
250145,0
350478,10
250095,9
106271,0
253355,10
250174,10
250528,11
250604,0
250538,10
250539,0
250607,10
250223,10
250608,10
250689,0
307012,0
307011,0
307009,0
307010,0
317850,10
277865,0
368273,10
250531,0
250609,10
261662,0
350486,0
250417,10
250437,10
250631,0
405186,0
405141,0
405155,0
405146,0
405156,0
405140,0
405149,0
405147,0
405138,0
405158,0
405194,0
405154,0
405161,0
405162,0
405193,0
405163,0
405215,0
405190,0
405216,0
250659,0
250077,10
SB0037,0
SB0038,0
SB0069,10
250611,10
250664,10
250665,0
SB0001,7
SB0002,8
SB0004,8
SB0005,7
SB0006,8
SB0007,8
SB0008,8
SB0009,8
SB0010,8
SB0011,8
SB0012,8
SB0013,8
SB0014,8
SB0015,8
SB0016,8
SB0017,8
SB0018,7
SB0019,8
SB0020,8
SB0021,8
SB0022,8
SB0023,8
SB0024,8
SB0026,8
SB0027,8
SB0028,8
SB0029,8
SB0030,8
SB0031,6
SB0032,8
SB0033,7
SB0034,8
SB0035,7
SB0003,8
SB0025,8
SB0036,8
SB0071,7
SB0072,8
SB0073,8
SB0074,7
SB0075,8
358846,8
289973,8
410561,8
410563,8
410564,8
410571,8
410572,8
410574,8
410576,8
410577,8
410583,8
410585,8
410567,8
422452,8
410400,8
