id,discount
405217,10
251150,10
250543,10
249926,10
249944,10
249951,10
249961,10
285818,10
249963,10
249953,10
250544,10
342749,10
250624,10
250625,10
368181,10
250626,10
250512,10
250103,10
250553,10
250110,10
250116,10
250549,12
250122,10
250545,10
250547,10
250492,11
250641,11
250485,10
250554,11
250474,10
250561,10
403952,10
319569,32
334392,32
250569,10
250460,10
250457,11
250445,10
250638,10
102582,32
319957,32
102592,32
102587,32
128069,32
102590,32
102615,32
250521,10
250656,10
250657,10
250462,10
250634,10
250635,10
250536,10
273395,10
347642,10
250931,10
250660,10
SB0065,32
270201,32
250465,10
250468,10
250570,12
250574,11
252663,12
250586,11
250679,10
250438,10
250440,10
250443,15
250680,12
250216,10
SB0070,11
250600,10
279522,10
279427,10
250615,10
405152,10
368287,10
106227,32
107443,32
106244,32
107449,32
106220,32
246792,32
134262,32
107558,32
106224,32
106367,32
405143,10
250511,10
277860,10
250591,12
279433,10
SB0040,10
250200,10
250205,10
250490,10
SB0068,10
250219,10
250667,10
340409,10
398436,10
388437,10
298938,10
250930,10
250658,10
261478,10
405202,10
250645,10
250647,10
250231,10
SB0041,10
SB0043,10
SB0042,10
250383,10
SB0039,10
250406,10
250683,10
250685,12
249877,10
368136,25
249965,10
326808,10
326809,10
SB0066,32
SB0067,32
326807,32
326815,32
SB0064,32
146675,32
326812,32
250507,10
277862,11
250509,10
250505,10
338005,10
249882,10
249885,10
249889,10
357258,10
250662,10
250687,10
250222,10
368197,10
250133,10
250145,10
350478,10
250095,10
106271,32
253355,10
250174,10
250528,10
250604,10
250538,10
250539,11
250607,11
250223,10
250608,10
250689,11
307012,10
307011,11
307009,11
307010,10
317850,10
277865,10
368273,10
250531,10
250609,10
261662,11
350486,10
250417,10
250437,13
250631,10
405186,11
405141,10
405155,10
405146,10
405156,13
405140,10
405149,10
405147,11
405138,10
405158,12
405194,10
405154,10
405161,10
405162,10
405193,10
405163,10
405215,13
405190,10
405216,13
250659,10
250077,10
SB0037,10
SB0038,10
SB0069,10
250611,10
250664,10
250665,10
208647,32
102596,32
SB0077,11
250193,10
SB0078,32
350487,10
SB0076,10
106312,32
106235,32
106254,32
106268,32
315804,0
106288,32
277174,32
106374,32
107563,32
106261,32
106216,32
106306,32
106316,32
106369,32
SB0079,32
106384,32
SB0091,32
101678,32
SB0080,10
SB0052,10
SB0081,10
SB0082,10
SB0084,10
SB0085,10
SB0086,10
SB0087,10
SB0088,10
SB0089,10
SB0090,10
249415,10
249959,10
250196,10
368187,10
368288,10
368284,10
368277,10
250215,10
128329,32
SB0092,32
SB0093,32
SB0094,32
SB0095,32
SB0096,32
342122,32
127123,32
288052,32
328035,32
394857,32
SB0001,10
SB0002,11
SB0004,10
SB0005,10
SB0006,9
SB0007,10
SB0008,7
SB0009,10
SB0010,9
SB0011,10
SB0012,10
SB0013,10
SB0014,9
SB0015,11
SB0016,9
SB0017,10
SB0018,10
SB0019,10
SB0020,10
SB0021,10
SB0022,10
SB0023,10
SB0024,9
SB0026,9
SB0027,9
SB0028,10
SB0029,9
SB0030,10
SB0031,12
SB0032,10
SB0033,10
SB0034,10
SB0035,11
SB0003,11
SB0025,10
SB0036,10
SB0071,10
SB0072,10
SB0073,9
SB0074,9
SB0075,9
358846,9
289973,10
410561,10
410563,9
410564,10
410571,10
410572,9
410574,10
410576,10
410577,10
410583,10
410585,10
410567,10
422452,9
410400,9
422452,9
336901,9
410569,10
316384,10
335697,10
285296,10
308034,10
335695,10
285273,10
285280,9
285283,9
285314,10
285284,10
410400,9
346287,10
346286,10
346284,10
346288,10
346285,9
270620,10
316326,8
270621,9
379550,6
269370,20
137575,20
366604,6
279588,7
409905,12
409904,12
421398,2
421399,2
421400,2
410617,10
271205,10
294904,11
423837,10
423840,9
423839,9
423838,10
409907,9
409909,8
409906,9
409908,8
423016,15
214022,12
422650,2
422857,2
428637,26
374382,9
413533,5
264679,15
345689,21
279587,7
