id,discount
100012,10
100223,5
100229,5
100554,5
100968,5
101030,14
101165,5
101263,9
101306,9
101316,9
101360,14
101401,10
101489,9
101584,14
101735,14
101823,27
102083,9
102093,10
102102,2
102131,10
102139,9
102145,9
102155,9
102159,9
102162,9
102533,9
102569,3
102607,9
102609,9
102610,10
102741,10
102745,10
102750,10
102753,10
102761,10
102764,10
102774,5
102830,5
102833,5
102871,5
102932,14
102997,5
103235,5
103246,5
103551,10
103558,9
103683,2
103707,9
103730,5
103909,5
104179,9
104269,2
104271,2
104297,9
104582,2
104607,2
104615,2
104617,2
104707,2
104708,2
104726,2
104759,2
104808,2
104821,2
104823,2
104833,2
104837,2
104839,2
104840,2
104860,2
104862,2
104864,2
104956,2
104960,2
106103,5
106417,27
106599,9
106600,9
107800,10
107803,9
108249,9
112292,2
113710,9
113712,9
113817,9
118009,33
118156,9
118382,27
118412,9
118417,10
118419,10
118443,10
118518,5
118544,9
118572,2
118606,9
118774,2
118967,14
119665,9
119705,5
119709,2
119711,2
120018,14
122350,2
122620,2
122644,2
122650,2
123659,2
124656,10
124657,19
124870,2
124871,2
125546,5
126153,5
126158,5
126903,9
126906,14
127362,2
128462,2
128596,2
130138,14
130307,14
133571,9
134006,9
134149,9
135463,9
137385,9
137575,2
137623,10
137936,5
138461,27
140448,9
140466,9
140873,5
140989,33
142156,5
144126,5
144395,9
145130,5
146378,19
146384,14
146514,9
146775,2
146778,2
147283,14
147491,5
147492,5
147493,9
147737,9
147738,9
147739,9
148392,10
148676,2
148681,2
148682,2
149353,9
149354,9
149829,9
150476,9
151059,5
152075,14
152329,14
152450,5
153122,9
154171,9
154902,9
156639,33
157375,9
157419,2
159705,10
159713,10
161622,9
161623,9
161826,5
161897,2
161898,2
161899,2
163055,27
163056,19
163064,19
163575,5
163578,2
163582,2
163584,5
163810,9
163920,9
163921,9
165939,9
167738,2
167781,9
167782,9
167814,9
167976,33
168946,9
168949,9
168950,9
169000,33
169052,14
169053,14
169054,19
169055,19
169166,2
169309,9
169409,14
169426,19
169899,2
170693,27
170695,14
170777,10
171651,9
172206,9
172260,10
172917,14
174253,9
174367,3
174549,9
174626,5
174631,9
174635,9
174636,10
175116,2
175118,2
175257,2
175374,9
176362,2
176364,2
177140,9
177144,10
177150,10
177155,10
177181,9
177259,10
177307,9
177319,10
179161,9
179650,9
179651,9
180199,19
180512,27
180537,5
180584,2
180961,10
180963,9
180981,9
180983,2
181118,5
181156,2
181594,10
181597,9
181598,2
182214,14
182398,19
182492,19
182665,9
182914,2
184353,5
184607,2
185568,9
186070,2
186077,2
186232,2
186815,33
188077,9
188078,9
188079,9
188080,9
188081,9
188082,9
189099,9
