id,cate_id,sub_cate_id
4064812132SEA,16,125
406484012207BK,16,125
406484012207BL,16,125
406484012207CB,16,125
40649070708,16,125
40649080708,16,125
4A306439C237,16,125
4A871201E100,16,125
4A871501E100,16,125
4A871503E100,16,125
4A871503E200,16,125
4A871503E300,16,125
4A871504E200,16,125
4A871504E300,16,125
4A871599D100,16,125
4A871599D200,16,125
4A879003E300,16,125
4A879004E300,16,125
4A879004E400,16,125
4A879005E300,16,125
4A879006E300,16,125
4A879006E400,16,125
4A890303E100,16,125
4A890306E300,16,125
4A890312E200,16,125
4A890312E300,16,125
4A890314E200,16,125
4A890399D100,16,125
4A890501E100,16,125
4A890503E100,16,125
4A890503E200,16,125
4A890512E200,16,125
4A890513E100,16,125
4A890599D100,16,125
4A890712E200,16,125
4A890799D100,16,125
4A892199D100,16,125
4A971503E200,16,125
4A990312E200,16,125
4A990312E300,16,125
4B056344E200,16,125
4B056344E300,16,125
4B056444E200,16,125
4B056444E300,16,125
4B651501R100,16,125
4B651501R200,16,125
4B651501S101,16,125
4B653501S101,16,125
4B659001R200,16,125
4B659001R300,16,125
4B660301U100,16,125
4B660301U200,16,125
4B660301U300,16,125
4B660301V100,16,125
4B660501U100,16,125
4B660501U200,16,125
4B660501U300,16,125
4B751501R200,16,125
4B760501U200,16,125
4B816301X200,16,125
4B816301X300,16,125
4B816401X100,16,125
4B816401X200,16,125
4B816469C100,16,125
4B851202R100,16,125
4B851202S100,16,125
4B851502R100,16,125
4B851502S100,16,125
4B851502U300,16,125
4B851502W100,16,125
4B851502W200,16,125
4B851502X200,16,125
4B859002W200,16,125
4B859002W300,16,125
4B859002X300,16,125
4B880302V300,16,125
4B880302X100,16,125
4B880302X200,16,125
4B880302X300,16,125
4B880304H200,16,125
4B880304L100,16,125
4B880304M300,16,125
4B880502X200,16,125
4B880502X300,16,125
4B880504H100,16,125
4B880504H200,16,125
4B880504L100,16,125
4B896303I100,16,125
4B896303I200,16,125
4B896303I300,16,125
4B896403I100,16,125
4B896403I200,16,125
4B896403I300,16,125
4B996403I200,16,125
4C201502V300,16,125
4PKL180306287G,16,125
4PKL180407287G,16,125
4PKL190816067,16,125
4PKR180204287B,16,125
4PKR180204287G,16,125
4PKR180306287B,16,125
4PKR180306287G,16,125
4PKR180407287B,16,125
4PKR180407287G,16,125
4PKR190816067,16,125
5313269,16,124
5313347,16,124
5313350,16,124
5313354,16,124
5314128,16,124
5314129,16,124
5314130,16,124
5316120,16,124
5316135,16,124
5316224,16,124
5316225,16,124
5316226,16,124
5317001,16,124
5317004,16,124
5317010,16,124
5317355,16,124
5318016,16,124
5318017,16,124
5319001,16,124
5319002,16,124
5319003,16,124
5319004,16,124
5319005,16,124
5319007,16,124
5319008,16,124
5319009,16,124
5319164,16,124
5319166,16,124
5319221,16,124
5319223,16,124
5319224,16,124
5319225,16,124
5319226,16,124
5319227,16,124
5319228,16,124
5319229,16,124
5319231,16,124
5319263,16,124
5319264,16,124
5319266,16,124
5319267,16,124
5319293,16,124
5319414,16,124
5319415,16,124
5319416,16,124
5319417,16,124
5319418,16,124
5319420,16,124
5319421,16,124
5319422,16,124
5319423,16,124
5319424,16,124
5319427,16,124
5319428,16,124
5319429,16,124
5319430,16,124
5319431,16,124
5319432,16,124
5319433,16,124
5319434,16,124
5319435,16,124
5319436,16,124
5319437,16,124
5319438,16,124
5319439,16,124
5319440,16,124
5319441,16,124
5319442,16,124
5319459,16,124
5319460,16,124
5319461,16,124
5319462,16,124
612475453,16,125
612485415,16,125
641935412,16,125
641935612,16,125
642125512,16,125
64212551220,16,125
64212551249,16,125
64213551223,16,125
642145412,16,125
642405512,16,125
642545515,16,125
642555515,16,125
642655612,16,125
642725612,16,125
642745512,16,125
AC5488,16,124
CE8091,16,124
S97837,16,124
S97838,16,124
