id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
163582,1,500 ,0,0,0,0,0,0,0,0
169052,1, 500,0,0,0,0,0,0,0,0
169053,1,500 ,0,0,0,0,0,0,0,0
169054,1,500 ,0,0,0,0,0,0,0,0
169055,1,500 ,0,0,0,0,0,0,0,0
174626,1,500 ,0,0,0,0,0,0,0,0
174631,1,500 ,0,0,0,0,0,0,0,0
174635,1,500 ,0,0,0,0,0,0,0,0
174636,1,500 ,0,0,0,0,0,0,0,0
204912,1,500 ,0,0,0,0,0,0,0,0
206776,1,500 ,0,0,0,0,0,0,0,0
206778,1,500 ,0,0,0,0,0,0,0,0
206779,1,500 ,0,0,0,0,0,0,0,0
222085,1,500 ,0,0,0,0,0,0,0,0
224835,1,500 ,0,0,0,0,0,0,0,0
240449,1, 200,0,0,0,0,0,0,0,0
248593,1, 500,0,0,0,0,0,0,0,0
258588,1,200 ,0,0,0,0,0,0,0,0
260767,1,100 ,0,0,0,0,0,0,0,0
260770,1,200 ,0,0,0,0,0,0,0,0
260772,1,200 ,0,0,0,0,0,0,0,0
260797,1,100 ,0,0,0,0,0,0,0,0
260798,1,100 ,0,0,0,0,0,0,0,0
260799,1,100 ,0,0,0,0,0,0,0,0
260806,1,100 ,0,0,0,0,0,0,0,0
264515,1,100 ,0,0,0,0,0,0,0,0
264516,1,200 ,0,0,0,0,0,0,0,0
264590,1,200 ,0,0,0,0,0,0,0,0
264593,1,200 ,0,0,0,0,0,0,0,0
265317,1,100 ,0,0,0,0,0,0,0,0
265490,1,500 ,0,0,0,0,0,0,0,0
265958,1,200 ,0,0,0,0,0,0,0,0
265974,1,300 ,0,0,0,0,0,0,0,0
266031,1,100 ,0,0,0,0,0,0,0,0
266032,1,100 ,0,0,0,0,0,0,0,0
266034,1,100 ,0,0,0,0,0,0,0,0
266580,1,100 ,0,0,0,0,0,0,0,0
266585,1,100 ,0,0,0,0,0,0,0,0
266592,1,200 ,0,0,0,0,0,0,0,0
267979,1,100,0,0,0,0,0,0,0,0
267995,1,100 ,0,0,0,0,0,0,0,0
268002,1, 50 ,0,0,0,0,0,0,0,0
268007,1,100 ,0,0,0,0,0,0,0,0
268008,1,100 ,0,0,0,0,0,0,0,0
268009,1,100 ,0,0,0,0,0,0,0,0
268010,1,100 ,0,0,0,0,0,0,0,0
268011,1, 50 ,0,0,0,0,0,0,0,0
268012,1, 50 ,0,0,0,0,0,0,0,0
268013,1,100 ,0,0,0,0,0,0,0,0
268023,1, 125,0,0,0,0,0,0,0,0
268024,1,100 ,0,0,0,0,0,0,0,0
268025,1,200 ,0,0,0,0,0,0,0,0
268033,1,200 ,0,0,0,0,0,0,0,0
268035,1,200 ,0,0,0,0,0,0,0,0
268039,1, 50 ,0,0,0,0,0,0,0,0
268041,1,250 ,0,0,0,0,0,0,0,0
268042,1,100 ,0,0,0,0,0,0,0,0
268046,1,200 ,0,0,0,0,0,0,0,0
268048,1,100 ,0,0,0,0,0,0,0,0
268055,1,100 ,0,0,0,0,0,0,0,0
268059,1, 50 ,0,0,0,0,0,0,0,0
268060,1,100 ,0,0,0,0,0,0,0,0
268064,1,100 ,0,0,0,0,0,0,0,0
268068,1, 50 ,0,0,0,0,0,0,0,0
268071,1, 50 ,0,0,0,0,0,0,0,0
268073,1, 50 ,0,0,0,0,0,0,0,0
268074,1, 50 ,0,0,0,0,0,0,0,0
268076,1, 50 ,0,0,0,0,0,0,0,0
268077,1,100 ,0,0,0,0,0,0,0,0
268078,1,100 ,0,0,0,0,0,0,0,0
268931,1,100 ,0,0,0,0,0,0,0,0
268932,1,100 ,0,0,0,0,0,0,0,0
268937,1,100 ,0,0,0,0,0,0,0,0
268939,1,100 ,0,0,0,0,0,0,0,0
268941,1,100 ,0,0,0,0,0,0,0,0
268942,1,100 ,0,0,0,0,0,0,0,0
268943,1,100 ,0,0,0,0,0,0,0,0
268944,1,100 ,0,0,0,0,0,0,0,0
269268,1,100 ,0,0,0,0,0,0,0,0
269286,1, 100,0,0,0,0,0,0,0,0
269798,1, 500,0,0,0,0,0,0,0,0
269800,1,500 ,0,0,0,0,0,0,0,0
269801,1,500 ,0,0,0,0,0,0,0,0
269803,1, 500,0,0,0,0,0,0,0,0
269806,1,500 ,0,0,0,0,0,0,0,0
270518,1,100 ,0,0,0,0,0,0,0,0
270787,1, 200,0,0,0,0,0,0,0,0
271680,1,100 ,0,0,0,0,0,0,0,0
275242,1,100 ,0,0,0,0,0,0,0,0
278285,1, 50 ,0,0,0,0,0,0,0,0
279783,1, 500,0,0,0,0,0,0,0,0
279800,1,500 ,0,0,0,0,0,0,0,0
279801,1,100 ,0,0,0,0,0,0,0,0
279803,1,500 ,0,0,0,0,0,0,0,0
279804,1, 500,0,0,0,0,0,0,0,0
279804CB,1, 500,0,0,0,0,0,0,0,0
279806,1,500 ,0,0,0,0,0,0,0,0
279807,1,500 ,0,0,0,0,0,0,0,0
279808,1, 500,0,0,0,0,0,0,0,0
279809,1,500 ,0,0,0,0,0,0,0,0
279812,1,500 ,0,0,0,0,0,0,0,0
279813,1,100 ,0,0,0,0,0,0,0,0
279814,1,500 ,0,0,0,0,0,0,0,0
279815,1, 500,0,0,0,0,0,0,0,0
279817,1,100 ,0,0,0,0,0,0,0,0
279818,1,500 ,0,0,0,0,0,0,0,0
279819,1,100 ,0,0,0,0,0,0,0,0
279820,1,500 ,0,0,0,0,0,0,0,0
279822,1,100 ,0,0,0,0,0,0,0,0
279823,1,500 ,0,0,0,0,0,0,0,0
279827,1,500 ,0,0,0,0,0,0,0,0
279828,1,500 ,0,0,0,0,0,0,0,0
279830,1,500 ,0,0,0,0,0,0,0,0
279831,1,500 ,0,0,0,0,0,0,0,0
279849,1, 500,0,0,0,0,0,0,0,0
279852,1,500,0,0,0,0,0,0,0,0
279856,1,100 ,0,0,0,0,0,0,0,0
279857,1,100 ,0,0,0,0,0,0,0,0
279859,1, 50 ,0,0,0,0,0,0,0,0
279860,1,100 ,0,0,0,0,0,0,0,0
279863,1,100 ,0,0,0,0,0,0,0,0
279864,1,100 ,0,0,0,0,0,0,0,0
279866,1,100,0,0,0,0,0,0,0,0
279867,1, 100,0,0,0,0,0,0,0,0
282197,1, 50 ,0,0,0,0,0,0,0,0
282210,1,100 ,0,0,0,0,0,0,0,0
282212,1,100 ,0,0,0,0,0,0,0,0
282222,1,500 ,0,0,0,0,0,0,0,0
282729,1,500 ,0,0,0,0,0,0,0,0
282871,1,145 ,0,0,0,0,0,0,0,0
284013,1, 50 ,0,0,0,0,0,0,0,0
284038,1,100 ,0,0,0,0,0,0,0,0
284078,1,500,0,0,0,0,0,0,0,0
284264,1, 100,0,0,0,0,0,0,0,0
284268,1, 100,0,0,0,0,0,0,0,0
284272,1, 100,0,0,0,0,0,0,0,0
284277,1, 100,0,0,0,0,0,0,0,0
284287,1, 100,0,0,0,0,0,0,0,0
284301,1, 100,0,0,0,0,0,0,0,0
284308,1, 100,0,0,0,0,0,0,0,0
284317,1,100 ,0,0,0,0,0,0,0,0
284319,1,200 ,0,0,0,0,0,0,0,0
284344,1,25,0,0,0,0,0,0,0,0
