id,original_price,sell_price,stocks,variations_types,size
100012,105,96,367,[],0
100223,240,228,5,[],0
100229,315,300,1,[],0
100554,210,190,608,[],0
100968,232,231,1320,[],0
101030,680,601,37,[],0
101165,230,219,231,[],0
101263,95,91,101,[],0
101306,75,69,37,[],0
101316,74,68,43,[],0
101360,480,413,535,[],0
101401,100,96,114,[],0
101489,120,114,209,[],0
101584,310,310,159,[],0
101735,150,129,0,[],0
101823,280,205,1066,[],0
102083,120,110,245,[],0
102093,72,66,395,[],0
102102,80,84,712,[],0
102131,199,209,0,[],0
102139,136,124,0,[],0
102145,375,342,5,[],0
102155,125,114,0,[],0
102159,199,182,12,[],0
102162,225,205,0,[],0
102533,1200,1365,0,[],0
102569,35,35,277,[],0
102607,72,69,120,[],0
102609,72,69,7,[],0
102610,72,66,410,[],0
102741,20,19,78,[],0
102745,20,19,441,[],0
102750,20,19,5,[],0
102753,20,19,411,[],0
102761,20,19,0,[],0
102764,20,19,0,[],0
102774,289,275,127,[],0
102830,410,390,0,[],0
102833,209,199,0,[],0
102871,570,542,891,[],0
102932,199,172,65,[],0
102997,120,114,74,[],0
103235,240,228,127,[],0
103246,315,300,0,[],0
103551,420,383,0,[],0
103558,230,228,117,[],0
103683,135,133,275,[],0
103707,800,728,26,[],0
103730,70,76,118,[],0
103909,120,114,0,[],0
104179,150,137,0,[],0
104269,50,49,0,[],0
104271,50,49,21,[],0
104297,50,46,0,[],0
104582,470,481,171,[],0
104607,220,216,283,[],0
104615,118,120,135,[],0
104617,470,461,213,[],0
104707,72,73,12,[],0
104708,75,74,60,[],0
104726,205,201,0,[],0
104759,73,74,188,[],0
104808,130,128,308,[],0
104821,90,93,267,[],0
104823,90,93,293,[],0
104833,100,103,23,[],0
104837,115,118,28,[],0
104839,115,118,24,[],0
104840,100,103,39,[],0
104860,50,51,346,[],0
104862,7350,7497,52,[],0
104864,245,250,530,[],0
104956,90,98,88,[],0
104960,290,285,0,[],0
106103,120,114,523,[],0
106417,150,132,372,[],0
106599,120,110,0,[],0
106600,120,110,0,[],0
