id,original_price,sell_price,variations_types,stocks,size
100012,110,101,[],67,0
100223,240,228,[],61,0
100229,315,300,[],18,0
100554,170,169,[],999,0
101030,698,601,[],21,0
101165,250,238,[],204,0
101263,100,95,[],1542,0
101306,75,72,[],1507,0
101316,74,71,[],63,0
101360,480,413,[],226,0
101401,105,100,[],832,0
101489,130,119,[],321,0
101584,360,310,[],242,0
102093,72,66,[],100,0
102102,85,84,[],995,0
102131,229,209,[],0,0
102145,375,342,[],0,0
102569,35,35,[],0,0
102607,75,72,[],232,0
102609,75,72,[],29,0
102610,75,72,[],264,0
102741,20,19,[],323,0
102745,20,19,[],2649,0
102753,20,19,[],364,0
102761,20,19,[],100,0
102830,420,399,[],107,0
102833,214,204,[],188,0
102871,570,542,[],72,0
102932,199,172,[],37,0
102997,120,114,[],184,0
103235,240,228,[],173,0
103558,250,228,[],46,0
103683,135,133,[],237,0
103707,800,728,[],23,0
103730,80,76,[],50,0
104582,490,481,[],106,0
104607,220,216,[],311,0
104615,122,120,[],105,0
104617,470,461,[],0,0
104707,76,75,[],0,0
104708,80,79,[],43,0
104726,205,201,[],0,0
104759,75,74,[],175,0
104808,130,128,[],607,0
104821,94,93,[],129,0
104823,94,93,[],162,0
104833,105,103,[],31,0
104837,120,118,[],27,0
104839,120,118,[],6,0
104840,105,103,[],21,0
104860,54,53,[],387,0
104862,7950,7791,[],5,0
104864,265,260,[],278,0
104956,99,98,[],5,0
106103,120,114,[],227,0
106417,180,132,[],1425,0
113710,149,142,[],299,0
118009,499,335,[],188,0
118156,410,374,[],10,0
118412,395,360,[],44,0
118518,461,438,[],1219,0
118572,785,770,[],255,0
118967,252,217,[],197,0
119665,240,228,[],705,0
119705,175,167,[],173,0
119709,155,152,[],266,0
119711,170,167,[],457,0
120018,300,258,[],1,0
122620,195,192,[],146,0
122644,245,241,[],12,0
124656,301,274,[],45,0
124657,552,475,[],525,0
124870,165,162,[],0,0
125546,535,509,[],625,0
126153,855,813,[],72,0
126906,565,486,[],910,0
127362,155,152,[],24,0
128596,500,495,[],60,0
134006,1150,1047,[],13,0
134149,37,36,[],1167,0
