id,original_price,sell_price,variations_types,in_stoke
108249,340,323,[],1
124656,270,242,[],1
124657,490,442,[],1
126903,270,265,[],1
126906,490,434,[],1
144126,100,97,[],1
146384,87,81,[],1
161826,109,107,[],1
163064,44,42,[],1
163575,49,48,[],1
163578,160,156,[],1
163582,122,119,[],1
163584,236,230,[],1
169000,508,397,[],1
169052,32,30,[],1
169053,66,57,[],1
169054,40,37,[],1
169055,35,32,[],1
169409,1075,908,[],1
169426,46,46,[],0
170693,420,384,[],0
170695,230,226,[],0
174626,345,331,[],1
174631,165,161,[],1
174635,225,220,[],1
174636,165,161,[],1
180199,50,41,[],1
180512,240,218,[],0
182398,1000,913,[],0
182492,1000,909,[],0
184607,56,56,[],1
186815,200,183,[],1
189433,1530,1500,[],1
199504,1980,1928,[],0
199785,1410,1393,[],0
202277,430,415,[],1
204629,300,285,[],1
204772,2000,1577,[],1
204912,290,261,[],1
206046,1400,1127,[],1
206047,1076,995,[],1
206123,1200,1199,[],0
206776,285,255,[],1
206778,235,223,[],1
206779,160,152,[],1
209412,2700,2658,[],0
214216,1050,909,[],1
214217,520,459,[],1
214431,295,248,[],1
217464,48,48,[],0
219138,1890,1826,[],0
220612,635,575,[],1
222085,341,327,[],1
223536,125,120,[],1
223537,65,63,[],1
223660,80,77,[],1
223661,150,144,[],1
223662,65,63,[],1
223663,135,130,[],1
224835,65,63,[],1
225582,1470,1402,[],0
225769,230,224,[],0
225770,420,405,[],0
236834,21,21,[],1
239524,62,60,[],1
240122,220,216,[],1
240124,110,108,[],1
240449,249,224,[],0
241538,57,55,[],1
241598,1050,1024,[],1
241600,21,21,[],1
241601,40,39,[],1
242596,185,178,[],1
243335,175,153,[],1
243336,210,190,[],1
243990,50,46,[],0
243991,57,53,[],1
244092,45,45,[],0
244094,50,49,[],0
244096,60,51,[],1
244961,1710,1683,[],0
247282,210,186,[],1
248003,20,17,[],1
248593,25,25,[],0
251191,1100,788,[],0
255505,310,256,[],1
255516,64,58,[],1
255517,109,102,[],1
255609,1500,1352,[],0
255843,920,768,[],1
255848,185,142,[],1
255849,90,82,[],1
255850,220,193,[],1
255851,105,98,[],1
255963,60,60,[],0
256132,50,49,[],1
256133,50,50,[],0
256222,525,443,[],1
257862,85,79,[],1
259411,1500,1264,[],1
260767,60,59,[],1
260770,115,113,[],1
260772,115,111,[],1
260797,65,63,[],1
260798,70,68,[],1
260799,78,74,[],1
260806,70,68,[],1
264515,25,24,[],1
264516,50,48,[],1
264590,48,46,[],1
264593,48,46,[],1
265317,65,63,[],1
265490,155,151,[],1
265958,54,52,[],1
265974,99,96,[],1
266031,84,82,[],1
266032,78,75,[],1
266034,84,82,[],1
266580,135,128,[],1
266585,68,65,[],1
266592,35,33,[],1
267018,1330,1311,[],0
267979,61,60,[],1
267995,74,71,[],1
268002,35,34,[],1
268005,60,59,[],1
268007,90,89,[],1
268008,195,184,[],1
268009,90,87,[],1
268010,65,64,[],1
268011,90,88,[],1
268012,42,41,[],1
268013,28,28,[],1
268023,52,51,[],1
268024,55,54,[],1
268025,80,74,[],1
268026,115,113,[],1
268033,140,134,[],1
268035,90,85,[],1
268039,75,72,[],1
268041,540,517,[],1
268042,55,54,[],1
268046,115,114,[],1
268048,75,74,[],1
268055,25,24,[],1
268059,85,83,[],1
268060,25,24,[],1
268064,25,24,[],1
268068,70,67,[],1
268071,35,34,[],1
268073,70,68,[],1
268074,39,38,[],1
268076,39,38,[],1
268077,72,69,[],1
268078,67,64,[],1
268931,65,63,[],1
268932,73,71,[],1
268937,65,63,[],1
268939,72,69,[],1
268941,66,64,[],1
268942,65,63,[],1
268943,80,76,[],1
268944,180,171,[],1
269133,76,75,[],1
269268,78,75,[],1
269286,34,33,[],1
269798,65,61,[],1
269800,74,71,[],1
269801,75,72,[],1
269803,53,53,[],0
269806,55,55,[],1
270242,62,60,[],1
270518,170,164,[],1
271073,1097,942,[],1
271130,55,54,[],1
271156,400,311,[],1
271209,340,323,[],1
271440,500,403,[],1
271680,70,69,[],1
271980,415,406,[],1
273071,105,100,[],1
273072,94,94,[],0
274613,1800,1587,[],1
275128,1800,1746,[],0
275242,36,30,[],1
275460,46,43,[],1
275627,1000,806,[],1
275767,167,148,[],0
275788,192,190,[],0
275790,59,59,[],0
275817,435,380,[],1
275825,380,351,[],1
275987,221,218,[],0
275988,253,201,[],0
276759,1600,1600,[],0
277012,79,71,[],0
277019,640,629,[],0
278172,800,765,[],0
278285,34,34,[],1
278857,300,292,[],0
279035,69,67,[],1
279783,50,49,[],1
279800,145,142,[],1
279801,35,34,[],1
279803,80,78,[],1
279804,95,93,[],1
279806,60,60,[],0
279807,60,59,[],1
279808,65,64,[],1
279809,105,103,[],1
279812,135,132,[],1
279813,70,69,[],1
279814,135,132,[],1
279815,240,234,[],1
279817,30,30,[],1
279818,110,107,[],1
279819,25,24,[],1
279820,145,142,[],1
279822,28,28,[],1
279823,125,123,[],1
279824,135,132,[],1
279827,70,69,[],1
279828,95,93,[],1
279830,80,78,[],1
279831,68,65,[],1
279833,475,463,[],1
279835,475,463,[],1
279836,95,93,[],1
279837,95,93,[],1
279838,95,93,[],1
279839,475,463,[],1
279849,50,49,[],1
279852,48,46,[],1
279853,64,63,[],1
279856,170,166,[],1
279857,50,49,[],1
279859,220,214,[],1
279860,48,46,[],1
279863,45,43,[],1
279864,70,69,[],1
279866,96,94,[],1
279867,80,78,[],1
280154,118,110,[],1
280677,115,111,[],1
280980,1320,1306,[],0
282197,37,36,[],1
282210,80,77,[],1
282212,75,72,[],1
282222,365,347,[],1
282729,385,370,[],1
283101,1500,1467,[],1
283426,450,386,[],1
284013,80,77,[],1
284028,96,95,[],0
284033,55,54,[],0
284038,82,80,[],1
284078,30,30,[],0
284087,29,27,[],1
284420,310,297,[],1
284422,64,62,[],1
286070,2100,1988,[],0
286573,1025,906,[],0
287166,1730,1729,[],0
287197,220,205,[],0
287198,370,360,[],0
289639,500,475,[],0
289656,500,433,[],0
289714,78,78,[],0
289992,50,49,[],1
290131,275,273,[],0
290750,47,45,[],1
293260,168,150,[],0
293304,80,63,[],1
294981,225,214,[],1
294992,225,218,[],1
296336,52,51,[],0
296341,29,29,[],0
297423,70,70,[],0
297424,35,35,[],0
297431,30,30,[],0
297432,60,52,[],1
297433,30,27,[],1
297434,60,60,[],0
297435,60,47,[],1
297436,30,30,[],0
297720,150,83,[],1
298058,16,16,[],0
298071,65,64,[],1
298249,102,91,[],1
298489,340,310,[],0
298778,270,259,[],1
298943,145,140,[],1
298951,240,230,[],1
299129,5,5,[],1
300031,120,110,[],1
300440,79,76,[],1
300441,390,344,[],1
301147,1550,1514,[],0
301278,125,110,[],1
301309,60,32,[],1
301312,38,38,[],0
301324,45,44,[],1
301325,45,45,[],0
301326,60,32,[],1
301534,1600,1572,[],0
301536,1690,1686,[],0
301968,135,132,[],1
301970,75,74,[],1
301974,260,253,[],1
301976,55,54,[],1
301982,120,117,[],1
301983,60,59,[],1
301985,60,59,[],1
301987,310,302,[],1
301988,75,74,[],1
301990,75,74,[],1
302138,109,107,[],1
302147,109,107,[],1
302563,58,53,[],1
302571,1000,828,[],1
302572,1150,966,[],1
302574,4000,3848,[],0
302588,99,99,[],0
302590,49,47,[],0
305401,89,84,[],1
305404,60,58,[],0
306533,95,93,[],1
306540,250,243,[],1
306542,270,263,[],1
306548,210,205,[],1
307268,300,287,[],0
307281,260,236,[],0
