id,name
100968,Mysore Sandal Soap  450 g
101735,Premier Facial Tissue Hanky Pack (Pack Of 10)
101823,Wilkinson Ss Blades 20 Pc (Pack Of 20)
102083,Parle G Original Gluco Biscuits 50G Pack Of 24 Packets (1.2Kg)
102139,Morton Tomato Puree 850g
102155,Morton Peaches 850g
102159,Morton Pineapple Slices 850g
102162,Morton Litchies 800g
102533,"Britannia good Day Cashew Cookies(100g, Pack Of 60)"
102750,Lays Indias Magic Masala Potato Chips 52 g
102764,Kurkure Red Chilly Chatka 90 g
102774,Complan Classic Chocolate Health Drink Mix Carton 500 g
103246,"Aquafina Water, 2L (Pack of 9)"
103551,Gala Clip N Fit Mop Refill1 Pc
103909,Kissan Squeezo No Onion No garlic Ketchup glass Bottle 1 kg
104179,Boomer Strawberry gum 531.3g
104269,Parle Orange Bite 289 g
104271,Parle Mango Bite 289 g
104297,Lotte Lacto King Milk Candy 280G Pouch
104960,"Britannia Cheese Block, 400 g"
106599,Maya A.Bathi Rose 20grm PK 12
106600,Maya A.Bathi Jasmne 22 gm PK12
107800,Hit Cocroach Seek N Kill 320ml
107803,Hit Fresh Fragrance Kills Cockroaches 400 Ml
108249,Goldrops Honey 1 kg
112292,"Sundrop Heart Oil Bottle, 5L "
113712,Dettol Skincare Liquid Handwash Bottle 900 ml
113817,Morton Fruit Cocktail 850 g
118382,Aro Tissue Napkin Institutional Pack 100 N (Pack of 12) 1Ply
118417,Hajmola Reg 160 Sachets Jar
118419,Hajmola Tab Iml 150 Sachet Jar
118443,Biotique Bio Saffron Youth Dew Visibly Ageless Moisturizer For All Skin Types 50G
118544,Nestle Munch (10.4G*24Units) 249.6G
118606,Morton Mango Pulp Totapuri 850 g
118774,Nestle A+ Slim Milk Tetrapack 1 L
122350,Kelloggs Chocos Moon and Stars 350 g
122650,Kelloggs Chocos  385 g
123659,Kelloggs Chocos Cereal 125g
124871,Britannia Cheezza Cheese For Pizza 200G
126158,"Saffola Total, Pro Heart Conscious Edible Oil, Jar, 5 L"
126903,Aashirvaad Superior MP Atta 5kg
