id,original_price,sell_price,variations_types,stocks,size
100012,110,101,[],242,0
100223,240,228,[],76,0
100229,315,300,[],2,0
100554,170,170,[],695,0
101030,698,601,[],0,0
101165,250,238,[],179,0
101263,100,95,[],290,0
101306,75,72,[],423,0
101316,74,71,[],525,0
101360,480,413,[],286,0
101401,105,100,[],334,0
101489,130,119,[],301,0
101584,360,310,[],159,0
102093,72,66,[],31,0
102102,85,84,[],858,0
102131,229,209,[],0,0
102145,375,342,[],4,0
102569,35,35,[],306,0
102607,75,72,[],155,0
102609,75,72,[],38,0
102610,75,72,[],168,0
102741,20,19,[],142,0
102745,20,19,[],358,0
102753,20,19,[],5,0
102761,20,19,[],0,0
102830,420,399,[],152,0
102833,214,204,[],229,0
102871,570,542,[],252,0
102932,199,172,[],55,0
102997,120,114,[],67,0
103235,240,228,[],215,0
103558,230,210,[],92,0
103683,135,133,[],301,0
103707,800,728,[],10,0
103730,80,76,[],94,0
104582,490,481,[],176,0
104607,220,216,[],221,0
104615,122,120,[],102,0
104617,470,461,[],0,0
104707,76,75,[],0,0
104708,75,74,[],0,0
104726,205,201,[],0,0
104759,75,74,[],5,0
104808,130,128,[],153,0
104821,94,93,[],155,0
104823,94,93,[],13,0
104833,105,103,[],28,0
104837,120,118,[],48,0
104839,120,118,[],26,0
104840,105,103,[],13,0
104860,52,51,[],541,0
104862,7950,7791,[],53,0
104864,265,260,[],353,0
104956,99,98,[],48,0
106103,120,114,[],258,0
106417,180,132,[],936,0
113710,149,142,[],196,0
118009,499,335,[],131,0
118156,410,374,[],28,0
118412,395,360,[],19,0
118518,450,428,[],101,0
118572,785,770,[],64,0
118967,252,217,[],283,0
119665,240,228,[],494,0
119705,175,167,[],71,0
119709,155,152,[],89,0
119711,170,167,[],178,0
120018,300,258,[],86,0
122620,190,187,[],95,0
122644,230,226,[],56,0
124656,301,274,[],91,0
124657,552,475,[],577,0
124870,165,162,[],100,0
125546,535,509,[],1098,0
126153,855,813,[],21,0
126906,565,486,[],0,0
127362,155,152,[],46,0
128596,500,500,[],0,0
134006,1150,1047,[],51,0
134149,37,36,[],935,0
135463,125,119,[],29,0
137575,495,486,[],1478,0
137936,800,760,[],152,0
138461,230,168,[],168,0
142156,270,257,[],41,0
144126,120,114,[],526,0
144395,240,228,[],2059,0
146384,87,75,[],99,0
146514,330,301,[],93,0
146775,145,143,[],66,0
147283,64,56,[],100,0
147491,190,181,[],361,0
147737,999,950,[],116,0
147738,999,950,[],58,0
147739,999,950,[],117,0
148676,220,216,[],17,0
148681,389,382,[],422,0
148682,196,193,[],617,0
149354,115,110,[],414,0
149829,70,64,[],0,0
152329,488,420,[],92,0
152450,155,148,[],170,0
154171,480,456,[],218,0
154902,240,219,[],26,0
156639,200,134,[],60,0
157375,250,238,[],1130,0
157419,280,275,[],7,0
159705,340,323,[],0,0
161623,450,428,[],9,0
161897,114,112,[],215,0
161899,14,14,[],0,0
163055,110,81,[],127,0
163056,170,138,[],155,0
163575,49,49,[],0,0
163578,184,181,[],53,0
163582,144,142,[],94,0
163584,254,242,[],22,0
167781,232,212,[],60,0
167976,875,587,[],41,0
169052,33,27,[],181,0
169054,42,35,[],414,0
169055,37,30,[],589,0
174253,75,72,[],402,0
174367,70,69,[],174,0
174631,165,151,[],108,0
174635,285,260,[],141,0
175116,145,143,[],86,0
175257,17,17,[],0,0
176362,360,353,[],609,0
176364,320,314,[],8,0
180537,120,114,[],120,0
180961,480,437,[],190,0
180963,3000,2730,[],5,0
181118,120,114,[],0,0
181598,200,196,[],36,0
182914,200,196,[],47,0
184353,830,789,[],11,0
184607,60,59,[],693,0
185568,180,164,[],307,0
186070,300,294,[],576,0
186077,253,248,[],159,0
186232,215,211,[],773,0
189099,180,164,[],158,0
189100,200,182,[],6,0
189103,200,182,[],224,0
189204,499,455,[],78,0
189221,360,342,[],77,0
189296,230,219,[],9,0
189311,345,328,[],192,0
189785,305,290,[],34,0
192941,179,176,[],66,0
196984,119,114,[],61,0
197351,240,228,[],57,0
198934,600,570,[],63,0
200327,499,475,[],0,0
200952,284,270,[],0,0
201388,912,894,[],0,0
202239,740,674,[],87,0
202242,740,674,[],23,0
202243,645,587,[],18,0
202248,645,587,[],35,0
204772,2000,1720,[],44,0
205184,5760,5242,[],13,0
205660,275,251,[],44,0
205854,2460,2411,[],0,0
206046,1610,1176,[],206,0
206182,70,67,[],0,0
206407,60,57,[],542,0
206408,60,57,[],330,0
206429,140,128,[],162,0
206433,140,128,[],199,0
206778,300,273,[],295,0
206779,200,182,[],115,0
206980,228,217,[],1,0
206981,228,217,[],240,0
208345,199,190,[],114,0
208578,80,73,[],535,0
208767,5880,5763,[],45,0
210060,399,364,[],47,0
212130,500,475,[],20,0
212701,315,300,[],304,0
213240,37,37,[],2,0
213246,23,23,[],0,0
214022,400,392,[],5,0
214216,1050,851,[],0,0
214515,150,147,[],30,0
215130,740,674,[],71,0
215578,230,219,[],176,0
216747,345,328,[],234,0
216809,345,328,[],53,0
218856,64,52,[],0,0
220612,725,624,[],0,0
222783,165,151,[],174,0
223298,225,214,[],42,0
223537,75,72,[],151,0
223660,80,76,[],63,0
223662,75,72,[],19,0
223663,135,129,[],31,0
226491,650,618,[],178,0
226990,75,65,[],211,0
228234,425,387,[],110,0
228237,449,409,[],120,0
228523,215,211,[],71,0
228528,87,86,[],107,0
228529,116,114,[],65,0
228589,183,123,[],0,0
228899,415,395,[],22,0
229136,390,383,[],100,0
229140,345,328,[],7,0
229144,340,323,[],0,0
229156,188,179,[],294,0
229762,115,105,[],34,0
229763,150,137,[],19,0
229771,61,60,[],45,0
229789,118,116,[],440,0
229790,110,108,[],388,0
229791,105,103,[],797,0
229853,125,114,[],17,0
229912,105,96,[],238,0
229922,118,108,[],186,0
229926,115,105,[],27,0
229930,110,101,[],199,0
229936,115,105,[],135,0
230634,60,55,[],458,0
230745,235,224,[],0,0
231187,330,314,[],85,0
232729,120,114,[],653,0
233753,115,105,[],210,0
235214,649,591,[],37,0
236283,225,205,[],53,0
236284,225,205,[],74,0
236520,60,55,[],207,0
236834,25,21,[],3399,0
237467,135,117,[],177,0
238341,20,19,[],325,0
239335,495,401,[],1,0
239524,65,62,[],233,0
240061,430,409,[],64,0
240065,620,589,[],47,0
240067,285,271,[],747,0
240122,240,228,[],0,0
240124,120,114,[],11,0
240125,365,347,[],111,0
240147,725,689,[],28,0
240149,298,293,[],32,0
240155,715,680,[],11,0
240156,370,352,[],51,0
240158,297,292,[],27,0
240162,287,282,[],1,0
240163,271,266,[],89,0
240165,225,221,[],0,0
240168,286,281,[],70,0
240178,220,216,[],54,0
240179,263,258,[],26,0
240180,395,376,[],27,0
240182,380,361,[],7,0
241132,72,69,[],891,0
241501,240,236,[],14,0
241598,1400,1274,[],0,0
241600,28,26,[],0,0
241601,45,45,[],5,0
241695,380,361,[],131,0
242060,240,228,[],110,0
242596,190,181,[],22,0
242667,250,245,[],478,0
242668,250,245,[],62,0
242671,28,28,[],335,0
243051,231,227,[],4,0
243335,200,172,[],193,0
243336,218,188,[],574,0
244815,545,535,[],36,0
244999,560,549,[],259,0
245525,86,70,[],37,0
245724,210,200,[],42,0
246794,2375,1592,[],0,0
247282,210,171,[],20,0
247986,100,98,[],9,0
248003,25,17,[],72,0
248215,370,363,[],612,0
249061,195,178,[],98,0
249062,145,132,[],187,0
249154,399,364,[],330,0
249155,399,364,[],141,0
249369,25,24,[],72,0
249449,175,167,[],0,0
249452,175,167,[],0,0
249581,600,570,[],73,0
250520,200,182,[],1036,0
250771,252,240,[],163,0
251018,48,48,[],76,0
251020,105,103,[],87,0
251026,152,149,[],7,0
251033,155,152,[],31,0
251149,160,157,[],67,0
251218,630,574,[],0,0
251220,630,574,[],43,0
251249,650,592,[],81,0
251259,650,592,[],34,0
252164,101,99,[],129,0
252171,122,120,[],507,0
252427,167,152,[],49,0
252429,393,374,[],39,0
252876,225,205,[],9,0
252947,292,278,[],208,0
252982,520,494,[],152,0
253535,34,31,[],3338,0
253557,70,64,[],0,0
253562,300,294,[],14,0
253860,715,680,[],19,0
254193,250,238,[],112,0
254677,220,190,[],0,0
254690,345,314,[],29,0
255179,599,546,[],24,0
255208,399,364,[],42,0
255210,399,208,[],59,0
255243,300,285,[],32,0
255499,265,260,[],3,0
255505,342,336,[],13,0
255516,71,65,[],0,0
255611,230,210,[],5,0
255834,770,701,[],0,0
255843,945,690,[],0,0
255848,199,146,[],0,0
255849,112,91,[],20,0
255874,90,86,[],549,0
256222,600,486,[],76,0
256655,330,314,[],11,0
257034,220,190,[],130,0
257392,260,255,[],28,0
257406,25,25,[],392,0
257407,25,25,[],111,0
257545,180,155,[],148,0
257852,50,46,[],0,0
257853,50,43,[],226,0
257859,45,41,[],0,0
257862,90,78,[],229,0
257863,35,32,[],0,0
258181,135,123,[],302,0
258357,138,132,[],0,0
258358,70,67,[],36,0
258359,37,36,[],33,0
258403,645,587,[],153,0
258415,120,114,[],8,0
258418,129,123,[],76,0
258421,325,309,[],0,0
258583,185,169,[],4,0
258584,199,182,[],122,0
258585,415,395,[],78,0
258588,60,59,[],0,0
258600,255,243,[],61,0
258602,240,228,[],0,0
258879,250,228,[],21,0
259032,249,237,[],0,0
259099,190,181,[],30,0
259192,999,950,[],29,0
259705,110,105,[],54,0
259706,175,167,[],30,0
259837,215,205,[],0,0
259856,220,209,[],2,0
259985,30,29,[],70,0
260354,80,65,[],167,0
260405,85,78,[],33,0
260422,99,95,[],159,0
260424,99,95,[],118,0
260427,99,95,[],134,0
260429,99,95,[],89,0
260430,99,95,[],80,0
260432,99,95,[],60,0
260433,99,95,[],70,0
260434,99,95,[],61,0
260435,99,95,[],116,0
260439,99,95,[],71,0
260592,140,133,[],17,0
260595,140,133,[],63,0
260634,189,172,[],23,0
260653,20,19,[],181,0
260654,50,46,[],292,0
260767,70,67,[],536,0
260770,135,129,[],1020,0
260772,130,124,[],209,0
260797,78,71,[],104,0
260798,80,73,[],125,0
260799,89,81,[],244,0
260806,79,72,[],124,0
260873,150,137,[],50,0
260936,399,364,[],92,0
260993,62,57,[],217,0
260996,58,53,[],314,0
260997,85,78,[],205,0
260999,100,91,[],11,0
261002,170,155,[],118,0
261004,90,82,[],179,0
261012,95,87,[],2,0
261016,100,91,[],80,0
261017,185,169,[],81,0
261018,62,57,[],80,0
261025,120,110,[],80,0
261029,160,146,[],14,0
261308,488,420,[],0,0
261374,2500,1675,[],1,0
261502,120,110,[],61,0
261515,350,319,[],68,0
261653,80,69,[],150,0
261687,90,78,[],90,0
261815,245,211,[],178,0
262270,255,233,[],95,0
262799,190,173,[],714,0
262811,300,273,[],8,0
