id,discount
100012,9
100223,5
100229,5
100554,0
101030,14
101165,5
101263,5
101306,4
101316,5
101360,14
101401,5
101489,9
101584,14
102093,9
102102,2
102131,9
102145,9
102569,0
102607,4
102609,4
102610,4
102741,5
102745,5
102753,5
102761,5
102830,5
102833,5
102871,5
102932,14
102997,5
103235,5
103558,9
103683,2
103707,9
103730,5
104582,2
104607,2
104615,2
104617,2
104707,2
104708,2
104726,2
104759,2
104808,2
104821,2
104823,2
104833,2
104837,2
104839,2
104840,2
104860,2
104862,2
104864,2
104956,2
106103,5
106417,27
113710,5
118009,33
118156,9
118412,9
118518,5
118572,2
118967,14
119665,5
119705,5
119709,2
119711,2
120018,14
122620,2
122644,2
124656,9
124657,14
124870,2
125546,5
126153,5
126906,14
127362,2
128596,0
134006,9
134149,3
135463,5
137575,2
137936,5
138461,27
142156,5
144126,5
144395,5
146384,14
146514,9
146775,2
147283,13
147491,5
147737,5
147738,5
147739,5
148676,2
148681,2
148682,2
149354,5
149829,9
152329,14
152450,5
154171,5
154902,9
156639,33
157375,5
157419,2
159705,5
161623,5
161897,2
161899,0
163055,27
163056,19
163575,0
163578,2
163582,2
163584,5
167781,9
167976,33
169052,19
169054,17
169055,19
174253,4
174367,2
174631,9
174635,9
175116,2
175257,0
176362,2
176364,2
180537,5
180961,9
180963,9
181118,5
181598,2
182914,2
184353,5
184607,2
185568,9
186070,2
186077,2
186232,2
189099,9
189100,9
189103,9
189204,9
189221,5
189296,5
189311,5
189785,5
192941,2
196984,5
197351,5
198934,5
200327,5
200952,5
201388,2
202239,9
202242,9
202243,9
202248,9
204772,14
205184,9
205660,9
205854,2
206046,27
206182,5
206407,5
206408,5
206429,9
206433,9
206778,9
206779,9
206980,5
206981,5
208345,5
208578,9
208767,2
210060,9
212130,5
212701,5
213240,0
213246,0
214022,2
214216,19
214515,2
215130,9
215578,5
216747,5
216809,5
218856,19
220612,14
222783,9
223298,5
223537,4
223660,5
223662,4
223663,5
226491,5
226990,14
228234,9
228237,9
228523,2
228528,2
228529,2
228589,33
228899,5
229136,2
229140,5
229144,5
229156,5
229762,9
229763,9
229771,2
229789,2
229790,2
229791,2
229853,9
229912,9
229922,9
229926,9
229930,9
229936,9
230634,9
230745,5
231187,5
232729,5
233753,9
235214,9
236283,9
236284,9
236520,9
236834,16
237467,14
238341,5
239335,19
239524,5
240061,5
240065,5
240067,5
240122,5
240124,5
240125,5
240147,5
240149,2
240155,5
240156,5
240158,2
240162,2
240163,2
240165,2
240168,2
240178,2
240179,2
240180,5
240182,5
241132,5
241501,2
241598,9
241600,8
241601,0
241695,5
242060,5
242596,5
242667,2
242668,2
242671,0
243051,2
243335,14
243336,14
244815,2
244999,2
245525,19
245724,5
246794,33
247282,19
247986,2
248003,32
248215,2
249061,9
249062,9
249154,9
249155,9
249369,4
249449,5
249452,5
249581,5
250520,9
250771,5
251018,0
251020,2
251026,2
251033,2
251149,2
251218,9
251220,9
251249,9
251259,9
252164,2
252171,2
252427,9
252429,5
252876,9
252947,5
252982,5
253535,9
253557,9
253562,2
253860,5
254193,5
254677,14
254690,9
255179,9
255208,9
255210,48
255243,5
255499,2
255505,2
255516,9
255611,9
255834,9
255843,27
255848,27
255849,19
255874,5
256222,19
256655,5
257034,14
257392,2
257406,0
257407,0
257545,14
257852,8
257853,14
257859,9
257862,14
257863,9
258181,9
258357,5
258358,5
258359,3
258403,9
258415,5
258418,5
258421,5
258583,9
258584,9
258585,5
258588,2
258600,5
258602,5
258879,9
259032,5
259099,5
259192,5
259705,5
259706,5
259837,5
259856,5
259985,4
260354,19
260405,9
260422,5
260424,5
260427,5
260429,5
260430,5
260432,5
260433,5
260434,5
260435,5
260439,5
260592,5
260595,5
260634,9
260653,5
260654,8
260767,5
260770,5
260772,5
260797,9
260798,9
260799,9
260806,9
260873,9
260936,9
260993,9
260996,9
260997,9
260999,9
261002,9
261004,9
261012,9
261016,9
261017,9
261018,9
261025,9
261029,9
261308,14
261374,33
261502,9
261515,9
261653,14
261687,14
261815,14
262270,9
262799,9
262811,9
262814,9
262921,9
262971,5
262978,19
263112,9
263113,9
263114,9
263120,4
263122,4
263124,5
263125,4
263126,4
263129,4
263164,2
263363,5
263366,5
263367,5
263368,5
263492,9
263493,9
263494,9
263515,5
263521,4
263524,4
263574,5
263575,8
263593,5
263594,8
263597,9
263599,8
263602,5
263613,9
263620,9
263642,2
263654,8
263675,5
263687,5
263696,14
263698,5
263699,5
263708,5
263710,5
263716,5
263724,5
263727,5
263740,5
263745,5
263753,5
263760,5
263772,9
263775,8
263778,9
263779,9
263781,9
263799,5
263813,5
263819,5
263838,5
263850,14
263852,14
263856,5
263862,5
263869,5
263870,5
263871,5
263875,9
263878,5
263880,5
263884,5
263896,8
263910,5
263919,5
263920,5
263921,5
263923,9
263924,5
263925,5
263931,5
263935,3
263936,5
263939,9
263954,5
263957,9
263958,5
263973,5
263975,5
263980,5
263985,5
263986,5
263987,5
263993,5
264009,5
264024,5
264105,7
264111,9
264233,0
264235,0
264237,0
264435,14
264437,5
264453,8
264454,5
264456,5
264460,9
264461,8
264465,5
264466,8
264468,9
264513,4
264515,8
264516,8
264559,8
264565,5
264567,5
264589,4
264597,8
264661,9
264679,2
264747,5
264980,5
264981,5
264982,5
264983,5
264984,5
265114,9
265238,8
265244,9
265246,9
265280,8
265317,9
265371,5
265381,9
265490,9
265511,9
265611,5
265665,9
265673,9
265682,0
265686,0
265688,0
265690,0
265693,0
265694,8
265698,0
265699,9
265701,0
265702,2
265708,9
265710,0
265718,0
265719,0
265721,0
265729,2
265770,0
265771,5
265853,9
265872,0
265875,0
265879,2
265894,0
265930,4
265940,4
265941,4
265943,5
265947,5
265948,5
265950,4
265951,5
265953,5
265954,5
265956,4
265957,5
265959,5
265960,4
265961,4
265965,5
265966,5
265967,5
265969,5
265971,5
265978,0
265980,5
265981,5
265983,5
265987,5
265991,5
265994,5
265997,5
265998,5
266005,5
266006,5
266009,5
266010,5
266011,5
266014,4
266015,5
266016,5
266017,5
266018,5
266031,9
266032,9
266034,9
266056,2
266057,2
266058,2
266065,2
266070,2
266096,2
266101,2
266103,2
266105,2
266109,2
266112,2
266122,4
266157,0
266160,0
266162,2
266165,0
266170,0
266283,5
266286,5
266291,4
266292,5
266293,4
266294,4
266323,5
266335,9
266402,5
266423,5
266428,4
266439,9
266474,5
266531,5
266535,9
266541,5
266545,5
266549,8
266553,5
266554,5
266555,5
266556,5
266557,5
266560,5
266566,5
266570,5
266577,5
266579,5
266580,9
266585,9
266589,9
266595,8
266628,4
266638,5
266639,5
266642,9
266644,5
266651,5
266655,5
266657,9
266659,5
266663,5
266667,5
266673,5
266687,5
266690,5
266692,5
266693,5
266694,5
266698,5
266706,5
266800,5
266817,3
266820,9
266829,5
266830,5
266854,5
266879,5
266917,5
266945,5
266951,5
266952,4
266953,5
266954,4
266962,5
266967,4
266981,5
266999,5
267006,9
267011,5
267012,5
267016,13
267037,5
267084,9
267156,4
267222,5
267224,9
267231,5
267232,5
267234,5
267248,5
267263,5
267276,33
267345,5
267346,5
267347,5
267349,4
267366,5
267376,2
267381,2
267392,5
267400,2
267426,2
267525,5
267533,4
267540,5
267629,14
267639,14
267642,5
267698,5
267737,9
267748,4
267757,9
267760,8
267845,5
267846,5
267847,5
267873,4
267876,5
267924,5
267938,14
267963,4
267964,4
267978,5
267979,8
267995,9
268002,8
268005,5
268007,5
268010,8
268011,9
268013,9
268023,9
268024,8
268025,9
268026,5
268033,9
268035,5
268039,9
268041,9
268042,8
268046,5
268048,9
268059,9
268068,8
268071,8
268073,9
268074,7
268077,9
268078,9
268194,9
268464,9
268653,4
268654,5
268686,8
268690,9
268691,9
268759,5
268761,5
268762,5
268931,9
268932,9
268937,9
268939,9
268941,9
268942,9
268943,8
268944,9
268978,9
269133,8
269234,5
269256,5
269286,9
269370,2
269380,5
269398,14
269608,0
269759,9
269798,8
269806,8
270030,2
270068,9
270222,5
270242,9
270378,4
270484,3
270486,8
270508,2
270509,5
270510,2
270512,2
270514,4
270516,4
270518,9
270522,4
270524,4
270620,2
270621,2
270726,5
270729,5
270787,19
271156,19
271205,2
271209,14
271240,5
271245,5
271248,5
271326,9
271327,9
271582,5
271595,9
271680,9
271980,9
272096,9
272097,9
272107,9
272262,9
272265,9
272267,9
272869,9
272883,9
273225,9
273491,9
273493,9
273494,9
273497,9
273561,5
273562,5
273619,9
273620,9
273623,9
273807,0
273809,2
273811,5
273864,4
274122,14
274124,14
274125,14
274153,2
274160,2
274169,2
274183,19
274184,33
274344,5
274437,5
274500,0
274521,8
274523,9
274604,9
274775,5
274791,5
274864,9
274867,9
274920,2
274965,5
274985,9
274988,9
275198,5
275201,5
275241,43
275242,19
275243,27
275244,48
275246,48
275247,43
275253,27
275260,9
275261,9
275290,2
275439,14
275627,19
275814,9
275816,14
275922,9
275927,9
275929,9
276122,5
276123,5
276384,42
276385,26
276388,42
276394,18
276402,9
276626,9
276727,9
276730,9
276757,27
276758,27
276934,33
277072,9
277073,9
277094,9
277101,5
277119,9
277136,57
277138,27
277140,43
277141,33
277142,48
277143,57
277148,48
277151,48
277152,48
277153,48
277154,48
277157,14
277159,14
277180,5
277181,5
277463,5
277877,2
277878,2
278285,9
278328,9
278332,9
278990,9
279022,5
279023,5
279038,9
279324,14
279327,9
279407,0
279581,0
279588,2
279783,8
279800,9
279803,9
279804,9
279807,8
279808,8
279809,9
279812,9
279813,9
279814,9
279815,9
279817,7
279819,7
279822,9
279824,9
279827,9
279830,9
279831,8
279833,9
279836,9
279849,8
279852,8
279853,9
279856,9
279859,9
279864,9
280085,5
280677,5
280947,9
280949,9
280953,9
280954,9
280964,5
280965,9
280967,5
281039,5
281175,9
281176,14
281366,5
281394,5
281395,5
281402,5
281404,2
281465,9
281497,5
281594,5
281674,5
282095,9
282197,8
282210,9
282212,9
282222,9
282565,9
282598,9
282600,4
282605,5
282869,19
282872,19
282875,19
282876,19
283101,19
283310,5
283426,14
283470,4
283522,9
283555,9
283567,14
283572,9
283708,5
283851,5
284013,9
284035,14
284038,9
284087,14
284102,9
284104,9
284196,19
284243,5
284264,9
284268,9
284269,8
284272,9
284277,8
284287,8
284301,8
284304,9
284308,8
284317,9
284319,9
284332,9
284340,9
284344,9
284405,5
284408,5
284409,5
284413,9
284420,9
284422,9
284429,2
284553,9
284567,33
284698,9
284699,33
284711,57
284782,5
285138,33
285181,5
285243,9
285250,5
285258,4
285409,5
285410,5
285412,4
285420,5
285422,5
285609,9
285613,9
285617,5
285680,5
285681,5
285704,5
286082,5
286135,5
286270,5
286271,5
286393,5
286536,9
286560,5
286586,19
286591,0
286596,27
286601,27
286701,5
286713,5
286730,5
286731,9
286734,9
286775,14
287553,4
287856,9
287989,5
288068,0
288506,9
288789,9
288863,5
288925,0
288926,0
288927,0
288928,0
288957,5
289082,9
289213,3
289237,5
289526,19
289528,19
290004,2
290185,5
290188,5
290190,5
290394,9
290485,4
290495,9
290497,9
290501,9
290503,9
290507,5
290593,9
290729,9
290750,9
291038,9
291044,9
291238,5
291247,4
291911,5
292093,14
292223,9
292394,0
292395,0
292396,0
292398,0
292401,2
292597,9
292619,2
292620,2
292626,5
292645,13
292659,5
293304,43
293407,14
293694,43
293700,5
293717,7
293718,7
293755,5
293758,5
294087,4
294222,14
294223,14
294238,9
294729,5
294746,5
294759,9
294895,9
294897,9
294904,2
294981,9
294992,9
295224,9
295227,9
295228,9
295229,9
295230,9
295231,9
295232,9
295233,9
295236,9
295237,9
295238,9
295239,9
295240,9
295241,9
295242,9
295244,9
295245,9
295246,8
295248,8
295501,9
295630,14
295656,5
295659,5
295661,5
295687,5
295743,0
295802,5
295812,8
295813,14
296298,8
297063,5
297071,5
297155,9
297461,9
297465,9
297467,9
297481,9
297498,9
297511,9
297997,9
298071,8
298198,9
298245,19
298247,19
298258,5
298290,5
298311,9
298436,2
298681,5
298685,4
298778,5
298943,5
298951,5
298976,9
298980,19
299009,19
299025,9
299129,0
299167,14
299290,4
299449,5
299451,5
299464,4
299468,4
299669,5
299670,9
299671,9
299714,14
299715,9
299719,9
299904,9
300219,9
301278,9
301306,14
301309,32
301320,19
301673,9
301678,9
301970,9
301974,9
301976,8
301983,9
301987,9
302075,9
302077,9
302078,9
302080,9
302099,9
302121,0
302124,9
302127,9
302129,9
302131,9
302138,9
302147,9
302150,9
302563,19
302571,27
302572,27
302576,9
302774,33
303122,9
303124,9
303127,9
303219,9
303412,8
303767,4
303974,9
304212,9
304510,3
304511,3
304557,27
304662,30
304663,30
304822,9
305200,9
305224,9
305227,9
305325,9
305370,9
305401,19
305538,9
305539,5
305560,5
305562,5
305595,5
305596,5
305669,9
305787,9
305790,9
305792,9
305831,9
305893,5
305908,5
305910,5
305913,5
305924,5
305938,5
305940,5
306001,5
306042,14
306125,5
306126,4
306128,5
306135,5
306136,5
306148,3
306151,5
306158,4
306161,5
306164,4
306172,3
306175,5
306184,5
306185,5
306189,5
306191,4
306210,5
306234,9
306236,9
306237,8
306240,8
306242,8
306260,0
306311,9
306437,8
306540,9
306542,9
306548,9
306703,9
306926,2
307018,9
307077,14
307094,9
307118,3
307150,9
307158,5
307170,4
307195,5
307292,9
307293,5
307296,5
307359,5
307365,9
307366,4
307367,5
307369,5
307371,5
307413,8
307414,9
307460,9
307463,9
307468,9
307724,19
307905,9
307906,9
307907,9
307908,13
307939,19
307953,9
307957,9
307984,9
307985,9
308026,9
308029,14
308049,7
308106,9
308108,9
308122,9
308159,4
308163,5
308164,5
308165,5
308184,4
308291,42
308368,18
308370,18
308568,4
308590,4
308595,4
308599,4
308709,9
308715,9
309773,9
309822,5
310356,4
310365,5
310367,4
310721,5
310859,43
311080,5
311102,4
311119,5
311659,2
311782,5
312159,9
312468,0
313466,9
313577,2
313621,5
313624,5
313782,3
313786,0
313792,5
313793,5
314001,5
314025,0
314027,0
314040,0
314134,5
314285,14
314324,14
314517,7
314538,19
314904,9
314914,5
314930,5
315088,5
315091,5
315203,9
315208,9
315209,9
315211,9
315217,9
315249,9
315299,9
315431,4
315438,5
316089,5
316249,5
316255,8
316284,19
316323,2
316331,0
316401,9
316403,9
317201,14
317804,9
317932,5
317941,9
318025,33
318028,2
318822,18
318987,9
318994,9
318998,9
319054,2
319067,2
319237,27
319263,9
319336,14
319362,9
319695,9
319697,9
319721,5
319722,5
319969,27
319985,19
320254,14
320261,5
320287,2
320292,2
320293,2
320294,2
320295,2
320297,0
320312,19
320313,16
320350,9
320353,9
320410,4
320412,4
320415,5
320433,9
320440,9
320442,9
320444,9
320446,9
320448,9
320450,9
320453,9
320456,9
320458,9
320459,9
320461,9
320462,5
320463,9
320465,9
320467,9
320468,9
320471,9
320472,9
320614,14
320620,14
320628,14
320630,14
320637,14
320643,14
320651,14
320652,14
320657,14
320669,14
320670,14
320672,14
320675,14
320915,9
321324,14
321357,4
321503,14
321504,9
321589,33
321594,33
321685,9
321687,9
321735,3
321761,7
321894,0
321897,0
321963,5
321964,5
321965,2
322016,9
322034,4
322761,43
322772,47
322773,18
322774,18
322775,56
322776,56
322777,56
322778,56
322779,33
322797,9
322895,0
322932,3
322933,3
323628,5
323794,5
323812,5
324047,43
324099,18
324431,9
324612,9
324616,9
324621,9
324623,9
324624,9
324625,9
324644,9
324645,9
324876,8
324879,14
325207,4
325212,2
325222,2
325224,2
325225,2
325272,14
325393,9
325395,9
325414,9
325415,9
325416,9
325417,9
325419,9
325469,2
325471,2
325554,5
325572,5
325576,5
325720,2
326107,9
326108,9
326115,9
326116,9
326122,14
326169,33
326577,5
326585,9
326586,5
326589,5
326594,4
326595,3
326596,3
326598,4
326599,4
326600,3
326603,4
326636,5
326875,14
327217,9
327660,2
327752,12
327757,18
327758,5
327775,9
328440,19
328555,2
328556,2
328562,9
328565,9
328664,27
328917,5
328969,5
328988,5
329001,9
329297,2
329310,9
329380,5
329518,4
329876,5
329877,0
329988,9
330190,13
330192,14
330469,33
330761,9
330773,5
330941,9
331282,14
331290,13
331364,9
331365,9
331381,9
331402,5
331417,8
331418,9
331419,9
331420,9
331421,8
331422,9
331423,9
331426,7
331541,4
331792,33
331904,14
331905,14
331910,5
331924,14
331925,14
331927,14
331928,14
331936,9
332068,5
332069,5
332140,5
332141,5
332164,0
332167,0
332174,0
332175,0
332176,5
332207,8
332210,19
332219,8
332226,9
332227,9
332229,9
332233,9
332247,5
332249,5
332251,5
332416,9
332529,5
332546,5
332557,5
332571,5
332577,5
332580,5
332583,5
332586,5
332587,9
332690,5
332697,5
332904,18
332909,18
332930,9
332980,14
332984,9
332985,9
332986,48
332987,14
332988,14
333044,9
333094,9
333193,5
333346,9
333347,9
333349,9
333501,4
333503,5
333505,5
333527,9
333820,14
333826,43
333847,14
333885,9
333887,9
333890,9
333934,3
334046,2
334054,2
334089,5
334093,5
334113,9
334114,9
334213,3
334312,5
334321,9
334443,4
334537,5
334553,5
334626,5
335110,2
335114,2
335225,5
335516,9
335553,9
335568,9
335569,5
335603,9
335733,9
335737,9
335808,14
336007,9
336136,8
336183,5
336185,5
336201,9
336225,14
336254,14
336321,9
336324,9
336336,5
336356,9
336430,9
336509,9
336832,9
336835,5
336975,5
337056,9
337072,14
337189,9
337330,5
337399,5
337452,5
337627,9
337790,5
337906,9
337910,9
337951,9
338150,5
338158,5
338401,5
338536,9
338733,19
338737,27
338952,9
339010,9
339019,9
339021,9
339022,9
339023,9
339024,9
339036,9
339051,5
339079,5
339124,5
339126,5
339143,5
339195,19
339196,5
339197,5
339207,5
339212,5
339305,5
339306,5
339504,5
339536,4
339539,4
339542,4
339703,2
339705,2
339708,2
339896,17
339900,18
340068,8
340073,8
340099,12
340253,0
340592,9
340616,2
340748,9
340750,9
340753,8
340759,7
340834,8
340878,4
341095,5
341173,0
341184,2
341186,2
341200,0
341201,0
341233,4
341381,7
341425,19
341481,9
341487,14
342100,14
342109,14
342226,9
342227,9
342258,14
342261,9
342638,9
342641,9
342652,9
342659,14
342673,4
342677,14
342698,5
342753,0
342754,0
342755,2
342899,9
342900,9
342912,9
343177,9
343422,5
343423,5
343531,9
343532,9
343556,5
343613,9
343623,0
343625,0
343957,5
343964,4
343971,4
344099,4
344106,4
344513,9
344532,0
344700,0
344712,5
344748,14
344757,4
344774,0
344775,0
344799,5
345034,5
345036,5
345116,4
345202,9
345204,9
345205,9
345283,5
345343,5
345349,5
345574,9
345591,9
345596,9
345597,9
345602,9
345689,2
345879,9
345884,14
345955,27
345956,14
345990,5
346188,48
346209,5
346306,8
346380,8
346417,9
346440,9
346443,14
346447,9
346515,9
346542,9
346552,5
346558,2
346559,2
346561,2
346569,2
347737,5
347773,8
347779,9
347919,5
348068,2
348080,2
348084,9
348091,2
348132,2
349782,7
349860,8
349869,8
350101,14
350102,18
350637,14
350644,9
350698,9
350701,9
350767,14
351031,5
351035,5
351039,5
351050,5
351072,5
351076,0
351202,14
351590,9
351591,9
351592,9
351703,9
351782,14
351784,5
351835,5
351836,5
351842,5
351846,5
351847,5
351854,5
351858,5
351863,5
351874,5
351878,5
351884,5
351885,5
351889,5
351890,5
351894,5
351895,5
352195,5
352216,5
352219,5
352226,5
352326,9
352493,9
352533,2
352681,4
352682,5
352791,9
352797,9
352817,5
352836,2
352848,2
352936,8
352983,3
353086,33
353090,43
353091,33
353096,14
353097,43
353098,8
353099,18
353191,9
353207,9
353231,2
353329,9
353443,9
353478,8
353545,14
353546,14
353547,26
353575,33
353644,9
353647,5
353658,5
353856,8
353859,8
353860,14
353861,9
353863,8
353865,8
353866,9
353874,9
353893,33
353894,33
353895,33
353896,33
354112,2
354120,9
354121,9
354199,14
354202,14
354203,14
354205,5
354241,9
354279,14
354493,0
355448,5
355451,5
355453,8
355740,0
355862,9
355863,9
356417,9
356418,9
356419,9
356420,9
356518,9
356608,57
356612,57
356613,57
356647,5
356648,5
356649,5
356688,9
356965,9
356966,14
356979,13
357055,14
357186,5
357190,5
357334,2
357335,46
357345,2
357347,5
357358,2
357398,19
357413,5
357420,14
357423,9
357650,9
357664,9
357672,9
357681,2
357688,2
357827,5
357839,5
357840,9
357847,2
357849,2
357850,2
358249,9
358250,14
358267,9
358268,9
358375,5
358376,5
358377,5
358380,5
358429,5
358436,5
358437,3
358551,9
358557,9
358607,2
358659,9
358693,5
358710,5
358713,8
358772,19
358854,5
358864,5
358908,5
359000,8
359405,0
359406,0
359447,4
359448,5
359465,0
359612,0
359629,2
360024,5
360064,19
360074,48
360076,43
360185,5
360474,5
360764,5
360777,9
360843,14
360844,13
360985,9
360988,0
360989,9
360990,0
360994,9
361006,5
361067,9
361070,9
361152,5
361154,5
361173,9
361242,33
361258,5
361344,13
361345,19
361354,9
361357,9
362022,5
362024,5
362059,5
362643,5
362659,9
362843,9
362915,9
362916,5
362918,14
362940,8
363065,5
363168,9
363349,9
363367,5
363408,9
363553,5
363681,4
363684,4
363853,9
363989,2
363991,0
364126,9
364127,9
364361,9
364383,4
364385,9
364387,4
364389,19
364559,5
364561,5
364562,5
364565,9
364566,9
364571,9
364675,9
364706,5
364817,5
364842,14
364845,14
364847,9
364920,14
364921,9
364922,9
364926,5
364927,5
364928,5
364963,19
364971,9
364972,9
364975,9
365081,5
365445,33
365563,5
365571,8
365575,8
365676,5
365690,8
365727,0
365758,8
365763,9
365784,2
365787,2
365813,9
365969,9
366004,9
366355,14
366507,9
366533,3
366560,9
366604,2
366678,9
366918,14
366926,14
366943,14
366944,14
366946,14
366947,14
367008,5
367009,5
367217,5
367423,19
367482,5
367537,5
367539,4
367670,5
367702,5
367703,5
367777,5
368138,9
368139,9
368200,19
368201,33
368202,27
368215,9
368531,5
368532,5
368666,9
368720,8
368743,9
368748,8
368823,9
368892,5
368932,5
368933,5
368934,5
368936,8
368950,27
369090,2
369091,2
369093,2
369167,19
369171,14
369178,8
369187,13
369241,5
369504,5
369615,8
369616,9
369617,9
369658,2
369928,5
370076,14
370113,5
370188,9
370393,2
370394,2
371031,5
371033,9
371112,5
371365,9
371456,5
371583,5
371585,5
371640,5
371642,5
371890,14
371892,14
372012,0
372225,9
372226,9
372229,9
372242,9
372396,5
372404,8
372405,8
372406,8
372558,9
372572,19
372575,0
372579,0
372581,0
372582,0
372583,4
372587,5
372601,5
372614,9
372617,5
372618,9
372640,0
372641,0
372642,3
372644,4
372673,9
372817,9
372908,19
373065,9
373073,9
373118,8
373375,5
373451,9
373471,5
373520,5
373542,9
373885,0
373917,4
373925,5
373975,5
373976,4
373977,9
374024,5
374069,5
374070,5
374183,9
374307,8
374314,5
374362,2
374363,2
374364,2
374731,9
374732,5
374745,40
374765,43
374820,5
374936,19
374937,14
374958,9
374959,9
375113,5
375125,8
375126,9
375127,9
375176,2
375181,2
375260,14
375304,33
375307,27
375329,9
375331,9
375519,9
375520,9
375521,9
375586,5
375612,9
375613,9
375686,5
375715,5
375716,5
376223,2
376290,8
376291,8
376292,8
376293,8
376295,0
376400,14
376408,14
376416,14
376420,14
376428,14
376432,14
376436,14
376466,14
376501,2
376506,2
376508,2
376509,2
376517,9
376538,14
376584,9
376647,14
376648,14
376765,5
376766,3
376768,4
376769,4
376821,14
376901,5
376911,9
376946,9
376947,9
376967,30
377039,9
377215,5
377216,5
377223,9
377224,4
377226,4
377227,4
377228,4
377278,9
377279,9
377280,9
377413,4
377414,5
377427,4
377428,4
377586,9
377606,9
377630,2
377632,8
377735,9
377838,5
377839,5
377874,4
377965,5
377991,8
377998,9
377999,9
378037,5
378156,9
378171,5
378244,5
378333,2
378334,2
378342,2
378343,2
378344,2
378345,9
378347,2
378357,9
378360,9
378373,9
378378,9
378384,9
378386,9
378389,9
378393,9
378408,5
378447,5
378656,9
378806,9
378825,33
378826,33
378943,9
378944,9
378954,9
378955,9
378956,9
379037,9
379038,9
379057,9
379199,43
379216,5
379218,5
379220,19
379222,14
379223,19
379225,14
379226,9
379306,5
379313,5
379314,5
379317,5
379329,8
379578,9
379705,8
379727,4
379728,4
379729,4
379739,5
379908,5
379941,19
379944,19
379946,27
379948,9
379949,27
379950,27
380024,5
380135,9
380137,9
380138,9
380148,9
380150,9
380151,9
380159,5
380160,0
380189,5
380233,2
380425,19
380426,5
380427,19
380464,5
380467,5
380471,5
380476,5
380515,5
380566,9
380657,2
380694,0
380737,9
380757,9
380781,9
380785,9
380803,2
380807,2
380957,5
380958,5
380976,9
380977,9
380981,14
381121,5
381209,2
381210,2
381211,2
381213,2
381214,2
381215,2
381217,2
381219,2
381220,2
381221,2
381222,2
381223,2
381224,2
381225,2
381259,9
381269,2
381270,2
381328,9
381335,5
381420,8
381433,9
381434,9
381565,9
381646,19
381815,9
381846,9
381987,14
382005,5
382019,5
382023,5
382031,14
382049,57
382050,57
382075,9
382078,9
382114,19
382123,9
382124,9
382127,9
382130,2
382132,9
382143,9
382182,4
382183,4
382194,9
382242,5
382588,9
382616,9
382701,9
382703,9
382704,9
382706,9
382893,5
382898,5
383012,5
383014,9
383192,9
383193,9
383194,9
383251,5
383253,2
383311,5
383440,9
383450,19
383452,19
383458,19
383514,14
383630,48
383764,5
383767,5
383868,2
383914,5
383920,5
383921,9
384055,10
384056,10
384068,9
384205,43
384242,9
384245,9
384246,9
384277,9
384322,5
384324,5
384340,48
384341,33
384342,33
384348,19
384404,9
384429,4
384490,9
384512,14
384549,27
384552,0
384562,19
384563,19
384564,19
384566,33
384626,9
384627,5
384628,9
384764,2
384897,2
384944,0
385033,32
385034,19
385035,32
385036,27
385037,33
385038,24
385040,27
385042,19
385044,43
385049,33
385050,19
385057,19
385059,14
385060,19
385062,48
385063,18
385074,19
385077,32
385078,14
385086,33
385087,33
385089,33
385090,2
385091,5
385092,33
385106,19
385107,19
385109,18
385111,19
385112,5
385117,18
385118,33
385121,9
385131,57
385135,33
385137,14
385138,43
385139,33
385151,13
385158,19
385159,19
385160,19
385161,19
385171,9
385175,14
385216,0
385287,0
385288,5
385316,5
385331,9
385471,2
385486,9
385488,2
385492,4
385576,9
385628,9
385629,9
385728,5
385740,2
385787,5
385788,5
385829,8
385830,7
385831,7
386050,9
386060,9
386061,9
386116,9
386117,9
386159,8
386228,5
386231,5
386232,5
386233,5
386234,5
386238,5
386240,5
386243,5
386245,5
386246,5
386272,2
386290,5
386291,5
386514,5
386714,14
386798,5
386813,9
386869,7
386957,9
387097,9
387102,8
387103,8
387118,14
387136,9
387195,9
387198,9
387227,8
387248,9
387347,27
387376,27
387498,9
387793,9
387794,9
387795,9
387796,9
387888,19
387890,19
387894,19
387919,9
387931,9
387947,9
387993,9
388084,14
388085,14
388090,9
388091,14
388092,14
388100,13
388101,14
388104,14
388119,14
388121,14
388131,43
388137,14
388138,14
388157,9
388158,9
388208,5
388210,9
388258,9
388264,9
388265,9
388266,9
388271,2
388274,2
388278,2
388301,9
388326,5
388374,27
388375,27
388667,2
388729,9
388856,5
388857,5
389392,9
389489,8
389559,5
389560,5
389739,5
389748,5
389749,5
389766,5
389768,5
389769,5
389773,5
389996,5
389997,5
390018,8
390024,8
390025,9
390054,9
390057,8
390131,19
390198,9
390236,5
390300,9
390307,9
390317,19
390352,9
390678,0
390679,0
390706,43
390748,9
390749,9
390750,9
390751,9
390869,9
390870,9
390871,9
390874,9
390877,9
391033,5
391391,4
391449,9
391460,9
391481,0
391622,9
391661,9
391756,5
391798,14
391893,2
391894,2
391895,9
391898,9
392150,9
392152,0
392167,0
392185,2
392317,5
392416,9
392418,9
392419,5
392420,5
392442,14
392446,5
392448,9
392467,2
392603,14
392604,14
392682,0
392705,9
392706,9
392730,5
392739,27
392747,14
392748,27
392749,33
392750,14
392751,43
392752,19
392753,14
392754,33
392755,43
392756,19
392757,19
392758,43
392760,19
392762,27
392763,27
392764,48
392767,19
