id,original_price,sell_price,variations_types,stocks,size
100012,100,92,[],228,0
100223,240,221,[],0,0
100554,195,188,[],657,0
100968,232,223,[],45,0
101030,680,612,[],0,0
101165,230,221,[],195,0
101263,94,91,[],775,0
101306,75,72,[],0,0
101316,74,72,[],303,0
101360,480,432,[],97,0
101401,100,96,[],0,0
101489,120,111,[],170,0
101584,310,279,[],269,0
101735,150,135,[],0,0
101823,280,224,[],1277,0
102083,120,116,[],550,0
102093,72,70,[],470,0
102102,75,74,[],625,0
102131,175,161,[],0,0
102139,100,92,[],134,0
102145,375,345,[],113,0
102155,125,115,[],46,0
102159,130,120,[],59,0
102162,225,207,[],38,0
102533,1200,1104,[],196,0
102569,30,30,[],311,0
102607,70,68,[],91,0
102609,70,68,[],218,0
102610,70,68,[],210,0
102745,20,20,[],1178,0
102750,20,20,[],159,0
102753,20,20,[],133,0
102761,20,20,[],76,0
102764,20,20,[],0,0
102774,280,269,[],1711,0
102830,410,394,[],0,0
102833,209,201,[],0,0
102871,570,548,[],314,0
102932,199,180,[],0,0
102997,120,116,[],951,0
103246,315,284,[],0,0
103551,420,387,[],204,0
103558,230,212,[],57,0
103683,135,133,[],242,0
103730,70,68,[],115,0
103909,120,116,[],0,0
104179,150,138,[],0,0
104269,50,49,[],0,0
104271,50,49,[],0,0
104582,470,461,[],95,0
104607,212,208,[],110,0
104615,118,116,[],307,0
104617,450,441,[],46,0
104707,70,69,[],95,0
104708,75,74,[],65,0
104726,197,194,[],54,0
104759,73,72,[],279,0
104808,126,124,[],153,0
104821,90,89,[],131,0
104823,85,84,[],191,0
104833,100,98,[],0,0
104837,115,113,[],26,0
104839,115,113,[],57,0
104840,100,98,[],34,0
104860,50,49,[],406,0
104862,7350,7056,[],83,0
104864,245,241,[],413,0
104956,90,89,[],50,0
104960,290,285,[],0,0
106103,120,116,[],29,0
106417,150,138,[],2379,0
106599,120,111,[],0,0
106600,120,111,[],0,0
107800,172,166,[],497,0
107803,189,182,[],1042,0
108249,380,365,[],0,0
112292,1015,995,[],0,0
113710,149,144,[],1547,0
113712,149,144,[],0,0
113817,130,120,[],0,0
118009,399,280,[],315,0
118412,349,322,[],168,0
118417,160,148,[],28,0
118419,160,148,[],0,0
118443,270,249,[],0,0
118518,416,400,[],1592,0
118544,120,111,[],931,0
118572,728,714,[],105,0
118606,120,111,[],0,0
118774,89,88,[],0,0
118967,252,227,[],125,0
119665,216,208,[],2032,0
119705,165,162,[],88,0
119709,150,147,[],104,0
119711,165,162,[],198,0
120018,260,234,[],55,0
122350,175,172,[],0,0
122620,180,177,[],147,0
122644,205,201,[],0,0
122650,170,167,[],0,0
123659,55,54,[],0,0
124656,275,234,[],146,0
124657,500,425,[],303,0
124870,155,152,[],65,0
124871,150,147,[],51,0
125546,515,495,[],335,0
126153,980,941,[],0,0
126158,1295,1244,[],0,0
126903,270,249,[],0,0
126906,490,441,[],107,0
127362,150,147,[],152,0
128596,426,392,[],215,0
130138,1200,1080,[],0,0
130307,1320,1188,[],0,0
133571,240,221,[],332,0
134006,1225,1042,[],0,0
134149,35,34,[],1361,0
135463,125,120,[],0,0
137385,200,184,[],0,0
137575,415,374,[],0,0
137623,72,70,[],0,0
137936,770,740,[],308,0
140466,282,271,[],0,0
140873,308,296,[],0,0
140989,304,213,[],0,0
142156,258,248,[],127,0
144126,100,92,[],0,0
144395,240,231,[],1362,0
145130,1152,1106,[],28,0
146378,85,73,[],216,0
146384,87,79,[],318,0
146514,299,294,[],156,0
146775,145,143,[],201,0
146778,130,128,[],0,0
147283,64,58,[],1280,0
147491,215,207,[],811,0
147492,455,437,[],0,0
147493,1180,1133,[],213,0
147738,955,879,[],0,0
148392,20,20,[],0,0
148676,200,196,[],55,0
148681,322,316,[],27,0
148682,163,160,[],102,0
149353,101,97,[],256,0
149354,110,102,[],1552,0
149829,60,56,[],25,0
150476,100,92,[],0,0
151059,765,735,[],133,0
152075,1380,1242,[],0,0
152329,440,396,[],105,0
152450,147,142,[],58,0
153122,120,111,[],0,0
154171,450,432,[],612,0
154902,220,203,[],53,0
156639,175,123,[],159,0
157375,225,216,[],714,0
157419,215,211,[],0,0
159705,320,295,[],27,0
159713,320,295,[],0,0
161622,450,432,[],0,0
161623,450,432,[],0,0
161826,109,101,[],0,0
161897,95,94,[],124,0
161898,18,18,[],310,0
161899,12,12,[],1249,0
163055,94,85,[],0,0
163056,153,131,[],41,0
163064,44,41,[],0,0
163575,49,49,[],0,0
163578,89,86,[],659,0
163582,122,120,[],163,0
163584,236,232,[],82,0
163810,312,288,[],0,0
163920,150,138,[],0,0
163921,150,138,[],0,0
165939,199,184,[],82,0
167781,205,189,[],48,0
167782,205,189,[],226,0
167814,120,116,[],0,0
167976,699,490,[],85,0
168946,75,69,[],144,0
168949,65,63,[],0,0
168950,90,83,[],64,0
169000,508,356,[],0,0
169052,32,29,[],155,0
169053,70,63,[],112,0
169054,42,36,[],539,0
169055,36,33,[],181,0
169309,70,65,[],33,0
169409,1225,1042,[],0,0
169426,46,40,[],0,0
169899,50,49,[],141,0
170693,420,336,[],0,0
170695,230,207,[],0,0
170777,290,267,[],0,0
171651,183,176,[],0,0
172206,165,152,[],169,0
172260,160,148,[],0,0
172917,109,99,[],0,0
174253,70,68,[],153,0
174549,342,315,[],103,0
174626,345,332,[],0,0
174631,165,152,[],234,0
174635,225,207,[],100,0
174636,160,148,[],0,0
175116,145,143,[],224,0
175118,145,143,[],398,0
175257,15,15,[],305,0
175374,432,398,[],0,0
176362,280,275,[],37,0
176364,275,270,[],0,0
177140,435,401,[],0,0
177150,285,263,[],41,0
177155,245,226,[],111,0
177181,200,184,[],41,0
177259,270,249,[],0,0
177307,399,368,[],0,0
179161,100,92,[],0,0
179650,355,327,[],114,0
179651,355,327,[],34,0
180199,50,35,[],0,0
180512,240,192,[],0,0
180537,120,116,[],202,0
180584,50,49,[],84,0
180961,435,401,[],56,0
180963,2760,2540,[],201,0
180981,165,152,[],0,0
180983,175,161,[],148,0
181118,102,98,[],340,0
181156,180,177,[],0,0
181594,330,304,[],37,0
181597,215,198,[],31,0
181598,200,196,[],0,0
182214,250,225,[],0,0
182398,1000,800,[],0,0
182492,1000,700,[],0,0
182665,350,322,[],0,0
182914,180,177,[],0,0
184353,745,716,[],0,0
184607,56,55,[],168,0
185568,160,148,[],461,0
186070,260,255,[],766,0
186077,232,228,[],287,0
186232,205,201,[],944,0
186815,200,170,[],0,0
188077,150,138,[],0,0
188078,150,138,[],0,0
188079,150,138,[],0,0
188080,150,138,[],0,0
188081,150,138,[],0,0
188082,150,138,[],0,0
189099,180,166,[],125,0
189100,180,166,[],182,0
189101,180,166,[],313,0
189103,180,166,[],282,0
189204,499,460,[],61,0
189221,300,288,[],27,0
189296,206,198,[],114,0
