id,original_price,sell_price,variations_types,stocks,size
100012,100,92,[],444,0
100223,240,221,[],92,0
100554,185,178,[],279,0
100968,232,223,[],0,0
101030,585,527,[],0,0
101165,215,207,[],74,0
101263,90,87,[],0,0
101306,65,63,[],219,0
101316,74,72,[],142,0
101360,480,432,[],95,0
101401,100,96,[],478,0
101489,120,111,[],200,0
101584,310,279,[],50,0
101735,150,135,[],0,0
101823,280,224,[],1275,0
102083,120,116,[],617,0
102093,72,70,[],458,0
102102,75,74,[],931,0
102131,175,168,[],47,0
102139,100,96,[],0,0
102145,375,345,[],158,0
102155,175,161,[],69,0
102159,130,125,[],146,0
102162,225,216,[],76,0
102533,1200,1104,[],0,0
102569,30,30,[],125,0
102607,70,68,[],171,0
102609,70,68,[],182,0
102610,70,68,[],90,0
102745,20,20,[],930,0
102750,20,20,[],327,0
102753,20,20,[],614,0
102761,20,20,[],323,0
102764,20,20,[],137,0
102774,280,269,[],2413,0
102830,410,394,[],0,0
102833,209,201,[],0,0
102871,570,548,[],689,0
102932,199,184,[],0,0
102997,120,116,[],58,0
103246,315,290,[],0,0
103551,420,387,[],281,0
103683,135,133,[],295,0
103730,60,59,[],76,0
103909,120,116,[],73,0
104179,150,138,[],361,0
104269,50,49,[],200,0
104271,50,49,[],261,0
104582,470,461,[],41,0
104607,204,200,[],122,0
104615,114,112,[],196,0
104617,450,441,[],106,0
104707,70,69,[],49,0
104708,75,74,[],217,0
104726,197,194,[],83,0
104759,73,72,[],282,0
104808,126,124,[],369,0
104821,90,89,[],65,0
104823,85,84,[],553,0
104833,100,98,[],45,0
104837,115,113,[],47,0
104839,115,113,[],27,0
104840,100,98,[],28,0
104860,48,48,[],46,0
104862,7050,6768,[],79,0
104864,235,231,[],438,0
104956,90,89,[],125,0
104960,290,285,[],39,0
106103,120,116,[],57,0
106417,150,138,[],6257,0
106599,120,111,[],68,0
106600,120,111,[],36,0
107800,172,166,[],427,0
107803,189,182,[],293,0
108249,340,327,[],53,0
112292,1215,1191,[],39,0
113710,149,144,[],220,0
113712,149,144,[],0,0
113817,130,120,[],0,0
118009,399,320,[],158,0
118412,349,322,[],179,0
118417,160,148,[],29,0
118419,160,148,[],35,0
118443,270,249,[],0,0
118518,406,390,[],315,0
118544,120,116,[],747,0
118572,680,667,[],125,0
118606,120,111,[],0,0
118774,89,88,[],146,0
118967,252,227,[],89,0
119665,216,208,[],1030,0
119705,165,162,[],63,0
119709,150,147,[],59,0
119711,160,157,[],174,0
120018,260,234,[],58,0
122350,175,172,[],0,0
122620,180,173,[],270,0
122644,205,197,[],48,0
122650,170,167,[],0,0
123659,55,54,[],0,0
124656,275,234,[],0,0
124657,500,425,[],0,0
124870,155,152,[],100,0
124871,150,147,[],229,0
125546,498,479,[],116,0
126153,980,941,[],0,0
126158,1295,1244,[],0,0
126903,270,249,[],1193,0
126906,490,417,[],1471,0
127362,150,147,[],223,0
128596,426,392,[],227,0
130138,1200,1104,[],0,0
130307,1320,1215,[],0,0
133571,240,221,[],332,0
134006,1100,1012,[],0,0
134149,35,34,[],756,0
135463,125,120,[],0,0
137385,200,192,[],40,0
137575,415,374,[],0,0
137623,72,70,[],0,0
137936,770,740,[],126,0
140466,282,271,[],27,0
140873,308,296,[],0,0
142156,258,248,[],28,0
144126,100,92,[],277,0
144395,240,231,[],0,0
145130,1152,1060,[],0,0
146378,85,73,[],0,0
146384,87,79,[],0,0
146514,299,276,[],213,0
146775,145,143,[],0,0
146778,130,128,[],0,0
147283,64,58,[],241,0
147491,205,197,[],518,0
147492,455,437,[],0,0
147493,1180,1133,[],431,0
147738,910,838,[],0,0
148392,20,20,[],187,0
148676,240,236,[],62,0
148681,322,316,[],423,0
148682,151,148,[],61,0
149353,101,97,[],379,0
149354,101,97,[],1528,0
149829,60,59,[],80,0
150476,100,92,[],0,0
151059,765,735,[],0,0
152075,1380,1270,[],0,0
152329,440,396,[],150,0
152450,147,142,[],68,0
153122,120,111,[],0,0
154171,450,432,[],236,0
154902,220,203,[],47,0
156639,160,112,[],0,0
157375,225,216,[],1676,0
157419,215,211,[],41,0
159705,320,295,[],69,0
159713,320,295,[],0,0
161622,450,432,[],0,0
161623,450,432,[],41,0
161826,109,101,[],626,0
161897,88,87,[],294,0
161898,18,18,[],141,0
161899,12,12,[],1059,0
163055,94,85,[],60,0
163056,153,131,[],0,0
163064,44,41,[],106,0
163575,49,49,[],0,0
163578,160,154,[],682,0
163582,122,120,[],58,0
163584,236,232,[],127,0
163810,312,288,[],0,0
163920,150,138,[],0,0
163921,150,138,[],0,0
165939,199,192,[],86,0
167781,205,189,[],0,0
167782,205,189,[],0,0
167814,120,116,[],0,0
167976,699,490,[],197,0
168946,75,72,[],105,0
168949,65,63,[],0,0
168950,90,87,[],129,0
169000,508,356,[],0,0
169052,32,29,[],1240,0
169053,70,63,[],237,0
169054,42,36,[],725,0
169055,36,33,[],1295,0
169309,70,68,[],80,0
169409,1225,1042,[],0,0
169426,46,40,[],0,0
169899,50,49,[],205,0
170693,420,336,[],0,0
170695,230,207,[],0,0
171651,183,176,[],0,0
172206,165,159,[],111,0
172260,160,148,[],0,0
172917,109,99,[],0,0
174253,70,68,[],531,0
174549,342,315,[],0,0
174626,345,332,[],0,0
174631,165,152,[],191,0
174635,225,207,[],161,0
174636,165,152,[],230,0
175116,145,143,[],143,0
175118,145,143,[],957,0
175257,15,15,[],102,0
175374,432,398,[],0,0
176362,280,275,[],0,0
176364,275,270,[],0,0
177140,435,401,[],0,0
177150,285,263,[],0,0
177155,245,226,[],128,0
177181,200,184,[],0,0
177259,270,249,[],0,0
177307,399,368,[],0,0
179161,100,92,[],0,0
179650,355,327,[],0,0
