id,original_price,sell_price,variations_types,stocks,size
100012,105,96,[],526,0
100223,240,228,[],44,0
100229,315,300,[],0,0
100554,210,200,[],423,0
100968,243,231,[],573,0
101030,698,601,[],0,0
101165,230,219,[],185,0
101263,100,95,[],121,0
101306,75,72,[],308,0
101316,74,71,[],372,0
101360,480,413,[],623,0
101401,105,100,[],188,0
101489,125,114,[],275,0
101584,310,267,[],54,0
101735,150,129,[],0,0
101823,280,205,[],1038,0
102083,120,114,[],1157,0
102093,72,69,[],615,0
102102,85,84,[],1322,0
102131,229,209,[],0,0
102139,136,124,[],0,0
102145,375,342,[],0,0
102155,125,114,[],0,0
102159,199,182,[],27,0
102162,225,205,[],0,0
102533,1500,1365,[],0,0
102569,35,35,[],209,0
102607,72,69,[],56,0
102609,72,69,[],62,0
102610,72,69,[],0,0
102741,20,20,[],0,0
102745,20,20,[],43,0
102750,20,20,[],141,0
102753,20,20,[],554,0
102761,20,20,[],72,0
102764,20,20,[],192,0
102774,289,275,[],227,0
102830,410,390,[],194,0
102833,209,199,[],0,0
102871,570,542,[],1682,0
102932,199,172,[],0,0
102997,120,114,[],244,0
103235,240,228,[],102,0
103246,315,300,[],0,0
103551,420,383,[],41,0
103558,230,210,[],0,0
103683,135,133,[],368,0
103707,800,728,[],33,0
103730,80,76,[],47,0
103909,120,114,[],0,0
104179,150,137,[],0,0
104269,50,49,[],168,0
104271,50,49,[],0,0
104297,50,46,[],0,0
104582,490,481,[],195,0
104607,220,216,[],173,0
104615,122,120,[],528,0
104617,470,461,[],88,0
104707,74,73,[],94,0
104708,75,74,[],0,0
104726,205,201,[],0,0
104759,75,74,[],180,0
104808,130,128,[],501,0
104821,94,93,[],298,0
104823,94,93,[],470,0
104833,105,103,[],30,0
104837,120,118,[],29,0
104839,120,118,[],58,0
104840,105,103,[],34,0
104860,52,51,[],571,0
104862,7650,7497,[],80,0
104864,255,250,[],503,0
104956,99,98,[],135,0
104960,290,285,[],0,0
106103,120,114,[],107,0
106417,180,132,[],711,0
106599,120,110,[],0,0
106600,120,110,[],0,0
107800,210,192,[],0,0
107803,225,214,[],830,0
108249,380,361,[],0,0
112292,1340,1314,[],0,0
113710,149,142,[],533,0
113712,149,142,[],0,0
113817,130,119,[],0,0
118009,499,285,[],489,0
118156,410,374,[],105,0
118382,630,423,[],146,0
118412,375,342,[],53,0
118417,160,146,[],27,0
118419,160,146,[],0,0
118443,270,246,[],0,0
118518,450,428,[],763,0
118544,120,110,[],0,0
118572,785,770,[],33,0
118606,120,110,[],0,0
118774,89,88,[],0,0
118967,252,217,[],690,0
119665,240,228,[],168,0
119705,175,167,[],0,0
119709,155,152,[],178,0
119711,170,167,[],250,0
120018,300,258,[],0,0
122350,175,172,[],0,0
122620,190,187,[],0,0
122644,230,226,[],139,0
122650,170,167,[],0,0
123659,55,54,[],0,0
124656,295,254,[],0,0
124657,540,438,[],51,0
124870,165,162,[],0,0
124871,150,147,[],0,0
125546,535,509,[],204,0
126153,1055,1003,[],38,0
126158,1370,1302,[],59,0
126903,301,274,[],0,0
126906,552,448,[],0,0
127362,155,152,[],0,0
128462,108,106,[],148,0
128596,490,486,[],40,0
130138,1200,1032,[],0,0
130307,1380,1187,[],0,0
133571,240,219,[],120,0
134006,1125,1069,[],0,0
134149,37,36,[],1440,0
135463,125,119,[],0,0
137385,200,182,[],69,0
137575,460,451,[],97,0
137623,72,69,[],0,0
137936,800,760,[],378,0
138461,240,176,[],254,0
140448,360,342,[],0,0
140466,300,285,[],26,0
140873,308,293,[],0,0
140989,304,204,[],0,0
142156,270,257,[],147,0
144126,100,86,[],729,0
144395,240,228,[],618,0
145130,1344,1277,[],34,0
146378,95,77,[],249,0
146384,87,75,[],282,0
146514,330,301,[],106,0
146775,145,143,[],486,0
146778,130,128,[],0,0
147283,64,56,[],140,0
147491,230,219,[],220,0
147492,505,480,[],0,0
147493,1090,992,[],0,0
147737,955,870,[],0,0
147738,955,870,[],0,0
147739,955,870,[],0,0
148392,20,20,[],0,0
148676,230,226,[],50,0
148681,345,339,[],695,0
148682,175,172,[],198,0
149353,115,110,[],724,0
149354,115,110,[],2535,0
149829,60,55,[],0,0
150476,100,91,[],0,0
151059,850,808,[],89,0
152075,1416,1218,[],0,0
152329,488,420,[],72,0
152450,147,140,[],109,0
153122,120,110,[],0,0
154171,480,456,[],255,0
154902,230,210,[],50,0
156639,200,134,[],0,0
157375,250,238,[],2936,0
157419,215,211,[],0,0
159705,340,323,[],0,0
159713,320,292,[],0,0
161622,450,428,[],0,0
161623,450,428,[],0,0
161826,116,111,[],0,0
161897,114,112,[],561,0
161898,22,21,[],0,0
161899,12,12,[],3351,0
163055,110,81,[],100,0
163056,170,138,[],101,0
163064,50,41,[],205,0
163575,55,53,[],518,0
163578,184,181,[],313,0
163582,144,142,[],573,0
163584,254,242,[],114,0
163810,312,284,[],0,0
163920,150,137,[],0,0
163921,150,137,[],0,0
165939,249,237,[],77,0
167738,955,936,[],0,0
167781,205,187,[],132,0
167782,205,187,[],0,0
167814,120,114,[],0,0
167976,875,587,[],253,0
168946,75,69,[],0,0
168949,65,62,[],0,0
168950,90,82,[],0,0
169000,508,341,[],0,0
169052,32,26,[],52,0
169053,64,52,[],265,0
169054,42,35,[],398,0
169055,35,31,[],413,0
169166,200,196,[],0,0
169309,70,64,[],0,0
169409,1075,871,[],26,0
169426,46,38,[],0,0
169899,50,49,[],914,0
170693,420,307,[],0,0
170695,230,198,[],0,0
170777,290,264,[],0,0
171651,183,174,[],0,0
172206,165,151,[],0,0
172260,160,146,[],0,0
172917,109,94,[],0,0
174253,75,72,[],0,0
174367,70,69,[],41,0
174549,375,342,[],0,0
174626,345,328,[],0,0
174631,165,151,[],165,0
174635,285,260,[],459,0
174636,170,155,[],111,0
175116,145,143,[],77,0
175118,145,143,[],413,0
175257,15,15,[],95,0
175374,432,394,[],0,0
176362,325,319,[],197,0
176364,275,270,[],0,0
177140,435,396,[],0,0
177144,245,223,[],0,0
177150,299,273,[],0,0
177155,245,223,[],57,0
177181,200,182,[],0,0
177259,270,246,[],0,0
177307,399,364,[],0,0
177319,145,132,[],36,0
179161,100,91,[],0,0
179650,355,324,[],0,0
179651,355,324,[],0,0
180199,50,37,[],121,0
180512,240,176,[],0,0
180537,120,114,[],173,0
180584,50,49,[],104,0
180961,440,401,[],0,0
180963,2760,2512,[],0,0
180981,165,151,[],0,0
180983,175,167,[],46,0
181118,120,114,[],747,0
181156,180,177,[],0,0
181594,340,323,[],0,0
181597,215,196,[],76,0
181598,200,196,[],222,0
182214,250,215,[],0,0
182398,1000,670,[],0,0
182492,1000,670,[],0,0
182665,350,319,[],0,0
182914,200,196,[],129,0
184353,795,756,[],88,0
184607,60,59,[],1598,0
185568,180,164,[],689,0
186070,280,275,[],253,0
186077,242,238,[],0,0
186232,215,211,[],119,0
