id,original_price,sell_price,variations_types,stocks,size
100968,243,231,[],1692,0
101735,150,143,[],0,0
101823,280,205,[],808,0
102083,120,110,[],18,0
102139,136,124,[],0,0
102155,125,114,[],0,0
102159,199,182,[],0,0
102162,225,205,[],0,0
102533,1500,1365,[],5,0
102750,20,19,[],592,0
102764,20,19,[],0,0
102774,289,275,[],0,0
103246,315,300,[],0,0
103551,450,410,[],333,0
103909,120,114,[],0,0
104179,150,137,[],0,0
104269,50,49,[],0,0
104271,50,49,[],0,0
104297,50,46,[],0,0
104960,290,285,[],0,0
106599,120,110,[],0,0
106600,120,110,[],0,0
107800,210,200,[],0,0
107803,225,214,[],1039,0
108249,380,346,[],0,0
112292,1115,1093,[],8,0
113712,149,142,[],0,0
113817,130,119,[],0,0
118382,630,460,[],140,0
118417,160,146,[],13,0
118419,160,146,[],0,0
118443,270,246,[],0,0
118544,120,110,[],0,0
118606,120,110,[],0,0
118774,91,90,[],0,0
122350,175,172,[],0,0
122650,170,167,[],0,0
123659,55,54,[],0,0
124871,160,157,[],0,0
126158,1200,1140,[],46,0
126903,308,281,[],247,0
128462,108,106,[],0,0
130138,1260,1084,[],0,0
130307,1416,1218,[],7,0
133571,240,219,[],0,0
137385,200,182,[],0,0
137623,72,66,[],0,0
140448,360,328,[],0,0
140466,318,303,[],0,0
140873,410,390,[],0,0
140989,304,204,[],0,0
145130,1344,1277,[],184,0
146378,95,77,[],0,0
146778,130,128,[],0,0
147492,505,480,[],0,0
147493,1090,992,[],0,0
148392,20,19,[],0,0
149353,115,110,[],898,0
150476,100,91,[],0,0
151059,850,808,[],71,0
152075,1416,1218,[],9,0
153122,120,110,[],0,0
159713,320,292,[],0,0
161622,450,410,[],0,0
161826,123,117,[],314,0
161898,24,23,[],333,0
163064,54,44,[],308,0
163810,312,284,[],0,0
163920,150,137,[],0,0
163921,150,137,[],0,0
165939,249,237,[],0,0
167782,205,187,[],0,0
167814,120,110,[],0,0
168946,75,69,[],0,0
168949,65,60,[],0,0
168950,90,82,[],0,0
169000,508,341,[],0,0
169053,68,56,[],89,0
169166,200,196,[],0,0
169309,70,64,[],0,0
169409,1175,858,[],8,0
169426,46,38,[],0,0
169899,50,49,[],0,0
170693,420,307,[],0,0
170695,230,219,[],0,0
170777,290,264,[],0,0
171651,183,167,[],0,0
172206,165,157,[],0,0
172260,160,146,[],0,0
172917,109,94,[],0,0
174549,375,357,[],0,0
174626,345,328,[],0,0
174636,170,155,[],163,0
175118,145,143,[],3,0
175374,432,394,[],0,0
177140,435,396,[],0,0
177144,245,233,[],0,0
177150,299,273,[],0,0
177155,245,223,[],0,0
177181,200,182,[],0,0
177259,270,246,[],0,0
177307,399,380,[],0,0
177319,145,132,[],0,0
179161,100,91,[],0,0
179650,355,324,[],0,0
179651,355,324,[],0,0
180199,54,44,[],425,0
180512,240,176,[],0,0
180584,60,59,[],0,0
180981,165,151,[],0,0
180983,185,169,[],96,0
181156,180,177,[],0,0
181594,340,323,[],84,0
