id,original_price,sell_price,variations_types,stocks,size
100012,100,91,[],318,0
100223,240,219,[],137,0
100554,185,176,[],798,0
100968,232,221,[],547,0
101030,680,585,[],31,0
101165,230,219,[],38,0
101263,94,90,[],315,0
101306,75,72,[],285,0
101316,74,71,[],260,0
101360,480,413,[],83,0
101401,100,95,[],214,0
101489,120,110,[],305,0
101584,310,267,[],588,0
101735,150,129,[],0,0
101823,280,205,[],1023,0
102083,120,114,[],0,0
102093,72,69,[],1234,0
102102,75,74,[],309,0
102131,175,160,[],0,0
102139,100,91,[],0,0
102145,375,342,[],0,0
102155,125,114,[],0,0
102159,130,119,[],0,0
102162,225,205,[],0,0
102533,1200,1092,[],398,0
102569,30,30,[],195,0
102607,70,67,[],143,0
102609,72,69,[],227,0
102610,72,69,[],92,0
102745,20,20,[],0,0
102750,20,20,[],104,0
102753,20,20,[],257,0
102761,20,20,[],0,0
102764,20,20,[],76,0
102774,280,266,[],1657,0
102830,410,390,[],0,0
102833,209,199,[],0,0
102871,570,542,[],571,0
102932,199,172,[],0,0
102997,120,114,[],862,0
103246,315,271,[],0,0
103551,420,383,[],123,0
103558,230,210,[],91,0
103683,135,133,[],481,0
103730,70,67,[],93,0
103909,120,114,[],0,0
104179,150,137,[],0,0
104269,50,49,[],0,0
104271,50,49,[],0,0
104582,470,461,[],102,0
104607,212,208,[],490,0
104615,118,116,[],1125,0
104617,450,441,[],79,0
104707,70,69,[],85,0
104708,75,74,[],88,0
104726,197,194,[],127,0
104759,73,72,[],1070,0
104808,126,124,[],1099,0
104821,90,89,[],61,0
104823,90,89,[],215,0
104833,100,98,[],60,0
104837,115,113,[],0,0
104839,115,113,[],76,0
104840,100,98,[],0,0
104860,50,49,[],369,0
104862,7350,6983,[],97,0
104864,245,241,[],451,0
104956,90,89,[],139,0
104960,290,285,[],0,0
106103,120,114,[],138,0
106417,150,137,[],236,0
106599,120,110,[],0,0
106600,120,110,[],0,0
107800,172,164,[],452,0
107803,195,186,[],998,0
108249,380,361,[],0,0
112292,1015,995,[],0,0
113710,149,142,[],1148,0
113712,149,142,[],0,0
113817,130,119,[],0,0
118009,399,268,[],132,0
118412,360,328,[],94,0
118417,160,146,[],0,0
118419,160,146,[],43,0
118443,270,246,[],0,0
118518,416,396,[],261,0
118544,120,110,[],2210,0
118572,728,714,[],192,0
118606,120,110,[],0,0
118774,89,88,[],0,0
118967,252,217,[],0,0
119665,216,206,[],648,0
119705,170,167,[],58,0
119709,150,147,[],62,0
119711,165,162,[],115,0
120018,260,224,[],164,0
122350,175,172,[],0,0
122620,180,177,[],0,0
122644,205,201,[],0,0
122650,170,167,[],0,0
123659,55,54,[],0,0
124656,275,223,[],0,0
124657,500,405,[],607,0
124870,155,152,[],30,0
124871,150,147,[],0,0
125546,515,490,[],798,0
126153,930,884,[],28,0
126158,1245,1183,[],26,0
126903,278,253,[],63,0
126906,499,405,[],822,0
127362,150,147,[],110,0
128596,442,442,[],0,0
130138,1200,1032,[],0,0
130307,1320,1136,[],0,0
133571,240,219,[],0,0
134006,1225,993,[],0,0
134149,35,34,[],946,0
135463,125,119,[],0,0
137385,200,182,[],0,0
137575,440,432,[],1125,0
137623,72,69,[],0,0
