id,original_price,sell_price,variations_types,stocks,size
100012,100,91,[],553,0
100223,240,228,[],0,0
100554,179,170,[],874,0
100968,232,220,[],489,0
101030,680,584,[],74,0
101165,230,218,[],42,0
101263,95,86,[],752,0
101306,75,68,[],689,0
101316,74,67,[],0,0
101360,480,412,[],0,0
101401,103,93,[],0,0
101489,120,109,[],507,0
101584,310,266,[],285,0
101735,150,129,[],0,0
101823,280,204,[],895,0
102083,120,109,[],0,0
102093,72,65,[],1925,0
102102,75,73,[],0,0
102131,199,181,[],0,0
102139,100,91,[],38,0
102145,375,341,[],42,0
102155,125,113,[],0,0
102159,175,159,[],31,0
102162,225,204,[],0,0
102533,1200,1092,[],0,0
102569,30,29,[],0,0
102607,72,65,[],609,0
102609,72,65,[],58,0
102610,72,65,[],1178,0
102745,20,18,[],82,0
102750,20,18,[],0,0
102753,20,18,[],0,0
102761,20,18,[],0,0
102764,20,18,[],174,0
102774,289,274,[],1543,0
102830,410,389,[],0,0
102833,209,198,[],0,0
102871,570,541,[],195,0
102932,199,171,[],0,0
102997,120,114,[],775,0
103246,315,299,[],0,0
103551,420,382,[],85,0
103558,230,209,[],155,0
103683,135,132,[],465,0
103730,70,66,[],68,0
103909,120,114,[],0,0
104179,150,136,[],0,0
104269,50,49,[],0,0
104271,50,49,[],261,0
104582,470,460,[],243,0
104607,212,207,[],244,0
104615,118,115,[],557,0
104617,450,441,[],88,0
104707,70,68,[],161,0
104708,75,73,[],64,0
104726,197,193,[],209,0
104759,73,71,[],664,0
104808,126,123,[],639,0
104821,90,88,[],97,0
104823,90,88,[],158,0
104833,100,98,[],88,0
104837,115,112,[],63,0
104839,115,112,[],90,0
104840,100,98,[],48,0
104860,50,49,[],306,0
104862,7350,7203,[],86,0
104864,245,240,[],225,0
104956,90,88,[],167,0
104960,290,284,[],0,0
106103,120,114,[],105,0
106417,150,136,[],499,0
106599,120,109,[],0,0
106600,120,109,[],0,0
107800,199,181,[],514,0
107803,215,195,[],998,0
108249,380,345,[],0,0
112292,1015,994,[],0,0
113710,149,135,[],481,0
113712,149,135,[],0,0
113817,130,118,[],0,0
118009,399,267,[],154,0
118156,410,373,[],118,0
118382,499,364,[],417,0
118412,375,341,[],89,0
118417,160,145,[],0,0
118419,160,145,[],58,0
118443,270,245,[],0,0
118518,416,395,[],1870,0
118544,120,109,[],2709,0
118572,728,713,[],58,0
118606,120,109,[],0,0
118774,89,87,[],0,0
118967,252,216,[],0,0
119665,216,196,[],1496,0
119705,170,166,[],215,0
119709,150,147,[],222,0
119711,165,161,[],92,0
120018,260,223,[],364,0
122350,175,171,[],0,0
122620,185,181,[],222,0
122644,220,215,[],63,0
122650,170,166,[],0,0
123659,55,53,[],0,0
124656,278,225,[],145,0
124657,500,405,[],479,0
124870,155,151,[],217,0
124871,150,147,[],60,0
125546,515,489,[],400,0
126153,900,855,[],81,0
126158,1245,1182,[],0,0
126903,278,252,[],678,0
126906,499,404,[],880,0
127362,150,147,[],78,0
128462,104,101,[],0,0
128596,460,450,[],0,0
130138,1200,1032,[],0,0
130307,1320,1135,[],0,0
133571,240,218,[],408,0
134006,1225,992,[],0,0
134149,35,31,[],1013,0
135463,120,109,[],0,0
137385,200,182,[],0,0
137575,440,431,[],496,0
137623,72,65,[],0,0
137936,770,731,[],47,0
138461,240,206,[],166,0
140466,300,273,[],35,0
140873,308,292,[],0,0
140989,304,203,[],0,0
142156,270,256,[],44,0
144126,100,95,[],0,0
144395,240,218,[],3974,0
145130,1152,1094,[],0,0
146378,85,68,[],478,0
146384,87,74,[],451,0
146514,299,293,[],122,0
146775,145,142,[],315,0
146778,130,127,[],0,0
147283,64,55,[],0,0
147491,205,194,[],514,0
147492,425,403,[],57,0
147493,1144,1086,[],193,0
147738,955,869,[],31,0
148392,20,18,[],289,0
148676,200,196,[],58,0
148681,322,315,[],184,0
148682,163,159,[],105,0
149353,105,95,[],727,0
149354,110,100,[],1848,0
149829,60,54,[],94,0
150476,100,91,[],0,0
151059,765,726,[],66,0
152075,1380,1186,[],0,0
152329,440,378,[],289,0
152450,147,139,[],39,0
153122,120,109,[],0,0
154171,450,409,[],198,0
154902,220,200,[],37,0
156639,175,117,[],409,0
157375,225,204,[],2774,0
157419,215,210,[],63,0
159705,330,300,[],0,0
159713,320,291,[],0,0
161622,450,409,[],0,0
161623,450,409,[],0,0
161826,109,103,[],322,0
161897,95,86,[],409,0
161898,19.5,18,[],226,0
161899,12,11,[],3898,0
163055,102,82,[],0,0
163056,153,123,[],53,0
163064,50,36,[],0,0
163575,49,48,[],240,0
163578,160,152,[],704,0
163582,122,119,[],498,0
163584,236,224,[],186,0
163810,312,283,[],0,0
163920,150,136,[],0,0
163921,150,136,[],0,0
165939,199,181,[],50,0
167781,205,186,[],48,0
167782,205,186,[],126,0
167814,120,109,[],462,0
167976,699,468,[],62,0
168946,75,68,[],144,0
168949,65,59,[],0,0
168950,90,81,[],56,0
169000,508,340,[],0,0
169052,32,25,[],823,0
169053,68,55,[],303,0
169054,42,34,[],574,0
169055,35,31,[],1189,0
169166,185,181,[],0,0
169309,70,63,[],0,0
169409,1200,876,[],0,0
169426,46,37,[],0,0
169899,50,49,[],0,0
170693,420,306,[],0,0
170695,230,197,[],0,0
170777,290,263,[],0,0
171651,183,166,[],0,0
172206,165,150,[],576,0
