id,original_price,sell_price,variations_types,stocks,size
100012,105,95,[],557,0
100223,240,228,[],78,0
100229,315,299,[],0,0
100554,185,175,[],251,0
100968,232,220,[],597,0
101030,680,584,[],49,0
101165,230,218,[],166,0
101263,95,86,[],166,0
101306,75,68,[],309,0
101316,74,67,[],122,0
101360,480,412,[],84,0
101401,100,91,[],307,0
101489,120,109,[],240,0
101584,310,266,[],353,0
101735,150,129,[],0,0
101823,280,204,[],845,0
102083,120,109,[],272,0
102093,72,65,[],272,0
102102,80,78,[],615,0
102131,199,181,[],38,0
102139,136,123,[],40,0
102145,375,341,[],0,0
102155,125,113,[],0,0
102159,199,181,[],0,0
102162,225,204,[],0,0
102533,1200,1092,[],51,0
102569,35,34,[],746,0
102607,72,65,[],172,0
102609,72,65,[],404,0
102610,72,65,[],315,0
102741,20,18,[],111,0
102745,20,18,[],558,0
102750,20,18,[],866,0
102753,20,18,[],428,0
102761,20,18,[],304,0
102764,20,18,[],63,0
102774,289,274,[],1541,0
102830,410,389,[],0,0
102833,209,198,[],0,0
102871,570,541,[],1066,0
102932,199,171,[],0,0
102997,120,114,[],572,0
103235,240,228,[],164,0
103246,315,299,[],0,0
103551,420,382,[],144,0
103558,230,209,[],160,0
103683,135,132,[],137,0
103707,800,728,[],39,0
103730,70,66,[],84,0
103909,120,114,[],0,0
104179,150,136,[],0,0
104269,50,49,[],172,0
104271,50,49,[],56,0
104297,50,45,[],0,0
104582,470,460,[],143,0
104607,212,207,[],297,0
104615,118,115,[],169,0
104617,450,441,[],0,0
104707,70,68,[],82,0
104708,75,73,[],0,0
104726,205,200,[],151,0
104759,73,71,[],128,0
104808,130,127,[],495,0
104821,90,88,[],158,0
104823,90,88,[],37,0
104833,100,98,[],0,0
104837,115,112,[],0,0
104839,115,112,[],31,0
104840,100,98,[],0,0
104860,50,49,[],432,0
104862,7350,7203,[],111,0
104864,245,240,[],350,0
104956,90,88,[],117,0
104960,290,284,[],0,0
106103,120,114,[],170,0
106417,170,137,[],509,0
106599,120,109,[],0,0
106600,120,109,[],0,0
107800,199,181,[],313,0
107803,215,195,[],952,0
108249,380,345,[],0,0
112292,1015,994,[],0,0
113710,149,135,[],346,0
113712,149,135,[],0,0
113817,130,118,[],0,0
118009,399,267,[],0,0
118156,410,373,[],59,0
118382,499,364,[],44,0
118412,375,341,[],101,0
118417,160,145,[],28,0
118419,160,145,[],31,0
118443,270,245,[],0,0
118518,435,413,[],1884,0
118544,120,109,[],1320,0
118572,785,769,[],138,0
118606,120,109,[],0,0
118774,89,87,[],139,0
118967,252,216,[],148,0
119665,216,196,[],0,0
119705,170,166,[],82,0
119709,150,147,[],90,0
119711,165,161,[],98,0
120018,300,258,[],141,0
122350,175,171,[],0,0
122620,185,181,[],297,0
122644,220,215,[],45,0
122650,170,166,[],0,0
123659,55,53,[],0,0
124656,278,225,[],82,0
124657,500,365,[],44,0
124870,155,151,[],134,0
124871,150,147,[],90,0
125546,515,489,[],444,0
126153,930,883,[],76,0
126158,1170,1111,[],84,0
126903,278,252,[],44,0
126906,499,404,[],2323,0
127362,130,127,[],47,0
128462,104,101,[],0,0
128596,461,456,[],239,0
130138,1320,1135,[],0,0
130307,1320,1135,[],65,0
133571,240,218,[],81,0
134006,1075,1053,[],112,0
134149,36,32,[],1390,0
135463,125,113,[],0,0
137385,200,182,[],0,0
137575,460,450,[],2579,0
137623,72,65,[],0,0
137936,800,760,[],173,0
138461,240,206,[],62,0
140448,360,327,[],0,0
140466,300,273,[],33,0
140873,308,292,[],0,0
140989,304,203,[],0,0
142156,270,256,[],59,0
144126,100,95,[],216,0
144395,240,218,[],1039,0
145130,1344,1276,[],44,0
146378,85,68,[],138,0
146384,87,74,[],0,0
146514,320,313,[],320,0
146775,145,142,[],499,0
146778,130,127,[],0,0
147283,64,55,[],0,0
147491,190,180,[],0,0
147492,425,403,[],167,0
147493,1090,991,[],0,0
147738,955,869,[],41,0
148392,20,18,[],292,0
148676,200,196,[],133,0
148681,322,315,[],0,0
148682,163,159,[],0,0
149353,115,104,[],523,0
149354,115,104,[],1864,0
149829,60,54,[],0,0
150476,100,91,[],0,0
151059,765,726,[],0,0
