id,original_price,sell_price,variations_types,stocks,size
100012,100,91,[],168,0
100223,240,228,[],0,0
100229,315,300,[],0,0
100554,170,162,[],974,0
100968,232,221,[],305,0
101030,680,585,[],0,0
101165,230,219,[],344,0
101263,95,91,[],418,0
101306,75,72,[],939,0
101316,74,71,[],238,0
101360,480,413,[],57,0
101401,100,95,[],406,0
101489,120,110,[],280,0
101584,310,267,[],64,0
101735,150,129,[],0,0
101823,280,205,[],868,0
102083,120,114,[],171,0
102093,72,69,[],437,0
102102,80,79,[],953,0
102131,229,209,[],61,0
102139,100,91,[],82,0
102145,375,342,[],27,0
102155,125,114,[],0,0
102159,175,160,[],46,0
102162,225,205,[],0,0
102533,1200,1092,[],482,0
102569,35,35,[],850,0
102607,72,69,[],417,0
102609,72,69,[],762,0
102610,72,69,[],792,0
102741,20,20,[],255,0
102745,20,20,[],963,0
102750,20,20,[],1791,0
102753,20,20,[],825,0
102761,20,20,[],74,0
102764,20,20,[],438,0
102774,289,275,[],1543,0
102830,410,390,[],0,0
102833,209,199,[],0,0
102871,570,542,[],1843,0
102932,199,172,[],0,0
102997,120,114,[],670,0
103235,240,228,[],448,0
103246,315,300,[],0,0
103551,420,383,[],415,0
103558,230,210,[],59,0
103683,135,133,[],272,0
103707,800,728,[],33,0
103730,70,67,[],120,0
103909,120,114,[],0,0
104179,150,137,[],0,0
104269,50,49,[],70,0
104271,50,49,[],82,0
104297,50,46,[],32,0
104582,470,461,[],259,0
104607,212,208,[],254,0
104615,118,116,[],198,0
104617,450,441,[],106,0
104707,70,69,[],217,0
104708,75,74,[],85,0
104726,197,194,[],322,0
104759,73,72,[],345,0
104808,126,124,[],573,0
104821,90,89,[],147,0
104823,90,89,[],201,0
104833,100,98,[],54,0
104837,115,113,[],34,0
104839,115,113,[],56,0
104840,100,98,[],0,0
104860,50,49,[],208,0
104862,7350,7203,[],116,0
104864,245,241,[],491,0
104956,90,89,[],144,0
104960,290,285,[],0,0
106103,120,114,[],59,0
106417,170,138,[],0,0
106599,120,110,[],0,0
106600,120,110,[],0,0
107800,199,182,[],372,0
107803,215,205,[],559,0
108249,380,361,[],0,0
112292,1015,995,[],46,0
113710,149,142,[],493,0
113712,149,142,[],0,0
113817,130,119,[],0,0
118009,399,268,[],101,0
118156,410,374,[],83,0
118382,499,365,[],252,0
118412,375,342,[],125,0
118417,160,146,[],32,0
118419,160,146,[],63,0
118443,270,246,[],0,0
118518,435,414,[],1370,0
118544,120,110,[],595,0
118572,750,735,[],341,0
118606,120,110,[],0,0
118774,89,88,[],54,0
118967,252,217,[],60,0
119665,216,206,[],31,0
119705,170,167,[],47,0
119709,150,147,[],109,0
119711,165,162,[],206,0
120018,260,224,[],163,0
122350,175,172,[],0,0
122620,185,182,[],183,0
122644,220,216,[],0,0
122650,170,167,[],0,0
123659,55,54,[],0,0
124656,278,226,[],151,0
124657,500,405,[],262,0
124870,155,152,[],43,0
124871,150,147,[],41,0
125546,515,490,[],415,0
126153,900,819,[],51,0
126158,1170,1112,[],31,0
126903,278,253,[],829,0
126906,499,405,[],1145,0
127362,150,147,[],54,0
128462,104,102,[],0,0
128596,461,461,[],189,0
130138,1200,1032,[],0,0
130307,1320,1136,[],71,0
133571,240,219,[],259,0
134006,1050,998,[],0,0
134149,36,35,[],595,0
135463,120,114,[],0,0
137385,200,182,[],0,0
137575,445,437,[],395,0
137623,72,69,[],0,0
137936,770,732,[],262,0
138461,240,207,[],100,0
140448,360,342,[],0,0
140466,300,285,[],28,0
140873,308,293,[],0,0
140989,304,204,[],0,0
142156,270,257,[],143,0
144126,100,95,[],0,0
144395,240,228,[],4034,0
145130,1152,1095,[],56,0
146378,85,69,[],209,0
146384,87,75,[],294,0
146514,299,294,[],100,0
146775,145,143,[],136,0
146778,130,128,[],0,0
147283,64,56,[],433,0
147491,190,181,[],778,0
147492,425,404,[],39,0
147493,1090,992,[],0,0
147738,955,870,[],32,0
148392,20,20,[],398,0
148676,200,196,[],157,0
148681,322,316,[],137,0
148682,163,160,[],44,0
149353,105,100,[],656,0
149354,115,110,[],1710,0
149829,60,55,[],67,0
150476,100,91,[],0,0
151059,765,727,[],40,0
152075,1380,1187,[],39,0
152329,440,379,[],100,0
152450,147,140,[],0,0
153122,120,110,[],0,0
154171,450,428,[],203,0
154902,230,210,[],42,0
156639,175,118,[],314,0
157375,225,214,[],1318,0
157419,215,211,[],34,0
159705,330,301,[],0,0
159713,320,292,[],0,0
161622,450,428,[],0,0
161623,450,428,[],90,0
161826,109,100,[],412,0
161897,95,87,[],495,0
161898,20,19,[],150,0
161899,12,12,[],3341,0
163055,102,88,[],26,0
163056,153,124,[],70,0
163064,50,37,[],228,0
163575,49,49,[],149,0
163578,184,175,[],892,0
163582,122,120,[],524,0
163584,248,236,[],190,0
163810,312,284,[],0,0
163920,150,137,[],0,0
163921,150,137,[],0,0
165939,199,182,[],49,0
167781,205,187,[],63,0
167782,205,187,[],0,0
167814,120,114,[],273,0
167976,699,469,[],54,0
168946,75,69,[],0,0
168949,65,62,[],0,0
168950,90,82,[],45,0
169000,508,341,[],0,0
169052,32,26,[],1114,0
169053,68,56,[],235,0
169054,42,35,[],1030,0
169055,35,32,[],1409,0
169166,200,196,[],0,0
169309,70,64,[],0,0
169409,1200,876,[],33,0
169426,46,38,[],0,0
169899,50,49,[],178,0
170693,420,307,[],0,0
170695,230,198,[],0,0
170777,290,264,[],0,0
171651,183,174,[],0,0
172206,165,151,[],330,0
172260,160,146,[],0,0
172917,109,94,[],0,0
174253,75,72,[],151,0
174367,70,69,[],29,0
174549,360,342,[],140,0
174626,345,328,[],0,0
174631,165,151,[],129,0
174635,240,219,[],330,0
174636,160,146,[],98,0
175116,145,143,[],284,0
175118,145,143,[],81,0
175257,15,15,[],142,0
175374,432,394,[],0,0
176362,310,304,[],84,0
176364,275,270,[],0,0
177140,435,396,[],0,0
177144,245,223,[],0,0
177150,285,260,[],28,0
177155,245,223,[],55,0
177181,200,182,[],28,0
177259,270,246,[],0,0
177307,399,364,[],0,0
177319,145,132,[],34,0
179161,100,91,[],0,0
179650,355,324,[],0,0
179651,355,324,[],0,0
180199,50,34,[],31,0
180512,240,176,[],0,0
180537,120,114,[],326,0
180584,50,49,[],133,0
180961,440,401,[],297,0
180963,2760,2512,[],232,0
180981,165,151,[],0,0
180983,175,160,[],184,0
181118,102,97,[],0,0
181156,180,177,[],0,0
181594,330,301,[],26,0
181597,215,196,[],0,0
181598,200,196,[],212,0
182214,250,215,[],0,0
182398,1000,670,[],0,0
182492,1000,670,[],0,0
182665,350,319,[],0,0
182914,200,196,[],102,0
184353,795,756,[],48,0
184607,56,55,[],1946,0
185568,160,146,[],595,0
186070,260,255,[],668,0
186077,243,239,[],221,0
186232,215,211,[],709,0
186815,200,162,[],0,0
188077,150,137,[],0,0
188078,150,137,[],0,0
188079,150,137,[],0,0
188080,150,137,[],0,0
188081,150,137,[],0,0
188082,150,137,[],0,0
189099,180,164,[],88,0
189100,180,164,[],37,0
189101,180,164,[],292,0
189103,180,164,[],223,0
189204,499,455,[],81,0
189221,315,300,[],53,0
189296,214,204,[],239,0
189311,295,281,[],72,0
189323,249,237,[],106,0
189326,249,237,[],121,0
189433,1530,1500,[],0,0
189439,695,633,[],0,0
189785,264,241,[],57,0
192941,175,172,[],137,0
196984,119,114,[],295,0
197348,144,137,[],497,0
197351,240,228,[],63,0
198934,525,499,[],58,0
199504,1980,1604,[],0,0
199522,77,71,[],930,0
199610,670,577,[],0,0
199785,1410,1284,[],0,0
200327,445,423,[],376,0
200952,270,257,[],0,0
201388,840,824,[],0,0
202239,660,601,[],147,0
202242,699,637,[],147,0
202243,620,565,[],37,0
202248,620,565,[],27,0
202277,450,428,[],84,0
204442,190,154,[],0,0
204569,300,243,[],41,0
204629,315,287,[],381,0
204728,245,233,[],0,0
204772,2000,1340,[],0,0
204912,290,250,[],0,0
205184,5184,4718,[],0,0
205215,1068,1015,[],84,0
205660,249,227,[],0,0
205704,55,51,[],101,0
205713,55,51,[],117,0
205716,55,51,[],100,0
205717,50,46,[],113,0
205718,45,41,[],0,0
205775,1175,1070,[],30,0
205854,2364,2317,[],188,0
205988,185,169,[],53,0
205990,375,342,[],28,0
205991,320,292,[],0,0
206046,1410,1143,[],0,0
206047,1175,952,[],40,0
206123,1200,1200,[],0,0
206182,70,67,[],222,0
206407,60,57,[],182,0
206408,60,57,[],1087,0
206416,120,110,[],0,0
206429,130,119,[],96,0
206433,125,114,[],110,0
206702,78,77,[],0,0
206776,300,273,[],104,0
206778,225,205,[],538,0
206779,150,137,[],162,0
206980,223,212,[],0,0
206981,222,211,[],0,0
206982,235,224,[],0,0
206988,195,178,[],292,0
207986,299,258,[],0,0
208345,195,186,[],844,0
208578,80,73,[],0,0
208767,5640,5528,[],158,0
209412,2700,2187,[],0,0
210060,399,364,[],505,0
212128,480,456,[],4978,0
212130,450,428,[],285,0
212701,295,281,[],248,0
213239,19,19,[],0,0
213240,37,37,[],0,0
213243,22,22,[],0,0
213244,43,43,[],0,0
213245,10,10,[],0,0
213246,22,22,[],0,0
213253,235,214,[],608,0
213256,5640,5133,[],0,0
213273,470,447,[],69,0
213576,249,215,[],0,0
214022,400,392,[],0,0
214216,1050,851,[],44,0
214217,572,464,[],40,0
214431,295,239,[],0,0
214515,150,147,[],0,0
214784,500,490,[],0,0
215130,600,546,[],0,0
215244,350,343,[],0,0
215578,214,204,[],154,0
215595,480,456,[],0,0
216747,295,281,[],60,0
216809,299,273,[],174,0
216871,60,57,[],1187,0
216877,35,35,[],237,0
217464,48,48,[],0,0
218856,64,52,[],79,0
219138,1890,1531,[],0,0
220612,670,543,[],0,0
221234,575,524,[],0,0
221404,595,542,[],0,0
221409,595,542,[],0,0
221410,595,542,[],0,0
221412,330,301,[],41,0
221429,330,301,[],0,0
221467,780,741,[],0,0
221469,780,741,[],0,0
222085,341,324,[],0,0
222783,155,142,[],0,0
223298,185,169,[],167,0
223305,930,884,[],37,0
223536,125,119,[],188,0
223537,75,72,[],66,0
223660,80,76,[],87,0
223661,150,143,[],0,0
223662,65,62,[],163,0
223663,135,129,[],105,0
224591,299,273,[],213,0
224835,71,65,[],168,0
225582,1500,1215,[],0,0
225769,230,187,[],0,0
225770,420,341,[],0,0
226491,650,618,[],382,0
226990,65,56,[],442,0
227052,625,569,[],76,0
227173,250,245,[],0,0
228234,375,342,[],33,0
228237,449,409,[],0,0
228408,380,346,[],54,0
228522,207,197,[],65,0
228523,222,218,[],302,0
228526,215,205,[],0,0
228528,84,83,[],349,0
228529,112,110,[],353,0
228589,132,130,[],0,0
228623,550,523,[],147,0
228899,399,380,[],37,0
229136,375,368,[],301,0
229140,299,273,[],61,0
229144,330,301,[],0,0
229148,330,301,[],0,0
229156,170,162,[],210,0
229744,119,109,[],57,0
229762,105,96,[],56,0
229763,150,137,[],80,0
229771,59,58,[],635,0
229789,110,108,[],42,0
229790,110,108,[],0,0
229791,105,103,[],0,0
229793,100,98,[],0,0
229794,100,98,[],167,0
229853,125,114,[],196,0
229910,115,105,[],393,0
229912,100,91,[],205,0
229922,115,105,[],667,0
229926,105,96,[],0,0
229930,105,96,[],210,0
229936,110,101,[],340,0
229939,115,105,[],457,0
230634,60,55,[],692,0
230745,235,224,[],4385,0
231187,310,295,[],0,0
231206,120,114,[],0,0
232729,120,114,[],723,0
233753,110,101,[],83,0
235168,99,91,[],42,0
235214,649,591,[],38,0
235765,240,219,[],30,0
236283,225,205,[],66,0
236284,225,205,[],78,0
236520,60,55,[],54,0
236544,480,456,[],0,0
236834,24,20,[],435,0
237218,150,137,[],28,0
237261,150,137,[],0,0
237445,95,87,[],154,0
237461,149,136,[],184,0
237467,135,117,[],145,0
238341,20,20,[],83,0
238380,20,20,[],0,0
239335,470,381,[],26,0
239524,65,62,[],173,0
240040,200,190,[],104,0
240057,340,293,[],46,0
240061,430,409,[],70,0
240065,610,580,[],287,0
240067,285,271,[],515,0
240122,230,219,[],103,0
240124,120,114,[],103,0
240147,670,637,[],43,0
240149,279,274,[],110,0
240155,660,627,[],117,0
240156,340,323,[],95,0
240158,279,274,[],111,0
240162,268,263,[],161,0
240163,254,249,[],48,0
240165,210,206,[],60,0
240168,268,263,[],64,0
240178,205,201,[],79,0
240179,245,241,[],122,0
240180,360,342,[],229,0
240182,350,333,[],112,0
240183,155,152,[],37,0
240449,249,245,[],0,0
241132,72,69,[],170,0
241501,225,221,[],45,0
241538,59,54,[],1168,0
241598,1200,1092,[],0,0
241600,24,23,[],1799,0
241601,40,40,[],6925,0
241695,350,333,[],310,0
242060,240,228,[],91,0
242596,190,181,[],66,0
242667,220,216,[],284,0
242668,220,216,[],236,0
242671,26,26,[],212,0
242672,92,84,[],213,0
242673,25,25,[],0,0
243051,215,211,[],183,0
243080,199,182,[],0,0
243335,175,160,[],191,0
243336,210,181,[],106,0
243990,50,34,[],0,0
243991,58,50,[],244,0
244092,45,45,[],0,0
244094,50,48,[],0,0
244096,60,49,[],0,0
244286,46,46,[],0,0
244815,525,515,[],69,0
244961,1770,1434,[],40,0
244997,46,46,[],0,0
244999,520,494,[],249,0
245001,50,49,[],0,0
245504,500,475,[],0,0
245509,75,69,[],372,0
245525,78,71,[],172,0
245724,210,192,[],43,0
246395,240,207,[],0,0
246700,199,182,[],0,0
246794,1899,1273,[],37,0
247115,279,266,[],0,0
247282,210,181,[],155,0
247986,96,95,[],43,0
248003,20,17,[],1356,0
248215,400,392,[],666,0
248593,25,22,[],0,0
249061,175,160,[],194,0
249062,130,119,[],118,0
249154,399,364,[],116,0
249155,399,364,[],87,0
249162,7350,7203,[],39,0
249163,245,241,[],187,0
249362,60,57,[],0,0
249369,22,21,[],720,0
249449,175,167,[],53,0
249452,175,167,[],26,0
249540,835,760,[],0,0
249581,560,532,[],72,0
250520,200,182,[],27,0
250771,205,195,[],2054,0
251011,210,206,[],0,0
251018,47,47,[],260,0
251020,99,98,[],300,0
251021,125,123,[],0,0
251026,145,143,[],62,0
251033,140,138,[],28,0
251042,35,35,[],0,0
251045,35,35,[],0,0
251149,145,143,[],200,0
251191,1100,374,[],0,0
251218,550,501,[],0,0
251220,550,501,[],0,0
251224,550,501,[],31,0
251235,550,501,[],39,0
251249,620,565,[],0,0
251251,620,565,[],38,0
251259,620,565,[],79,0
252164,93,92,[],258,0
252171,106,104,[],1052,0
252420,330,301,[],532,0
252427,142,130,[],672,0
252429,337,307,[],535,0
252847,220,179,[],199,0
252868,180,146,[],0,0
252874,180,146,[],181,0
252876,225,205,[],0,0
252943,257,245,[],0,0
252947,292,278,[],837,0
252948,280,275,[],0,0
252950,510,485,[],0,0
252982,520,494,[],84,0
253009,240,228,[],140,0
253063,1024,973,[],0,0
253535,34,31,[],17101,0
253557,65,53,[],70,0
253562,235,231,[],62,0
253566,1190,1167,[],0,0
253860,650,618,[],61,0
254193,230,219,[],304,0
254677,185,160,[],336,0
254688,245,211,[],0,0
254690,325,280,[],0,0
254705,1700,1462,[],88,0
255176,1499,1365,[],136,0
255178,135,133,[],0,0
255179,549,500,[],31,0
255185,390,383,[],0,0
255207,310,283,[],184,0
255208,325,296,[],264,0
255210,399,268,[],322,0
255215,45,43,[],0,0
255243,270,257,[],76,0
255499,215,211,[],410,0
255502,2600,2548,[],0,0
255505,325,238,[],86,0
255516,67,61,[],95,0
255517,111,96,[],32,0
255609,1500,1005,[],0,0
255611,210,192,[],114,0
255834,663,604,[],241,0
255843,920,672,[],60,0
255848,185,136,[],608,0
255849,99,81,[],85,0
255850,220,179,[],245,0
255851,115,94,[],142,0
255874,83,79,[],249,0
255963,60,44,[],0,0
256002,960,778,[],0,0
256045,400,380,[],0,0
256132,50,49,[],0,0
256133,50,41,[],0,0
256165,64,52,[],0,0
256222,575,386,[],177,0
256648,200,190,[],0,0
256655,310,283,[],44,0
256683,70,67,[],0,0
256684,250,238,[],61,0
256685,250,238,[],0,0
256686,250,238,[],0,0
256687,250,238,[],0,0
256688,250,238,[],0,0
257034,220,201,[],399,0
257382,210,154,[],225,0
257392,250,245,[],62,0
257399,25,25,[],542,0
257406,25,25,[],177,0
257407,25,25,[],91,0
257545,120,104,[],215,0
257852,45,43,[],226,0
257853,45,43,[],221,0
257859,40,37,[],93,0
257862,85,78,[],73,0
257863,35,32,[],132,0
258053,195,178,[],44,0
258133,192,183,[],0,0
258181,130,119,[],130,0
258357,138,132,[],0,0
258358,70,67,[],100,0
258359,37,36,[],0,0
258391,61,58,[],0,0
258392,115,110,[],0,0
258403,620,565,[],31,0
258415,120,114,[],45,0
258418,129,123,[],46,0
258421,325,309,[],60,0
258583,185,169,[],488,0
258584,199,182,[],361,0
258585,399,380,[],185,0
258588,60,59,[],224,0
258594,140,138,[],0,0
