id,hsn_code
01O (0) 09 001,42021250
0601072HF2,90151000
0601072RK0,90151000
06011A15F3,84672100
06011A95F1,84672100
06012161F4,84672100
06012161F8,84672100
06012161FD,84672100
06012161FK,84672100
06012161FL,84672100
06012171F6,84672100
06012171F8,84672100
06012240F0,84672900
06012980F0,84672900
06012A70F1,84672200
060137505F,84672900
06013875F2,84672900
06013930F1,84672900
06013931F1,84672900
06013940F0,84672900
06013940F2,84672900
06013960F0,84672900
06013A02F0,84672900
06014775F0,84672100
06015A80F0,84672200
06016B30F0,84672200
06018242F1,84672900
06018B70F0,84672900
060194D0F0,84672900
06019804F5,85081100
06019805F0,84145920
06019G80F0,84672100
06019G80F1,84672100
06019G81K2,84672100
06019H20F0,84672900
06019H21L1,84672100
08N (0) 09 012,42021250
08S (0) 09 001,42021250
10000,76151011
10003,76151011
10007,76151011
10013,76151011
10016,76151011
10020,76151011
10024,76151011
10025,76151011
10027,76151011
10030,76151011
10033,76151011
10035,76151011
10037,76151011
10038,76151011
1003AEI,950300
1004ABEI,950300
10200,76151011
10201,76151011
10203,76151011
10204,76151011
10206,76151011
10207,76151011
10209,76151011
10211,76151011
10212,76151011
10213,76151011
10275,76151011
10276,76151011
10707,76151011
10709,76151011
10717,76151011
10725,76151011
10726,76151011
10728,76151011
10733,76151011
10734,76151011
10755,76151011
10756,76151011
10757,76151011
10760,76151011
108087_03,42022990
1082-Mu-A,9503
108226_317,42022990
108226_35,42022990
108226_788,42022990
108227_317,42022990
108227_35,42022990
10902,76151011
109025_36,42022990
10W Smart Bulb,85395000
11001,85371000
110090_36,42022990
110091_36,42022990
110093_36,42022990
1102H,9503
11052,76151011
111059_03,42022990
111071_317,42022990
111071_437,42022990
111074GT_03,42022990
111074_03,42022990
111074_437,42022990
111078_109,42022990
111078_757,42022990
111078_886,42022990
111082_437,42022990
111087_03,42022990
111104_773,42022990
111104_875,42022990
111122_757,42022990
111122_773,42022990
111137_35,42022990
111141_03,42022990
111141_194,42022990
111141_40,42022990
112037_030,42022990
112038GT_03,42022990
112046_030,42022990
112053_396,42022990
112054_396,42022990
112057_03,42022990
114004_03,42022990
114004_117,42022990
114006_03,42022990
114006_194,42022990
114006_337,42022990
114006_785,42022990
114007_03,42022990
114007_337,42022990
114007_40,42022990
114007_551,42022990
114007_785,42022990
114015_787,42022990
114015_788,42022990
114016_787,42022990
114016_788,42022990
114018_787,42022990
114018_788,42022990
11545,76151011
11566,76151011
11567,76151011
11568,76151011
11569,76151011
11603,76151011
11604,76151011
11605,76151011
11607,76151011
11651,76151011
11652,76151011
11653,76151011
11654,76151011
11655,76151011
11656,76151011
11657,76151011
117045_03,42022990
117047_317,42022990
117050_317,42022990
117055_03,42022990
11730,76151011
12000,76151011
12001,76151011
121001_03,42022990
121001_844,42022990
121009_36,42022990
12105,76151011
122014_205,42022990
122101_03,42022990
122102_03,42022990
122103_03,42022990
122104_03,42022990
122105_113,42022990
122106_113,42022990
122107_113,42022990
123006_02,42022990
123006_206,42022990
123006_36,42022990
123007_36,42022990
123008_36,42022990
123010_36,42022990
126009_09,65069900
126013_03,65069900
126013_09,65069900
126014_03,65069900
126014_09,65069900
126014_335,65069900
126014_349,65069900
12W Inverter bulb,85395000
13-Piec-A,611100
1404,701342
1409,701342
1410,701342
1415,701342
1417,701342
1418,701342
1501,701342
1502,701342
1503,701342
1504,701342
1505,701342
1506,701342
1507,701342
1508,701342
1509,701342
1510,701342
1513,701342
1514,701342
1601EI,950300
1602AGEB,950300
1602FH,950300
1703IAEB,950300
1710,701342
1715,701342
1723,701342
1727,701342
1728,701342
1729,701342
1801AI,950300
1801HF,950300
1802FH,950300
1802GIBA,950300
1805BEIA,950300
1805HF,950300
1806AGJEI,950300
1806HF,950300
19020B,9503
20021,73239310
2013RC,9503
2016EBACI,9503
20223,76151011
20224,76151011
20225,76151011
20229,73239310
20230,73239310
20231,73239310
20232,73239310
20234,73239310
20235,73239310
20236,73239310
20238,73239310
20239,73239310
20240,73239310
20242,73239310
20247,73239310
20248,73239310
20249,73239310
20250,73239310
20251,73239310
20254,73239310
20307,73239310
20327,76151011
20330,76151011
20355,76151011
20357,76151011
20359,76151011
20360,76151011
20375,76151011
20429,76151011
20454,76151011
20457,76151011
20459,76151011
20504,73239310
20513,73239310
20551,73239310
20552,73239310
20601,73239310
20651,73239310
20652,73239310
20653,73239310
20654,73239310
2100096342,76151021
2100096348,76151021
2100096353,76151021
2100102552,76151021
216,392410
2218EA,950300
2218FH,950300
22W (0) 03 011,42023190
22W (0) 03 012,42023120
22W (0) 03 113,42023190
22W (0) 03 114,42023120
22W (0) 09 013,42023190
22W (0) 09 014,42023190
22W (0) 09 113,42023190
241437,91021900
241441,91021900
241481,91021900
241492,91021900
241540,91021900
241656,91021900
241658,91021900
241675,91021900
241677,91021900
241681,91021900
241682.1,91021900
241683.1,91021900
241712.1,91021900
241719.1,91021900
241725.1,91021900
242,392410
244,392410
2451,741810
2452,741810
2459,741810
249094.1,91021900
249096.1,91021900
24N (0) 09 003,42021250
24N (0) 09 005,42021250
24N (0) 09 008,42021250
25654,73239310
271,392410
2728640417,42021290
27O (0) 08 001,42021250
29124,39241090
30495,76151021
30496,76151021
3054,9503
30601,76151021
30602,76151021
30603,76151021
30604,76151021
30609,76151021
30610,76151021
30709,76151021
30710,76151021
30711,76151021
30712,76151021
30713,76151021
30714,76151021
30715,76151021
30716,76151021
30720,76151021
30725,76151021
30726,76151021
30727,76151021
30728,76151021
30729,76151021
30730,76151021
30731,76151021
30732,76151021
30733,76151021
30734,76151021
30735,76151021
30739,76151021
30747,76151021
30837,76151021
30843,76151021
30844,76151021
30845,76151021
30880,76151021
30894,76151021
30956,76151021
30967,76151021
30968,76151021
31R (0) 09 003,42021250
32PHT4233S,85287218
32PHT5505,85287219
32PHT5813S,85287218
3401,7323
3405,732393
3408,732393
3410,732393
3412,732393
3436,732393
3451,732393
3501,732393
3502,732393
35035,76151021
35036,76151021
35037,76151021
35038,76151021
35039,76151021
3504,732393
35044,76151021
35045,76151021
3505,732393
3506,732393
3507,732393
3510,732393
3511,732393
35118,76151021
3512,732393
3513,732393
355,83014090
3555431416,42022990
3555606416,42022990
356G,9503
3576310405,42021290
36022,73239420
36023,73239420
36024,73239420
36301,76151021
36302,76151021
36304,76151021
36305,76151021
36307,76151021
36308,76151021
36310,76151021
36311,76151021
36314,76151021
36316,76151021
36318,76151021
36331,76151021
36406,76151021
36407,76151021
36501,73239420
36502,73239420
36503,73239420
36717,76151021
36718,76151021
36720,76151021
36722,76151021
36725,76151021
36728,76151021
36753,76151021
36758,76151021
36775,76151021
36777,76151021
36778,76151021
36779,76151021
36788,76151021
36789,76151021
36800,73239420
36802,73239420
36804,73239420
36805,73239420
36806,73239420
36807,73239420
36818,76151021
36819,76151021
36820,76151021
36821,76151021
36822,76151021
36824,76151021
36825,73239420
36826,73239420
3701,732393
3702,732393
3703,732393
37067,76151021
37068,76151021
39O (0) 80 002,42021250
39V (0) 09 004,42021250
39V (0) 09 008,42021250
39V (0) 09 010,42021250
40000,73211110
40003,73211110
40011375338N,85094010
40011377126N,85094010
40011377332N,85094010
40011LX600N,85094010
40015374026N,85167200
40015377233N,85167200
40053,73211110
40054,73211110
40066,73211110
40068,73211110
40073,73211110
40077,73211110
40078,73211110
40081,73211110
40082,73211110
40088,73211110
40089,73211110
40090,73211110
40091,73211110
40092,73211110
40150,73211110
40158,73211110
40166,73211110
40170,73211110
40173,73211110
40177,73211110
40184,73211110
40185,73211110
40186,73211110
40187,73211110
402,392410
40205,73211110
40211,73211110
40257,73211110
40271,73211110
40274,73211110
40278,73211110
40287,73211110
40289,73211110
40355,73211110
40356,73211110
40358,73211110
403710526N,85166000
404700003001U,73211110
404700203001U,73211110
404700204001U,73211110
404700402001U,73211110
404700403001U,73211110
40562,73211110
40563,73211110
40565,73211110
4064812132SEA,95063100
406484012207BK,95063100
406484012207BL,95063100
406484012207CB,95063100
40649070708,95063100
40649080708,95063100
408001080052N,85094010
40O (0) 01 001,42021250
40X (0) 01 008,42021250
41011,85094090
41012,85094090
41015,85094090
410153,48191010
41030,85166000
41033,85094090
41038,85094090
41043,85094010
41107,85094090
41108,85094090
41110,85094090
41115,85094090
41116,85094090
412,392410
41202,85094010
41213,85094010
41215,85094010
4122116020NS,85164000
41221370234N,85164000
41221371034N,85164000
41221380246N,85164000
41221381051N,85164000
4122533021N,85164000
4122533022N,85164000
4122545700N,85164000
4123134025N,85164000
41245381642N,85164000
41266,85166000
41268,85166000
41269,85166000
41271,85166000
41279,85166000
41281,85166000
41282,85166000
41286,85166000
413,392410
41303,85094010
41319,85094010
41320,85094010
41331,85094010
41337,85094010
41343,85094010
41351,85094010
41353,85094010
41356,85094010
41360,85094010
41363,85094010
41366,85094010
41371,85094010
41372,85094010
41380,85094010
41388,85094010
41394,85094010
41407,85094090
41467,85167200
41468,85167200
41496,85166000
41573,85166000
41575,85166000
41576,85166000
41584,85166000
41587,85166000
41588,85166000
41593,85166000
41596,85166000
41598,85166000
416,392410
41633,84146000
41634,84146000
41704,85167200
41705,85167200
41714,85167200
41752,85164000
41760,85164000
41764,85164000
41765,85164000
41766,85164000
41767,85164000
419,3923
41911,85166000
41915,85166000
41935,85166000
41944,85166000
41949,85166000
41950,85166000
41953,85166000
41959,85166000
41960,85166000
41963,85166000
41966,85166000
41969,85166000
41970,85166000
41971,85166000
41O (0) 11 001,42021240
41O (0) 30 003,42021240
422,3923
42202,85166000
42205,85166000
42214,85166000
42218,85166000
42275,85166000
42307,85131090
42308,85131090
42310,85131090
42502,85094010
42610,84213920
42613,96039000
42652,85081100
42655,85081100
42656,85081100
42701,84213920
42702,84213920
42705,84213920
42706,85437099
42783,74181022
42795,73269099
42796,73269099
42797,73269099
42803,74181022
43024,82083000
43038,82083000
43047,82083000
440216,48191010
4403,961700
4405,961700
4406,961700
4407,9617
4408,96170011
4409,96170011
4410,96170011
4411,96170011
4412,961700
457,94042990
46PAS,950300
49002,84212120
49003,84212120
49008,84212120
49022,84212120
49O (0) 81 002,42021240
4A306439C237,95063100
4A871201E100,95063100
4A871501E100,95063100
4A871503E100,95063100
4A871503E200,95063100
4A871503E300,95063100
4A871504E200,95063100
4A871504E300,95063100
4A871599D100,95063100
4A871599D200,95063100
4A879003E300,95063100
4A879004E300,95063100
4A879004E400,95063100
4A879005E300,95063100
4A879006E300,95063100
4A879006E400,95063100
4A890303E100,95063100
4A890306E300,95063100
4A890312E200,95063100
4A890312E300,95063100
4A890314E200,95063100
4A890399D100,95063100
4A890501E100,95063100
4A890503E100,95063100
4A890503E200,95063100
4A890512E200,95063100
4A890513E100,95063100
4A890599D100,95063100
4A890712E200,95063100
4A890799D100,95063100
4A892199D100,95063100
4A971503E200,95063100
4A990312E200,95063100
4A990312E300,95063100
4B056344E200,95063100
4B056344E300,95063100
4B056444E200,95063100
4B056444E300,95063100
4B651501R100,95063100
4B651501R200,95063100
4B651501S101,95063100
4B653501S101,95063100
4B659001R200,95063100
4B659001R300,95063100
4B660301U100,95063100
4B660301U200,95063100
4B660301U300,95063100
4B660301V100,95063100
4B660501U100,95063100
4B660501U200,95063100
4B660501U300,95063100
4B751501R200,95063100
4B760501U200,95063100
4B816301X200,95063100
4B816301X300,95063100
4B816401X100,95063100
4B816401X200,95063100
4B816469C100,95063100
4B851202R100,95063100
4B851202S100,95063100
4B851502R100,95063100
4B851502S100,95063100
4B851502U300,95063100
4B851502W100,95063100
4B851502W200,95063100
4B851502X200,95063100
4B859002W200,95063100
4B859002W300,95063100
4B859002X300,95063100
4B880302V300,95063100
4B880302X100,95063100
4B880302X200,95063100
4B880302X300,95063100
4B880304H200,95063100
4B880304L100,95063100
4B880304M300,95063100
4B880502X200,95063100
4B880502X300,95063100
4B880504H100,95063100
4B880504H200,95063100
4B880504L100,95063100
4B896303I100,95063100
4B896303I200,95063100
4B896303I300,95063100
