id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
279818,49,279818.jpg,24 Mantra Organic Moong Dal 500 g,"[""279818.jpg""]",135,125,8,1,2,25,0,0,1,500,0,0,0,0,0,0,0,0,0,0,0,20/12/2050,0,1,2,2,1,0,[],0,5,7585|299|284|433,1103,2
392762,49,392762.jpg,Grocery Green Moong Dal Split 1Kg,"[""392762.jpg""]",175,140,20,1,2,25,0,0,0,0,1,1,0,0,0,0,0,0,"The rich source of Folate in 
Moong Dal Split promotes Healthy Pregnancy.Folate is very important
 for the overall growth and development of your the foetus.
  200 gms cooked Moong Dal Split provides 80% of the required dietary intake(RDI)
 of folate .",0,0,20/12/2050,1,1,2,2,1,0,[],0,5,10893|299|433|434,0,46
392767,49,392767.jpg,Grocery Toor Dal Reg 5Kg,"[""392767.jpg""]",750,690,8,1,2,25,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,31/12/21,0,0,2,2,1,0,[],0,5,13170|13193|13201|13274,0,46
412414,49,412414.jpg,Sri Bhagyalakshmi Maida 500g,"[""412414.jpg""]",25,23,8,1,2,24,0,0,1,500,0,0,0,0,0,0,0,0,0,0,0,20/12/2050,0,0,4,4,1,0,[],0,5,10130|251|288,1101,81
412417,49,412417.jpg,Bhagyalakshmi Ragi Flour 1 kg,"[""412417.jpg""]",50,43,14,1,2,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20/12/2050,0,0,4,4,1,0,[],0,5,6681|253|288,1106,81
412422,49,412422.jpg,Bhagyalakshmi Rice Flour 1 kg,"[""412422.jpg""]",46,37,20,1,2,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20/12/2050,0,0,4,4,1,0,[],0,5,7461|254|288,1102,81
412412,49,412412.jpg,Bhagyalakshmi Rice Flour 500g,"[""412412.jpg""]",23,23,0,1,2,24,0,0,1,500,0,0,0,0,0,0,0,0,0,0,0,20/12/2050,0,0,1,1,1,0,[],0,5,10128|254|288,1102,81
399516,49,399516.jpg,Grocery Besan Flour 500G,"[""399516.jpg""]",50,46,8,1,2,24,0,0,1,500,0,0,0,0,0,0,0,0,0,0,0,20/12/2050,0,0,2,2,1,0,[],0,5,10714|252,1106,543
399534,49,399534.jpg,Maida Flour 500G,"[""399534.jpg""]",28,26,8,1,2,24,0,0,1,500,0,0,0,0,0,0,0,0,0,0,0,20/12/2050,0,0,3,3,1,0,[],0,5,10721|251,1101,45
378382,49,378382.jpg,Organic Tattva Arhar (Toor) Dal 1kg,"[""378382.jpg""]",240,236,2,1,2,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,31/12/21,0,0,5,5,1,0,[],0,5,13170|13193|13624|13274,0,871
