id,name,cover,status,cate_id
45,Bath & Hand Wash,bath hand wash.jpg,1,6
38,Biscuits & Cookies,biscuits cookies.jpg,1,5
39,Breakfast Cereals,breakfast cereals.jpg,1,5
30,Cakes & Pastries,cakes pastries.jpg,1,3
40,Chocolates & Candies,chocolates candies.jpg,1,5
31,"Cookies, Rusk & Khari",cookies rusk khari.jpg,1,3
32,Dairy,dairy.jpg,1,3
50,Detergents & Dishwash,detergents dishwash.jpg,1,7
34,Energy & Soft Drinks,energy soft drinks.jpg,1,4
46,Feminine Hygiene,feminine hygiene.jpg,1,6
51,Freshners & Repellents,freshners repellents.jpg,1,7
103,Frozen Snacks,frozen snacks.jpg,1,5
48,Hair Care,hair care.jpg,1,6
52,"Mops, Brushes & Scrubs",mops brushes scrubs.jpg,1,7
102,Packed Sweets,packed sweets.jpg,1,5
53,Pooja Needs,pooja needs.jpg,1,7
101,Ready To Cook and Eat,ready to cook and eat.jpg,1,5
49,Skin Care,skin care.jpg,1,6
44,"Spreads, Sauces, Ketchup",spreads sauces ketchup.jpg,1,5
36,"Tea, Coffee",tea.jpg,1,4
37,Water,water.jpg,1,4
