id,original_price,sell_price,variations_types,stocks,size
101584,310,279,[],30,0
106599,120,111,[],30,0
224591,279,268,[],30,0
228522,207,198,[],30,0
255210,399,220,[],30,0
263781,140,128,[],30,0
264019,50,45,[],30,0
271326,168,154,[],30,0
271327,144,132,[],30,0
273223,195,179,[],30,0
276402,195,179,[],30,0
277140,375,225,[],30,0
292607,699,643,[],30,0
292610,699,643,[],30,0
298290,187,173,[],30,0
310366,64,62,[],30,0
314324,799,719,[],30,0
322772,35,30,[],30,0
331252,75,69,[],30,0
335241,580,556,[],30,0
335808,799,719,[],30,0
337330,455,437,[],30,0
339021,195,179,[],30,0
341487,799,719,[],30,0
357802,260,249,[],30,0
357810,198,182,[],30,0
359360,229,195,[],30,0
364389,45,39,[],30,0
374957,90,82,[],30,0
374958,120,110,[],30,0
376437,1149,976,[],30,0
379195,131,73,[],30,0
379196,131,73,[],30,0
379197,131,73,[],30,0
381420,55,51,[],30,0
385576,999,919,[],30,0
385577,999,919,[],30,0
385578,999,919,[],30,0
386222,499,250,[],30,0
402989,100,92,[],30,0
402991,200,184,[],30,0
402992,250,213,[],30,0
408288,149,135,[],30,0
408290,150,135,[],30,0
408291,149,135,[],30,0
408292,150,135,[],30,0
409649,55,53,[],30,0
409815,699,594,[],30,0
409816,699,594,[],30,0
409817,699,643,[],30,0
410300,74,72,[],30,0
411019,299,270,[],30,0
413401,1549,1394,[],30,0
413402,1549,1394,[],30,0
413915,500,480,[],30,0
418046,249,212,[],30,0
418048,159,96,[],30,0
418050,245,147,[],30,0
419525,399,359,[],30,0
419528,150,135,[],30,0
421060,5,5,[],30,0
424566,250,175,[],30,0
426712,399,367,[],30,0
426714,399,367,[],30,0
426715,399,367,[],30,0
290719,40,37,[],30,0
206988,420,387,[],30,0
223663,135,129,[],30,0
242596,185,177,[],30,0
251191,1100,440,[],30,0
255609,1500,1050,[],30,0
255848,185,130,[],30,0
263108,99,92,[],30,0
264516,50,48,[],30,0
268011,100,92,[],30,0
271819,2100,1470,[],30,0
271820,210,147,[],30,0
279818,110,102,[],30,0
279819,25,24,[],30,0
279822,28,25,[],30,0
279824,135,124,[],30,0
281494,55,51,[],30,0
282222,365,335,[],30,0
284078,30,25,[],30,0
285264,120,116,[],30,0
285422,199,183,[],30,0
293260,168,117,[],30,0
297424,35,24,[],30,0
300440,79,68,[],30,0
301278,125,106,[],30,0
301976,55,50,[],30,0
302138,109,100,[],30,0
302140,225,207,[],30,0
322774,35,30,[],30,0
324431,325,299,[],30,0
339011,100,92,[],30,0
340585,1799,1656,[],30,0
340754,34,32,[],30,0
341425,100,85,[],30,0
346515,650,552,[],30,0
352436,47,45,[],30,0
361344,39,35,[],30,0
374809,2500,1750,[],30,0
374812,2500,1750,[],30,0
377844,248,173,[],30,0
378377,70,65,[],30,0
381062,1500,1050,[],30,0
388302,265,243,[],30,0
391968,1100,440,[],30,0
392164,1700,1445,[],30,0
392744,750,412,[],30,0
392746,999,849,[],30,0
392768,175,140,[],30,0
392826,80,64,[],30,0
392831,175,122,[],30,0
393046,80,56,[],30,0
393282,165,151,[],30,0
393593,1700,1445,[],30,0
399402,565,480,[],30,0
399514,1500,1050,[],30,0
401777,160,136,[],30,0
401778,80,68,[],30,0
402108,1100,1056,[],30,0
402728,476,437,[],30,0
402734,75,69,[],30,0
403594,630,605,[],30,0
404216,20,18,[],30,0
409195,18,14,[],30,0
410815,120,115,[],30,0
410817,195,187,[],30,0
410895,80,73,[],30,0
413461,2000,800,[],30,0
418054,200,184,[],30,0
418055,200,184,[],30,0
419436,1145,801,[],30,0
419442,1000,850,[],30,0
420654,1065,852,[],30,0
421193,3420,2736,[],30,0
422281,1700,1445,[],30,0
422981,1500,1200,[],30,0
423947,74,72,[],30,0
423952,74,72,[],30,0
426730,55,53,[],30,0
SB0011,42,39,500|1000|2000|3000|4000|5000,30,1
