id,original_price,sell_price,variations_types,stocks,size
100223,240,228,[],27,0
180961,440,400,[],591,0
197348,144,131,[],166,0
197351,240,228,[],212,0
229789,110,107,[],128,0
229791,105,102,[],234,0
229793,100,98,[],59,0
229794,100,98,[],56,0
229910,110,100,[],588,0
229912,100,91,[],368,0
229922,110,100,[],47,0
229926,105,95,[],172,0
229930,100,91,[],267,0
229936,110,100,[],460,0
229939,115,104,[],219,0
242060,240,228,[],66,0
258391,61,55,[],27,0
258392,115,104,[],27,0
265682,10,9,[],48,0
265688,20,19,[],1215,0
265690,40,39,[],210,0
265693,20,19,[],802,0
265696,65,63,[],51,0
265698,20,19,[],549,0
265701,20,19,[],1291,0
265702,65,63,[],150,0
265707,65,63,[],60,0
265726,65,63,[],27,0
265729,135,132,[],111,0
265770,20,19,[],1201,0
265853,115,104,[],863,0
265876,10,9,[],27,0
265879,70,68,[],85,0
265891,35,34,[],27,0
271119,15,14,[],27,0
274037,10,9,[],52,0
283522,145,131,[],27,0
285016,10,10,[],27,0
288068,30,29,[],94,0
288922,40,39,[],2184,0
288925,40,39,[],1126,0
288926,40,39,[],808,0
288927,40,39,[],676,0
288928,40,39,[],1024,0
292388,720,684,[],27,0
292390,720,684,[],27,0
292394,30,29,[],177,0
292396,30,29,[],38,0
298436,50,49,[],27,0
298438,35,34,[],678,0
313577,80,78,[],302,0
313578,960,912,[],29,0
322895,35,34,[],382,0
329876,480,456,[],40,0
329877,20,19,[],839,0
331401,960,940,[],27,0
331402,960,940,[],27,0
332164,40,36,[],27,0
332167,40,36,[],73,0
332174,40,36,[],27,0
332175,40,39,[],322,0
332176,960,912,[],27,0
332177,960,940,[],28,0
332178,960,940,[],27,0
337711,50,49,[],720,0
343623,20,19,[],782,0
343628,20,19,[],27,0
346547,855,812,[],27,0
346549,855,837,[],27,0
346550,855,837,[],27,0
346554,95,93,[],27,0
346558,95,86,[],32,0
346559,95,86,[],196,0
346561,95,86,[],120,0
352326,135,122,[],200,0
353034,1080,1026,[],27,0
353231,90,88,[],104,0
353288,90,88,[],27,0
357179,110,104,[],88,0
357182,110,104,[],289,0
357183,110,104,[],65,0
357190,20,19,[],27,0
357847,95,93,[],382,0
357849,95,93,[],1177,0
357850,95,93,[],37,0
359405,20,19,[],429,0
365081,240,206,[],27,0
365676,110,104,[],47,0
365747,110,104,[],47,0
365748,20,19,[],169,0
366678,149,135,[],43,0
367208,20,19,[],27,0
367216,35,33,[],102,0
367217,60,57,[],188,0
371622,12,11,[],503,0
373885,20,19,[],274,0
374314,115,109,[],234,0
379008,20,19,[],429,0
379009,20,19,[],217,0
379010,20,19,[],72,0
379011,20,19,[],251,0
384551,20,19,[],97,0
390057,50,45,[],913,0
393019,10,9,[],27,0
393023,120,109,[],256,0
393049,10,9,[],27,0
393051,12,11,[],27,0
393059,12,11,[],27,0
393063,12,11,[],27,0
393064,12,11,[],282,0
394080,325,308,[],27,0
395301,560,509,[],27,0
395308,720,684,[],27,0
395420,560,532,[],27,0
397702,50,45,[],205,0
397704,50,45,[],284,0
398091,10,9,[],204,0
403833,75,64,[],365,0
407522,120,80,[],32,0
408277,600,570,[],27,0
408279,600,570,[],27,0
408280,600,570,[],27,0
411332,40,36,[],827,0
411334,10,9,[],27,0
411354,20,18,[],394,0
411355,20,18,[],192,0
411358,20,18,[],447,0
411359,20,18,[],425,0
411360,20,18,[],921,0
411361,20,18,[],498,0
412745,60,34,[],1713,0
412746,65,61,[],297,0
413962,40,38,[],27,0
413963,40,38,[],27,0
413964,40,38,[],27,0
413965,40,38,[],51,0
415296,10,9,[],27,0
422275,10,9,[],27,0
422521,55,47,[],27,0
422524,35,30,[],211,0
422549,10,8,[],60,0
422754,3989,2672,[],27,0
424550,40,36,[],1500,0
424551,70,63,[],171,0
