id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
331105,0,0,1,1,0,0,0,0,0,0
409904,0,0,1,1,0,0,0,0,0,0
409905,0,0,1,2,0,0,0,0,0,0
421398,0,0,1,1,0,0,0,0,0,0
421399,0,0,1,1,0,0,0,0,0,0
104582,0,0,1,1,0,0,0,0,0,0
104607,1,400,0,0,0,0,0,0,0,0
104615,1,200,0,0,0,0,0,0,0,0
104759,1,100,0,0,0,0,0,0,0,0
104823,1,200,0,0,0,0,0,0,0,0
104833,1,500,0,0,0,0,0,0,0,0
104860,1,100,0,0,0,0,0,0,0,0
104864,1,500,0,0,0,0,0,0,0,0
104960,1,400,0,0,0,0,0,0,0,0
161897,1,500,0,0,0,0,0,0,0,0
161898,1,100,0,0,0,0,0,0,0,0
163582,1,500,0,0,0,0,0,0,0,0
169052,1,500,0,0,0,0,0,0,0,0
169053,1,500,0,0,0,0,0,0,0,0
169054,1,500,0,0,0,0,0,0,0,0
169055,1,500,0,0,0,0,0,0,0,0
174626,1,500,0,0,0,0,0,0,0,0
174631,1,500,0,0,0,0,0,0,0,0
174635,1,500,0,0,0,0,0,0,0,0
174636,1,500,0,0,0,0,0,0,0,0
204912,1,500,0,0,0,0,0,0,0,0
206702,1,400,0,0,0,0,0,0,0,0
206776,1,500,0,0,0,0,0,0,0,0
206778,1,500,0,0,0,0,0,0,0,0
206779,1,500,0,0,0,0,0,0,0,0
222085,1,500,0,0,0,0,0,0,0,0
224835,1,500,0,0,0,0,0,0,0,0
228528,1,200,0,0,0,0,0,0,0,0
228529,1,400,0,0,0,0,0,0,0,0
229136,1,750,0,0,0,0,0,0,0,0
240449,1,200,0,0,0,0,0,0,0,0
242668,1,500,0,0,0,0,0,0,0,0
248593,1,500,0,0,0,0,0,0,0,0
255178,1,180,0,0,0,0,0,0,0,0
258588,1,0,0,0,0,0,0,0,0,0
258594,1,200,0,0,0,0,0,0,0,0
259985,1,120,0,0,0,0,0,0,0,0
260767,1,100,0,0,0,0,0,0,0,0
260770,1,200,0,0,0,0,0,0,0,0
260772,1,200,0,0,0,0,0,0,0,0
260797,1,100,0,0,0,0,0,0,0,0
260798,1,100,0,0,0,0,0,0,0,0
260799,1,100,0,0,0,0,0,0,0,0
260806,1,100,0,0,0,0,0,0,0,0
262712,1,200,0,0,0,0,0,0,0,0
264427,1,130,0,0,0,0,0,0,0,0
