id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
103909,0,0,1,1,0,0,0,0,0,0
108249,0,0,1,1,0,0,0,0,0,0
119705,0,0,1,1,0,0,0,0,0,0
119709,0,0,1,1,0,0,0,0,0,0
119711,0,0,1,1,0,0,0,0,0,0
140466,0,0,1,1,0,0,0,0,0,0
146378,0,0,1,1,0,0,0,0,0,0
152450,0,0,1,1,0,0,0,0,0,0
157375,0,0,1,1,0,0,0,0,0,0
161622,0,0,1,5,0,0,0,0,0,0
161623,0,0,1,5,0,0,0,0,0,0
163055,0,0,1,1,0,0,0,0,0,0
163056,0,0,1,1,0,0,0,0,0,0
174549,0,0,1,1,0,0,0,0,0,0
185568,0,0,1,1,0,0,0,0,0,0
189439,0,0,1,1,0,0,0,0,0,0
202277,0,0,1,1,0,0,0,0,0,0
208345,0,0,1,1,0,0,0,0,0,0
213576,0,0,1,1.75,0,0,0,0,0,0
221404,0,0,1,1,0,0,0,0,0,0
221409,0,0,1,1,0,0,0,0,0,0
221410,0,0,1,1,0,0,0,0,0,0
258053,0,0,1,1,0,0,0,0,0,0
260598,0,0,1,1,0,0,0,0,0,0
268691,0,0,1,1,0,0,0,0,0,0
271205,0,0,1,1,0,0,0,0,0,0
273809,0,0,1,1,0,0,0,0,0,0
279038,0,0,1,1,0,0,0,0,0,0
279324,0,0,1,1,0,0,0,0,0,0
279327,0,0,1,1,0,0,0,0,0,0
284102,0,0,1,1,0,0,0,0,0,0
284104,0,0,1,1,0,0,0,0,0,0
284148,0,0,1,1,0,0,0,0,0,0
284247,0,0,1,1,0,0,0,0,0,0
284405,0,0,1,1.5,0,0,0,0,0,0
294904,0,0,1,2,0,0,0,0,0,0
304212,0,0,1,1,0,0,0,0,0,0
305595,0,0,1,1,0,0,0,0,0,0
305596,0,0,1,1,0,0,0,0,0,0
305893,0,0,1,1,0,0,0,0,0,0
305895,0,0,1,1,0,0,0,0,0,0
305897,0,0,1,1,0,0,0,0,0,0
316249,0,0,1,1,0,0,0,0,0,0
324623,0,0,1,1,0,0,0,0,0,0
324624,0,0,1,1,0,0,0,0,0,0
324644,0,0,1,1.25,0,0,0,0,0,0
331108,0,0,1,1,0,0,0,0,0,0
331111,0,0,1,1,0,0,0,0,0,0
332210,0,0,1,1,0,0,0,0,0,0
333349,0,0,1,1.25,0,0,0,0,0,0
334089,0,0,1,1,0,0,0,0,0,0
334093,0,0,1,1,0,0,0,0,0,0
334525,0,0,1,1,0,0,0,0,0,0
334556,0,0,1,1,0,0,0,0,0,0
338952,0,0,1,1.2,0,0,0,0,0,0
343598,0,0,1,1,0,0,0,0,0,0
343652,0,0,1,1,0,0,0,0,0,0
